raw_sponsor,sponsor_clean,sponsor_parent,sponsor_type,match_status,confidence,decided_by,n_trials
IRCCS ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI,Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori,,hospital,accepted,0.94,model,2
IRCCS Ospedale Policlinico San Martino,IRCCS Ospedale Policlinico San Martino,,hospital,accepted,0.9,model,2
ISDIN,ISDIN,,industry,accepted,0.95,model,2
ISTITUTO MEDITERRANEO PER I TRAPIANTI E TERAPIE AD ALTA  SPECIALIZZAZIONE,ISMETT - Istituto Mediterraneo per i Trapianti e Terapie ad Alta Specializzazione,,hospital,accepted,0.95,model,2
ISTITUTO MEDITERRANEO PER I TRAPIANTI E TERAPIE AD ALTA SPECIALIZZAZIONE - ISMETT,ISMETT - Istituto Mediterraneo per i Trapianti e Terapie ad Alta Specializzazione,,hospital,accepted,0.95,model,2
ISTITUTO NAZIONALE DI RICOVERO E CURA PER ANZIANI IRCCS,Istituto Nazionale di Ricovero e Cura per Anziani,,hospital,accepted,0.9,model,2
ISTITUTO ONCOLOGICO ROMAGNOLO,Istituto Oncologico Romagnolo,,academic,accepted,0.6,model,2
ISTITUTO ONCOLOGICO VENETO - IRCCS,Istituto Oncologico Veneto,,hospital,accepted,0.95,model,2
ISTITUTO ORTOPEDICO RIZZOLI,Istituto Ortopedico Rizzoli,,hospital,accepted,0.95,model,2
ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI IRST - IRCCS,Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori,,hospital,accepted,0.94,model,2
ITALFARMACO S.p.A.,Italfarmaco,,industry,accepted,0.97,model,2
IVI Valencia,IVI,,academic,accepted,0.86,model,2
"Ichthyol-Gesellschaft Cordes, Hermanni  Co. GmbH  Co. KG","Ichthyol-Gesellschaft Cordes, Hermanni & Co.",,industry,accepted,0.95,model,2
Idp Discovery Pharma S.L.,IDP Discovery Pharma,,industry,accepted,0.8,model,2
Iecure Inc.,iEcure,,industry,accepted,0.7,model,2
Ifom Istituto Fondazione Di Oncologia Molecolare Ets In Breve Ifom Ets,IFOM Istituto Fondazione di Oncologia Molecolare,,foundation,accepted,0.93,model,2
ImClone Systems Incorporated,ImClone Systems,Eli Lilly,industry,accepted,0.95,model,2
Imago BioSciences Inc.,Imago BioSciences,,industry,accepted,0.95,model,2
"Imbria Pharmaceuticals, Inc.",Imbria Pharmaceuticals,,industry,accepted,0.98,model,2
Imcheck Therapeutics,Imcheck Therapeutics,,industry,accepted,0.9,model,2
Immatics Biotechnologies GmbH,Immatics,,industry,accepted,0.95,model,2
Immungenetics AG,Immungenetics,,industry,accepted,0.7,model,2
Immunitybio Inc.,ImmunityBio,,industry,accepted,0.9,model,2
Immunocore Ltd,Immunocore,,industry,accepted,0.98,model,2
Immunocore Ltd.,Immunocore,,industry,accepted,0.98,model,2
Immunome Inc.,Immunome,,industry,accepted,0.9,model,2
Immutep S.A.S.,Immutep,,industry,accepted,0.95,model,2
"Impax Laboratories, LLC",Impax Laboratories,,industry,accepted,0.95,model,2
Imperial College London JRC Office,Imperial College London,,academic,accepted,0.9,model,2
Imperial College London Limited,Imperial College London,,academic,accepted,0.9,model,2
Imperial College London and Imperial College Healthcare NHS Trust,Imperial College London,,academic,accepted,0.9,model,2
"Imperial College London, Joint Research Compliance Office",Imperial College London,,academic,accepted,0.9,model,2
"ImunomedicA, a.s.","ImunomedicA, a.s.",,industry,accepted,0.6,model,2
"InCarda Therapeutics, Inc.",InCarda Therapeutics,,industry,accepted,0.9,model,2
Incyte Biosciences International S.a.r.l.,Incyte,,industry,accepted,0.97,model,2
Incyte Biosciences International Srl,Incyte,,industry,accepted,0.97,model,2
Industrial Farmaceutica Cantabria S.A.,Industrial Farmaceutica Cantabria,,industry,accepted,0.9,model,2
InfaCare Pharmaceutical Corporation,InfaCare Pharmaceutical Corporation,,industry,accepted,0.9,model,2
Inmagene LLC,Inmagene,,industry,accepted,0.9,model,2
Inn-Salzach-Klinikum gGmbH,Inn-Salzach-Klinikum,,hospital,accepted,0.9,model,2
Innocare Pharma Inc.,InnoCare Pharma,,industry,accepted,0.85,model,2
Innoup Farma S.L.,Innoup Farma,,industry,accepted,0.9,model,2
Innovacell Biotechnologie AG - Life Science Center Innsbruck,Innovacell,,industry,accepted,0.95,model,2
Institut National de la Sant et de la Recherche Mdicale INSERM,Inserm,,public_body,accepted,0.95,model,2
Institut Produits Synthse IPSEN AB,Ipsen,,industry,accepted,0.97,model,2
Institut Universitari D Investigacio En Atencion Primaria Jordi Gol,Institut Universitari d'Investigació en Atenció Primària Jordi Gol,,academic,accepted,0.9,model,2
Institut de Cancrologie Lucien Neuwirth,Institut de Cancerologie Lucien Neuwirth,,hospital,accepted,0.9,model,2
Institut de Cancrologie de la Loire,Institut de Cancerologie de la Loire,,hospital,accepted,0.8,model,2
Institut de Recherche International Servier,Servier,,industry,accepted,0.95,model,2
Institut de Recherche Pierre Fabre,Pierre Fabre,,industry,accepted,0.9,model,2
Institut de Terapia Regenerativa Tissular S.L. ITRT,Institut de Terapia Regenerativa Tissular,,academic,accepted,0.95,model,2
Institut for Pharmacology and Toxicology,Department of Pharmacology and Toxicology (unspecified),,unknown,accepted,0.4,model,2
Institut fr Klinische Krebsforschung IKF GmbH,Institut für Klinische Krebsforschung IKF,,academic,accepted,0.95,model,2
Institute Of Hematology And Blood Transfusion,Institute of Hematology and Blood Transfusion,,hospital,accepted,0.9,model,2
Institute Of Oncology Ljubljana,Onkološki inštitut Ljubljana,,hospital,accepted,0.95,model,2
Institute for Biomedical Aging Research,Institute for Biomedical Aging Research,,academic,accepted,0.6,model,2
Institute for Neurodegenerative Disorders,Institute for Neurodegenerative Disorders,,unknown,accepted,0.6,model,2
Institute of Oncology Ljubljana,Onkološki inštitut Ljubljana,,hospital,accepted,0.95,model,2
Institute of Psychophysiology and Rehabilitation IRP of the Kaunas University of Medicine,Kaunas University of Medicine,,academic,accepted,0.7,model,2
Institute of Tropical Medicine Antwerp,Instituut voor Tropische Geneeskunde Antwerpen,,academic,accepted,0.9,model,2
"Institution for Clinical Science, Karolinska Institutet",Karolinska Institutet,,academic,accepted,0.93,model,2
Instituto Bernabeu S.L.,Instituto Bernabeu,,hospital,accepted,0.9,model,2
Instituto Cataln de Oncologa,Institut Catala d'Oncologia,,hospital,accepted,0.95,model,2
Instituto Cientifico y Tecnologico de Navarra,Instituto Científico y Tecnológico de Navarra,,academic,accepted,0.7,model,2
Instituto Palacios,Instituto Palacios,,hospital,accepted,0.7,model,2
Instituto Universitario IVI Valencia,IVI,,academic,accepted,0.86,model,2
Instituto de Investigacin Biomdica de Salamanca,Instituto de Investigación Biomédica de Salamanca,,academic,accepted,0.9,model,2
Instituto de Investigacin del Hospital de la Santa Creu i Sant Pau,Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,academic,accepted,0.95,model,2
Instituto de Investigacion Sanitaria La Fe,Instituto de Investigación Sanitaria La Fe,,academic,accepted,0.93,model,2
Instytut Psychiatrii I Neurologii,Instytut Psychiatrii i Neurologii,,academic,accepted,0.8,model,2
"Intec Pharma, Ltd.",Intec Pharma,,industry,accepted,0.95,model,2
Integrative Research Laboratories Sweden AB IRLAB,Integrative Research Laboratories,,industry,accepted,0.95,model,2
InterMune,InterMune,,industry,accepted,0.9,model,2
Intercept Pharmaceuticals,Intercept Pharmaceuticals,,industry,accepted,0.98,model,2
Intergroupe Francophone de Cancerologie Thoracique,Intergroupe Francophone de Cancérologie Thoracique,,cooperative_group,accepted,0.9,model,2
International Extranodal Lymphoma Study Group,International Extranodal Lymphoma Study Group,,cooperative_group,accepted,0.95,model,2
Intrabio Limited,IntraBio,,industry,accepted,0.95,model,2
Inventiva,Inventiva,,industry,accepted,0.98,model,2
Investigacion Independiente,Investigacion Independiente,,unknown,accepted,0.4,model,2
Invox Pharma Limited,InvoX Pharma,,industry,accepted,0.95,model,2
Io Biotech ApS,IO Biotech,,industry,accepted,0.98,model,2
Ipsen Limited,Ipsen,,industry,accepted,0.97,model,2
"Irish Clinical Oncology Research Group CLG, trading as Cancer Trials Ireland",Cancer Trials Ireland,,cooperative_group,accepted,0.97,model,2
Iron Therapeutics Switzerland AG,Iron Therapeutics,,industry,accepted,0.9,model,2
Isala,Isala,,hospital,accepted,0.95,model,2
Isis Pharmaceuticals Inc.,Isis Pharmaceuticals,,industry,accepted,0.95,model,2
Ismail Ggenur,Ismail Ggenur,,individual,accepted,0.9,model,2
Istituti Clinici Scientifici Maugeri In Forma Abbreviata Istituti Clinici Scientifici Maugeri O Anche Ics Maugeri O Maugeri S.p.A. Sb,Istituti Clinici Scientifici Maugeri,,hospital,accepted,0.95,model,2
"Istituto Fisiologia Clinica, CNR",Consiglio Nazionale delle Ricerche,,public_body,accepted,0.75,model,2
Istituto Nazionale per lo Studio e la Cura dei Tumori di Napoli  Fondazione G.Pascale,Istituto Nazionale Tumori IRCCS Fondazione G. Pascale,,hospital,accepted,0.93,model,2
Istituto Ortopedico Rizzoli,Istituto Ortopedico Rizzoli,,hospital,accepted,0.95,model,2
Iterum Therapeutics International Limited,Iterum Therapeutics,,industry,accepted,0.9,model,2
Itf Research Pharma S.L.,ITF Research Pharma,,industry,accepted,0.97,model,2
"J. Uriach y Compaia, S. A.",Uriach,,industry,accepted,0.9,model,2
JANSSEN CILAG INTERNATIONAL NV,Janssen,Johnson & Johnson,industry,accepted,0.95,model,2
JSC BIOCAD,BIOCAD,,industry,accepted,0.9,model,2
Jan Engvall,Jan Engvall,,individual,accepted,0.9,model,2
Janne Rsnen,Janne Räsänen,,individual,accepted,0.6,model,2
Janssen Alzheimer Immunotherapy,Janssen,Johnson & Johnson,industry,accepted,0.85,model,2
"Janssen Biologics, BV",Janssen,Johnson & Johnson,industry,accepted,0.97,model,2
Janssen Cilag International N.V.,Janssen,Johnson & Johnson,industry,accepted,0.95,model,2
"Janssen RD, Ireland",Janssen,Johnson & Johnson,industry,accepted,0.93,model,2
Janssen Sciences Ireland Unlimited Company,Janssen,Johnson & Johnson,industry,accepted,0.93,model,2
Janssen Vaccines & Prevention B.V.,Janssen,Johnson & Johnson,industry,accepted,0.97,model,2
"Janssen-Cilag International, NV",Janssen,Johnson & Johnson,industry,accepted,0.95,model,2
Jazz Pharmaceuticals,Jazz Pharmaceuticals,,industry,accepted,0.95,model,2
"Jennerex, Inc",Jennerex,,industry,accepted,0.9,model,2
Jens Brglum,Jens Borglum,,individual,accepted,0.9,model,2
Jerini AG,Jerini,,industry,accepted,0.9,model,2
Johan Styrke,Johan Styrke,,individual,accepted,0.9,model,2
Johann Wolfgang Goethe Universitt,Goethe-Universität Frankfurt,,academic,accepted,0.95,model,2
Johann Wolfgang Goethe-Universitt Frankfurt am Main,Goethe-Universität Frankfurt,,academic,accepted,0.86,model,2
Johannes Kepler University Linz,Johannes Kepler University Linz,,academic,accepted,0.9,model,2
"Johnson  Johnson Healthcare Products Division of McNEIL-PPC, Inc.",McNeil,Johnson & Johnson,industry,accepted,0.8,model,2
"Johnson  Johnson Pharamceutical Research  Development, L.L.C.",Johnson & Johnson,,industry,accepted,0.95,model,2
Johnson & Johnson Enterprise Innovation Inc.,Johnson & Johnson,,industry,accepted,0.9,model,2
Johnson And Johnson Enterprise Innovation Inc.,Johnson & Johnson,,industry,accepted,0.9,model,2
Joint Research  Development Office QMUL,Queen Mary University of London,,academic,accepted,0.7,model,2
Joint Research Office,Joint Research Office,,unknown,accepted,0.4,model,2
Jos Antonio Prez Simn,Jose Antonio Perez Simon,,individual,accepted,0.7,model,2
Juan Francisco Navarro Gonzlez,Juan Francisco Navarro Gonzalez,,individual,accepted,0.9,model,2
Juha Hartikainen,Juha Hartikainen,,individual,accepted,0.9,model,2
Justus Liebig Universitt Gieen,Justus-Liebig-Universität Gießen,,academic,accepted,0.95,model,2
Justus-Liebig-Universitaet Giessen,Justus-Liebig-Universität Gießen,,academic,accepted,0.95,model,2
Justus-Liebig-University Gieen,Justus-Liebig-Universität Gießen,,academic,accepted,0.95,model,2
K.U. Leuven,KU Leuven,,academic,accepted,0.9,model,2
"KAI Pharmaceuticals, Inc a subsidiary of Amgen, Inc.",KAI Pharmaceuticals,,industry,accepted,0.85,model,2
KEDRION S.P.A,Kedrion,,industry,accepted,0.97,model,2
"KRKA, d.d., Novo mesto",Krka,,industry,accepted,0.95,model,2
"KRKA, tovarna zdravil, d. d., Novo mesto",Krka,,industry,accepted,0.95,model,2
KULeuven and University Hospitals Leuven Leuven Lung Transplant Group,UZ Leuven,,hospital,accepted,0.8,model,2
"KaloBios Pharmaceuticals, Inc.",KaloBios Pharmaceuticals,,industry,accepted,0.9,model,2
Kalvista Pharmaceuticals Limited,KalVista Pharmaceuticals,,industry,accepted,0.98,model,2
Kantonsspital Baden AG,Kantonsspital Baden,,hospital,accepted,0.9,model,2
Kardigan Inc.,Kardigan,,industry,accepted,0.6,model,2
Karolinska Hospital,Karolinska Universitetssjukhuset,,hospital,accepted,0.88,model,2
Karolinska institutet,Karolinska Institutet,,academic,accepted,0.93,model,2
Karolinska universitetssjukhuset,Karolinska Universitetssjukhuset,,hospital,accepted,0.88,model,2
Katholieke Universiteit Leuven - Pharmacotechnology and Biopharmacy,KU Leuven,,academic,accepted,0.95,model,2
Katholisches Klinikum Bochum gGmbH,Katholisches Klinikum Bochum,,hospital,accepted,0.9,model,2
Kedrion S.p.A.,Kedrion,,industry,accepted,0.97,model,2
Kern Pharma S.L.,Kern Pharma,,industry,accepted,0.9,model,2
"Keryx Biopharmaceuticals, Inc.",Keryx Biopharmaceuticals,,industry,accepted,0.9,model,2
Ketabon GmbH,Ketabon,,industry,accepted,0.9,model,2
"Kezar Life Sciences, Inc.",Kezar Life Sciences,,industry,accepted,0.99,model,2
Kge Hospital,"Sjællands Universitetshospital, Køge",,hospital,accepted,0.82,model,2
Kings College London / Guys and St. Thomas NHS Foundation Trust,King's College London,,academic,accepted,0.88,model,2
Kings College London / Guys and St.Thomas NHS Foundation Trust,King's College London,,academic,accepted,0.88,model,2
Kiniksa Pharmaceuticals GmbH,Kiniksa Pharmaceuticals,,industry,accepted,0.97,model,2
"Kiniksa Pharmaceuticals, Ltd.",Kiniksa Pharmaceuticals,,industry,accepted,0.97,model,2
"Kissei Pharmaceutical Co., Ltd.",Kissei Pharmaceutical,,industry,accepted,0.9,model,2
"Kite Pharma, Inc",Kite Pharma,Gilead Sciences,industry,accepted,0.97,model,2
"Kite Pharma, Inc.",Kite Pharma,Gilead Sciences,industry,accepted,0.97,model,2
Kitov Pharmaceuticals Ltd,Kitov Pharmaceuticals,,industry,accepted,0.9,model,2
Klinik Lwenstein gGmbH,Klinik Löwenstein,,hospital,accepted,0.8,model,2
"Klinik fr Herz- und Kreislauferkrankungen, Deutsches Herzzentrum Mnchen",Deutsches Herzzentrum München,,hospital,accepted,0.92,model,2
"Kliniken der Stadt Koeln gGmbH, Klinikum Merheim",Kliniken der Stadt Koln,,hospital,accepted,0.8,model,2
Klinikum Der Universitat Munchen AöR,Klinikum der Universität München,,hospital,accepted,0.9,model,2
Klinikum der Universitaet Muenchen AoeR,Klinikum der Universität München,,hospital,accepted,0.95,model,2
Klinikum der Universitt Mnchen-Grohadern,Klinikum der Universität München,,hospital,accepted,0.88,model,2
Knowledge Centre for Rheumatology and Back Diseases,Knowledge Centre for Rheumatology and Back Diseases,,hospital,accepted,0.6,model,2
Kon ordinace,Kon ordinace,,unknown,accepted,0.4,model,2
"Kowa Research Europe, Ltd.",Kowa,,industry,accepted,0.9,model,2
Krankenhaus Nordwest gGmbH,Krankenhaus Nordwest,,hospital,accepted,0.85,model,2
"Kronos Bio, Inc.",Kronos Bio,,industry,accepted,0.98,model,2
KuDOS Pharmaceuticals Ltd. a member of the AstraZeneca group of companies,KuDOS Pharmaceuticals,AstraZeneca,industry,accepted,0.8,model,2
Kumquat Biosciences Inc.,Kumquat Biosciences,,industry,accepted,0.9,model,2
Kuopion yliopistollinen sairaala,Kuopion yliopistollinen sairaala,,hospital,accepted,0.9,model,2
Kvinnokliniken,Kvinnokliniken,,hospital,accepted,0.4,model,2
Kymera Therapeutics Inc.,Kymera Therapeutics,,industry,accepted,0.9,model,2
Kyowa Hakko U.K. Limited,Kyowa Kirin,,industry,accepted,0.8,model,2
Kyowa Kirin Pharmaceutical Development Ltd.,Kyowa Kirin,,industry,accepted,0.9,model,2
LAB Pharma Ltd,LAB Pharma,,industry,accepted,0.8,model,2
LABORATORIOS LETI,LETI,,industry,accepted,0.95,model,2
LABORATORIOS LETI S.L.U,LETI,,industry,accepted,0.95,model,2
"LABORATORIOS LETI, S.L.U",LETI,,industry,accepted,0.95,model,2
LANDSTINGET I STERGTLAND,Region Östergötland,,public_body,accepted,0.88,model,2
LAVA Therapeutics N.V.,LAVA Therapeutics,,industry,accepted,0.95,model,2
LEO PHARMA A/S,LEO Pharma,,industry,accepted,0.98,model,2
LFB SA,LFB,,industry,accepted,0.95,model,2
LOFARMA S.P.A.,Lofarma,,industry,accepted,0.98,model,2
LOREAL RECHERCHE,L'Oreal,,industry,accepted,0.9,model,2
LWL University Hospital Bochum,LWL Universitatsklinikum Bochum,,hospital,accepted,0.75,model,2
"LWL University Hospital Bochum, Ruhr-University Bochum",LWL Universitatsklinikum Bochum,,hospital,accepted,0.75,model,2
Laboratoire GlaxoSmithKline,GlaxoSmithKline,,industry,accepted,0.9,model,2
Laboratoires BOIRON,Boiron,,industry,accepted,0.97,model,2
Laboratoires Expanscience,Laboratoires Expanscience,,industry,accepted,0.95,model,2
Laboratoires NEGMA,Laboratoires NEGMA,,academic,accepted,0.8,model,2
"Laboratorios LETI, S.L.U",LETI,,industry,accepted,0.95,model,2
"Laboratorios LETI, S.L.Unipersonal",LETI,,industry,accepted,0.95,model,2
"Laboratorios Salvat, S.A.",Laboratorios Salvat,,industry,accepted,0.98,model,2
Laboratorios Servier S.L.,Servier,,industry,accepted,0.95,model,2
Laboratorios del Dr. Esteve. S.A,Esteve,,industry,accepted,0.97,model,2
Laboratoris Sanifit,Sanifit,,industry,accepted,0.9,model,2
Landspitali,Landspitali,,hospital,accepted,0.95,model,2
Landspitali - The National University Hospital of Iceland,Landspitali,,hospital,accepted,0.95,model,2
Landspitali University Hospital,Landspitali,,hospital,accepted,0.95,model,2
Landstinget Vstmanland,Landstinget Vastmanland,,public_body,accepted,0.9,model,2
Landstinget i stergtland,Region Östergötland,,public_body,accepted,0.88,model,2
"Lantheus Medical Imaging, Inc.",Lantheus Medical Imaging,,industry,accepted,0.9,model,2
Lars Jrgen stergaard,Lars Jørgen Østergaard,,individual,accepted,0.9,model,2
Latigo Biotherapeutics Inc.,Latigo Biotherapeutics,,industry,accepted,0.9,model,2
Lead Chemical Company Ltd,Lead Chemical Company,,industry,accepted,0.9,model,2
Leap Therapeutics Inc.,Leap Therapeutics,,industry,accepted,0.9,model,2
Leiden University / Leiden University Medical Center,Universiteit Leiden,,academic,accepted,0.85,model,2
Les Hpitaux Universitaires de Strasbourg,Hôpitaux Universitaires de Strasbourg,,hospital,accepted,0.98,model,2
Les Laboratoires CTRS,Les Laboratoires CTRS,,industry,accepted,0.8,model,2
Lilly  S.A.,Eli Lilly,,industry,accepted,0.96,model,2
"Lilly Deutschland GmbH, Teichweg 3, 35396 Gieen",Eli Lilly,,industry,accepted,0.9,model,2
Lilly S.A,Eli Lilly,,industry,accepted,0.96,model,2
LiteVax B.V.,LiteVax,,industry,accepted,0.97,model,2
Lokon Pharma AB,Lokon Pharma,,industry,accepted,0.9,model,2
Ludwig Boltzmann Institut fr Retinologie und biomikroskopische Laserchirurgie,Ludwig Boltzmann Institute for Retinology and Biomicroscopic Laser Surgery,,academic,accepted,0.9,model,2
Ludwig Institute for Cancer Research,Ludwig Institute for Cancer Research,,foundation,accepted,0.9,model,2
Lukcs s Trsa Gygyszerkereskedelmi Betti Trsasg,Lukács és Társa Gyógyszerkereskedelmi Betéti Társaság,,industry,accepted,0.6,model,2
Lumena Pharmaceuticals LLC,Lumena Pharmaceuticals,,industry,accepted,0.9,model,2
Lument AB,Lument AB,,industry,accepted,0.6,model,2
"Lumos Pharma, Inc.",Lumos Pharma,,industry,accepted,0.95,model,2
Lung LLC,Lung LLC,,industry,accepted,0.4,model,2
Lupin Atlantis Holdings SA,Lupin,,industry,accepted,0.9,model,2
Lupin Europe GmbH,Lupin,,industry,accepted,0.9,model,2
Luye Pharma Switzerland AG,Luye Pharma,,industry,accepted,0.85,model,2
Lycera Corp.,Lycera,,industry,accepted,0.9,model,2
Lymphoma Academic Research Organisation,Lymphoma Academic Research Organisation,,cooperative_group,accepted,0.8,model,2
"Lyra Therapeutics, Inc.",Lyra Therapeutics,,industry,accepted,0.98,model,2
MAPS Europe B.V.,MAPS Europe,,industry,accepted,0.7,model,2
MASTELLI SRL,Mastelli,,industry,accepted,0.9,model,2
MB PHARMA s.r.o.,MB Pharma,,industry,accepted,0.9,model,2
MC2 Therapeutics Ltd.,MC2 Therapeutics,,industry,accepted,0.9,model,2
MDM S.P.A.,MDM S.p.A.,,industry,accepted,0.9,model,2
MDM S.p.A.,MDM S.p.A.,,industry,accepted,0.9,model,2
MEDA Pharma GmbH & Co. KG,Meda,Mylan,industry,accepted,0.9,model,2
MEDDAY PHARMACEUTICALS,MedDay Pharmaceuticals,,industry,accepted,0.9,model,2
"MEI Pharma, Inc.",MEI Pharma,,industry,accepted,0.9,model,2
MENARINI Benelux NV/SA,Menarini,,industry,accepted,0.95,model,2
MENARINI RICERCHE S.p.A,Menarini,,industry,accepted,0.95,model,2
MERCK SERONO SPA,Merck KGaA,,industry,accepted,0.92,model,2
MERCK SHARP  DOHME CORP. UNA SUSSIDIARIA DI MERCK  CO. INC.,MSD,,industry,accepted,0.93,model,2
MIGUEL CASARES FERNNDEZ-ALVS,Miguel Casares Fernández-Alvés,,individual,accepted,0.6,model,2
ML Bio Solutions Inc.,ML Bio Solutions,,industry,accepted,0.6,model,2
MOLTENI,Molteni,,industry,accepted,0.75,model,2
MRM Health NV,MRM Health,,industry,accepted,0.9,model,2
MSD,MSD,,industry,accepted,0.93,model,2
MSD ITALIA S.R.L.,MSD,,industry,accepted,0.93,model,2
MUMC+,Maastricht Universitair Medisch Centrum,,hospital,accepted,0.85,model,2
MUNDIPHARMA RESEARCH LIMITED,Mundipharma,,industry,accepted,0.95,model,2
"MUST Coordinating Centre, John Hopkins Bloomberg School of Public Health",Johns Hopkins Bloomberg School of Public Health,,academic,accepted,0.7,model,2
MaaT PHARMA,MaaT Pharma,,industry,accepted,0.98,model,2
Maastro Clinic,MAASTRO Clinic,,academic,accepted,0.95,model,2
Mabion S.A.,Mabion,,industry,accepted,0.99,model,2
Macrogenics Inc.,MacroGenics,,industry,accepted,0.98,model,2
Madaus GmbH,Madaus,,industry,accepted,0.75,model,2
Madrigal Pharmaceuticals Inc.,Madrigal Pharmaceuticals,,industry,accepted,0.98,model,2
Mads Werner,Mads Werner,,individual,accepted,0.9,model,2
Magle AB,Magle AB,,industry,accepted,0.9,model,2
Maia Biotechnology Inc.,Maia Biotechnology,,industry,accepted,0.9,model,2
Manchester Mental Health and Social Care Trust,Manchester Mental Health and Social Care Trust,,hospital,accepted,0.9,model,2
Maplight Therapeutics Inc.,Maplight Therapeutics,,industry,accepted,0.9,model,2
Marc Van de Velde,Marc Van de Velde,,individual,accepted,0.9,model,2
Mari Grnroos,Mari Grönroos,,individual,accepted,0.6,model,2
Marinomed Biotechnologie GmbH,Marinomed Biotech,,industry,accepted,0.9,model,2
Marinus Pharmaceuticals Inc.,Marinus Pharmaceuticals,,industry,accepted,0.98,model,2
Martina Bachmann,Martina Bachmann,,individual,accepted,0.9,model,2
Martina Hansens Hospital,Martina Hansens Hospital,,hospital,accepted,0.95,model,2
"Mast Therapeutics, Inc.",Mast Therapeutics,,industry,accepted,0.9,model,2
Matti Eskelinen,Matti Eskelinen,,individual,accepted,0.8,model,2
Max Planck Institute of Psychiatry,Max-Planck-Institut für Psychiatrie,,academic,accepted,0.95,model,2
Max Zeller Shne AG,Max Zeller Söhne,,industry,accepted,0.9,model,2
Max-Planck-Institute of Psychiatry,Max-Planck-Institut für Psychiatrie,,academic,accepted,0.95,model,2
Maxima MC,Máxima Medisch Centrum,,hospital,accepted,0.9,model,2
Mayne Pharma LLC,Mayne Pharma,,industry,accepted,0.9,model,2
Mc2 Therapeutics Limited,MC2 Therapeutics,,industry,accepted,0.9,model,2
McMaster University,McMaster University,,academic,accepted,0.9,model,2
Meander Medical Center,Meander Medical Center,,hospital,accepted,0.95,model,2
Meander Medisch Centrum,Meander Medisch Centrum,,hospital,accepted,0.95,model,2
"Med. Klinik II, Grosshadern, Klinikum der Universitt Mnchen",Klinikum der Universität München,,hospital,accepted,0.88,model,2
"Med. Univ. Wien, Klinik fr klinische Pharmakologie",Medizinische Universität Wien,,academic,accepted,0.93,model,2
"Med. Univ. Wien, Universittsklinik fr Ansthesie, Allgemeine Intensivmedizin und Schmerztherapie",Medizinische Universität Wien,,academic,accepted,0.93,model,2
"MediWound, Ltd.",MediWound,,industry,accepted,0.98,model,2
Mediar Therapeutics Inc.,Mediar Therapeutics,,industry,accepted,0.9,model,2
Medibiofarma S.L.,Medibiofarma,,industry,accepted,0.95,model,2
Medica Scientia Innovation Research MEDSIR,MedSIR,,academic,accepted,0.95,model,2
Medica Scientia Innovation Research S.L. MEDSIR,MedSIR,,academic,accepted,0.95,model,2
Medical Centre Haaglanden,Medical Centre Haaglanden,,hospital,accepted,0.95,model,2
Medical Centre Leeuwarden,Medical Centre Leeuwarden,,hospital,accepted,0.95,model,2
Medical Developments International Limited,Medical Developments International,,industry,accepted,0.8,model,2
"Medical Faculty, Otto-von-Guericke University",Otto-von-Guericke-Universität Magdeburg,,academic,accepted,0.93,model,2
"Medical Faculty, TU Dresden",Technische Universität Dresden,,academic,accepted,0.95,model,2
"Medical Faculty, University Magdeburg",Otto-von-Guericke-Universität Magdeburg,,academic,accepted,0.93,model,2
Medical University Of Silesia Katowice Poland,Medical University of Silesia,,academic,accepted,0.75,model,2
Medical University of Innsbruck,Medizinische Universität Innsbruck,,academic,accepted,0.94,model,2
Medical University of Vienna MUW,Medizinische Universität Wien,,academic,accepted,0.93,model,2
"Medical University of Vienna, Department for Internal Medicine III, Division of Rheumatology",Medizinische Universität Wien,,academic,accepted,0.93,model,2
"Medical University of Vienna, Department of Internal medicine I",Medizinische Universität Wien,,academic,accepted,0.93,model,2
"Medical University, Dpt. Internal Medicin, Division of General Inteal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",,academic,accepted,0.6,model,2
"Medical University, Dpt. Internal Medicine, Div. of General Internal Medicine","Medical University, Dpt. of Internal Medicine, Division of General Internal Medicine",,academic,accepted,0.6,model,2
Medicenna Therapeutics Inc.,Medicenna Therapeutics,,industry,accepted,0.9,model,2
"Medicinsk Forskning, Regionshospitalet Holstebro, Hospitalsenheden Vest",Regionshospitalet Holstebro,,hospital,accepted,0.75,model,2
"Medicinsk Forskningsafsnit, Regionshospitalet Holstebro Department of Medical Research, Regional Hospital Holstebro",Regionshospitalet Holstebro,,hospital,accepted,0.75,model,2
Medicure International Inc.,Medicure,,industry,accepted,0.9,model,2
Medilink Therapeutics (Suzhou) Co. Ltd.,Medilink Therapeutics,,industry,accepted,0.9,model,2
Medisch Centrum Haaglanden,Haaglanden Medisch Centrum,,hospital,accepted,0.9,model,2
"Medivation, Inc., a wholly owned subsidiary of Pfizer Inc.",Medivation,Pfizer,industry,accepted,0.85,model,2
Medizinische Fakultaet der Technischen Universitaet Muenchen,Technische Universität München,,academic,accepted,0.9,model,2
