raw_substance,substance_clean,substance_salt,substance_type,match_status,confidence,decided_by,n_trials
PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B CONJUGATED TO CRM197 ADSORBED ON ALUMINIUM PHOSPHATE,Streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,,,accepted,0.6,model,5
PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V CONJUGATED TO CRM197 ADSORBED ON ALUMINIUM PHOSPHATE,Streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,,,accepted,0.55,model,5
POLIOVIRUS INACTIVATED TYPE 1,Poliovirus vaccine inactivated,,,accepted,0.75,model,5
POLIOVIRUS INACTIVATED TYPE 2,Poliovirus vaccine inactivated,,,accepted,0.6,model,5
POLIOVIRUS INACTIVATED TYPE 3,Poliovirus vaccine inactivated,,,accepted,0.5,model,5
PRAMIPEXOLE,Pramipexole,,,accepted,1,registry,5
PRAX-628,Prax-628,,small_molecule,accepted,0.6,model,5
PREDNISONA,Prednisone,,,accepted,1,registry,5
"PREDNISONE ARROW 20 mg, comprimé sécable",Prednisone,,,accepted,1,registry,5
PRGF-ENDORET,Plasma rich in growth factors,,blood_product,accepted,0.85,model,5
PROLEUKIN® 18 x 106 IU Powder for solution for injection or infusion,Aldesleukin,,,accepted,1,registry,5
PROPAFENONE,Propafenone,hydrochloride,,accepted,1,registry,5
PYRIMETHAMINE,Pyrimethamine,,,accepted,1,registry,5
Paclitaxel Teva 6 mg,Paclitaxel,,,accepted,1,registry,5
Paclitaxel-GRY® 6 mg,Paclitaxel,,,accepted,0.97,model,5
Pacritinib,Pacritinib,citrate,,accepted,1,registry,5
Pantoprazole Sodium,Pantoprazole,sodium,,accepted,1,registry,5
Paracetamol 10 mg,Paracetamol,,,accepted,1,registry,5
Patritumab deruxtecan,Patritumab deruxtecan,,,accepted,1,registry,5
Paxlovid 150 mg + 100 mg film-coated tablets,Nirmatrelvir|ritonavir,,,accepted,1,registry,5
Pazenir 5 mg,Paclitaxel,,,accepted,1,registry,5
PegIntron,Peginterferon alfa-2b,,,accepted,1,registry,5
Pegasys 180 micrograms solution for injection in pre-filled syringe,Peginterferon alfa-2a,,,accepted,1,registry,5
Phenytoin,Phenytoin,sodium,,accepted,1,registry,5
Phleum pratense,Phleum pratense pollen allergen extract,,biologic,accepted,0.85,model,5
Pioglitazon,Pioglitazone,hydrochloride,,accepted,0.98,model,5
Pioglitazone hydrochloride,Pioglitazone,hydrochloride,,accepted,1,registry,5
Placebo double encapsulated oral transplant of fecal microbiota,Placebo,,placebo,accepted,1,registry,5
Placebo to 100mg masitinib,Placebo,,placebo,accepted,1,registry,5
Placebo to 200mg masitinib,Placebo,,placebo,accepted,1,registry,5
Placebo to match ALKS 2680,Placebo,,placebo,accepted,1,registry,5
Poliovirus 3 types,Poliovirus vaccine inactivated,,,accepted,0.85,model,5
Pred Forte 1% w,Prednisolone,acetate,,accepted,0.85,model,5
Prednisolon 5 mg JENAPHARM,Prednisolone,acetate,,accepted,0.95,model,5
Prograf,Tacrolimus,,,accepted,0.9,model,5
Prograf 1 mg Hartkapseln,Tacrolimus,,,accepted,0.95,model,5
Prograft,Tacrolimus,,,accepted,0.9,model,5
Proleukin,Aldesleukin,,,accepted,1,registry,5
Prolia,Denosumab,,,accepted,1,registry,5
Purified Diphtheria Toxoid,Diphtheria toxoid,,,accepted,0.8,model,5
Purified Tetanus Toxoid,Tetanus toxoid adsorbed,,,accepted,0.6,model,5
Purified antigen fractions of inactivated influenza viruses,Influenza virus vaccine,,,accepted,0.5,model,5
Purified filamentous haemagglutinin FHA,Bordetella pertussis filamentous hemagglutinin,,,accepted,0.7,model,5
Purified pertactin PRN,Bordetella pertussis pertactin autotransporter,,,accepted,0.75,model,5
Purified pertussis toxoid PT,Pertussis toxoid,,vaccine,accepted,0.95,model,5
Quetiapine Fumarate Sustained Release,Quetiapine,fumarate,,accepted,1,registry,5
RABBIT ANTI-HUMAN THYMOCYTE IMMUNOGLOBULIN,Anti-thymocyte immunoglobulin (rabbit),,biologic,accepted,0.92,model,5
RALTEGRAVIR POTASSIUM,Raltegravir,potassium,,accepted,1,registry,5
RANITIDINE,Ranitidine,hydrochloride,,accepted,1,registry,5
RELAMORELIN,Relamorelin,,,accepted,1,registry,5
RELATLIMAB,Relatlimab,,,accepted,1,registry,5
REZZAYO 200 mg powder for concentrate for solution for infusion,Rezafungin,acetate,,accepted,0.9,model,5
RIFAPENTINE,Rifapentine,,,accepted,1,registry,5
RILUZOLE,Riluzole,,,accepted,1,registry,5
RIOCIGUAT,Riociguat,,,accepted,1,registry,5
RIVASTIGMINE,Rivastigmine,tartrate,,accepted,1,registry,5
RO7034067,Risdiplam,,,accepted,1,registry,5
ROSUVASTATIN CALCIUM,Rosuvastatin,calcium,,accepted,1,registry,5
Rabeprazole Sodium,Rabeprazole,sodium,,accepted,1,registry,5
Rapiscan 400 microgram solution for injection,Regadenoson,anhydrous,,accepted,1,registry,5
Ravulizumab,Ravulizumab,,,accepted,1,registry,5
Rebetol,Ribavirin,,,accepted,1,registry,5
Relugolix,Relugolix,,,accepted,1,registry,5
Remibrutinib,Remibrutinib,,,accepted,1,registry,5
Repotrectinib (TPX-0005),Repotrectinib,,,accepted,1,registry,5
Ribavirina,Ribavirin,,,accepted,1,registry,5
Rinatabart Sesutecan,Rinatabart sesutecan,,,accepted,1,registry,5
Ritalin,Methylphenidate,hydrochloride,,accepted,1,registry,5
RoActemra 162 mg solution for injection in pre-filled pen.,Tocilizumab,,,accepted,1,registry,5
Romidepsin,Romidepsin,,,accepted,1,registry,5
Romiplostim,Romiplostim,,,accepted,1,registry,5
Rozanolixizumab,Rozanolixizumab,,,accepted,1,registry,5
Rozlytrek 100 mg hard capsules,Entrectinib,,,accepted,1,registry,5
Rubella virus Wistar RA 27,"Rubella virus, live attenuated",,,accepted,0.7,model,5
Rubraca 300 mg film-coated tablets,Rucaparib camsylate,,,accepted,1,registry,5
S44121,S44121,,small_molecule,accepted,0.4,model,5
SAR439774,Sar439774,,small_molecule,accepted,0.5,model,5
SODIUM BICARBONATE,Sodium bicarbonate,,,accepted,1,registry,5
SOLDESAM 8 mg,Dexamethasone sodium phosphate,,,accepted,1,registry,5
SOMATROPINA,Somatropin,,,accepted,1,registry,5
STAVUDINE,Stavudine,,,accepted,1,registry,5
SUGAMMADEX SODIUM,Sugammadex,sodium,,accepted,1,registry,5
SULPIRIDE,Sulpiride,,,accepted,1,registry,5
"Saline, 0.9% Sodium Chloride Solution for Injection",Sodium chloride,,,accepted,1,registry,5
Saphnelo 300 mg concentrate for solution for infusion,Anifrolumab,,,accepted,1,registry,5
Sapropterin,Sapropterin,,,accepted,1,registry,5
Savolitinib,Savolitinib,,,accepted,1,registry,5
Serlopitant,Serlopitant,,,accepted,1,registry,5
Sertraline,Sertraline,hydrochloride,,accepted,1,registry,5
Sevelamer,Sevelamer,,,accepted,1,registry,5
Siltuximab,Siltuximab,,,accepted,1,registry,5
Sodium,Sodium,,small_molecule,accepted,0.5,model,5
Sodium Chloride 0.9% w,Sodium chloride,,,accepted,0.95,model,5
Sodium Chloride Intravenous Infusion BP 0.9% w,Sodium chloride,,,accepted,0.95,model,5
Sodium sulphate,Sodium sulfate,anhydrous,,accepted,0.85,model,5
Sodium zirconium cyclosilicate,Sodium zirconium cyclosilicate,,,accepted,1,registry,5
Solifenacin succinate,Solifenacin,succinate,,accepted,1,registry,5
Solu-Medrol,Methylprednisolone sodium succinate,,,accepted,1,registry,5
SomaKit TOC 40 micrograms kit for radiopharmaceutical preparation,Edotreotide gallium ga-68,,,accepted,0.6,model,5
Sotrovimab,Sotrovimab,,,accepted,1,registry,5
"Suero Fisiológico Braun 0,9% disolvente para uso parenteral Cloruro de sodio",Sodium chloride,,,accepted,0.98,model,5
Sufenta,Sufentanil,citrate,,accepted,1,registry,5
Syntocinon 40 IE,Oxytocin,,,accepted,1,registry,5
TAFLUPROST,Tafluprost,,,accepted,1,registry,5
TAXOL 6 mg,Paclitaxel,,,accepted,1,registry,5
TAZOBACTAM SODIUM,Tazobactam,sodium,,accepted,1,registry,5
TENOFOVIR ALAFENAMIDE FUMARATE,Tenofovir alafenamide,fumarate,,accepted,1,registry,5
TILDRAKIZUMAB,Tildrakizumab,,,accepted,1,registry,5
TIOTROPIUM,Tiotropium,bromide,,accepted,1,registry,5
TIOTROPIUM BROMIDE MONOHYDRATE,Tiotropium,bromide,,accepted,1,registry,5
TMT212,Trametinib,,,accepted,1,registry,5
TOBRAMYCIN SULFATE,Tobramycin,sulfate,,accepted,1,registry,5
TOLCAPONE,Tolcapone,,,accepted,1,registry,5
TREPROSTINIL PALMITIL INHALATION POWDER,Treprostinil palmitil,,,accepted,1,registry,5
"TRIFLURIDINE, COMBINATIONS",Trifluridine,,,accepted,1,registry,5
TRIPTORELIN PAMOATE,Triptorelin,,,accepted,1,registry,5
TROMBINA UMANA,Thrombin,,,accepted,1,registry,5
TROPICAMIDE,Tropicamide,,,accepted,1,registry,5
TRYPTOPHAN,Tryptophan,,,accepted,1,registry,5
Tafluprost,Tafluprost,,,accepted,1,registry,5
Talazoparib,Talazoparib,tosylate,,accepted,1,registry,5
Taltz 80 mg solution for injection in pre-filled syringe,Ixekizumab,,,accepted,1,registry,5
Taurine,Taurine,,,accepted,1,registry,5
Tecentriq,Atezolizumab,,,accepted,1,registry,5
Teicoplanin,Teicoplanin,,,accepted,1,registry,5
Temodal 140 mg hard capsules,Temozolomide,,,accepted,1,registry,5
Temodal 180 mg hard capsules,Temozolomide,,,accepted,1,registry,5
Temodal 250 mg hard capsules,Temozolomide,,,accepted,1,registry,5
Temodal 5 mg hard capsules,Temozolomide,,,accepted,1,registry,5
Temozolomide Accord 100 mg hard capsules.,Temozolomide,,,accepted,1,registry,5
Temozolomide SUN 180 mg hard capsules,Temozolomide,,,accepted,1,registry,5
Tetrahydrocannabinol Botanical Drug Substance THC BDS,Dronabinol,,,accepted,1,registry,5
Texas,A/texas influenza strain,,vaccine,accepted,0.7,model,5
Theophylline,Theophylline,,,accepted,1,registry,5
Timolol maleate,Timolol,maleate,,accepted,1,registry,5
Tolterodine tartrate,Tolterodine,tartrate,,accepted,1,registry,5
Tozorakimab-placebo,Placebo,,placebo,accepted,1,registry,5
Trecondi 5 g powder for solution for infusion,Treosulfan,,,accepted,1,registry,5
Tropicamide,Tropicamide,,,accepted,1,registry,5
Truvada,Emtricitabine|tenofovir disoproxil fumarate,,,accepted,1,registry,5
Truvada 200 mg,Emtricitabine|tenofovir disoproxil fumarate,,,accepted,1,registry,5
Tryptophan,Tryptophan,,,accepted,1,registry,5
UBIDECARENONE,Ubidecarenone,,,accepted,1,registry,5
UBLITUXIMAB,Ublituximab,,,accepted,1,registry,5
Urea,Urea,,,accepted,1,registry,5
VALACICLOVIR,Valacyclovir,hydrochloride,,accepted,1,registry,5
VALSARTAN AND SACUBITRIL,Valsartan,,,accepted,1,registry,5
VERDE INDOCIANINA,Indocyanine green,,,accepted,0.9,model,5
VIR-2218,Elebsiran,,,accepted,1,registry,5
VIR-3434,Tobevibart,,,accepted,1,registry,5
VS-6063,Defactinib,hydrochloride,,accepted,0.9,model,5
Valproate,Valproic acid,,,accepted,1,registry,5
Vancomycin Hydrochloride,Vancomycin,hydrochloride,,accepted,1,registry,5
Velcade,Bortezomib,,,accepted,0.9,model,5
"Venclexta, Venclyxto",Venetoclax,,,accepted,1,registry,5
Vericiguat,Vericiguat,,,accepted,1,registry,5
Vismodegib,Vismodegib,,,accepted,1,registry,5
Visudyne,Verteporfin,,,accepted,1,registry,5
Vitamin C,Ascorbic acid,,,accepted,0.98,model,5
Vitamin E,Vitamin e,,,accepted,1,registry,5
Voclosporin,Voclosporin,,,accepted,1,registry,5
Vusolimogene oderparepvec,Vusolimogene oderparepvec,,,accepted,1,registry,5
Wegovy 0.25 mg solution for injection in pre-filled pen,Semaglutide,,,accepted,1,registry,5
Wegovy 0.5 mg solution for injection in pre-filled pen,Semaglutide,,,accepted,1,registry,5
Wegovy 1.7 mg solution for injection in pre-filled pen,Semaglutide,,,accepted,1,registry,5
Xarelto 10 mg film-coated tablets,Rivaroxaban,,,accepted,1,registry,5
Xarelto 15 mg film-coated tablets,Rivaroxaban,,,accepted,1,registry,5
Xolair 150 mg solution for injection in pre-filled syringe,Omalizumab,,,accepted,1,registry,5
ZOLPIDEM,Zolpidem,tartrate,,accepted,1,registry,5
Zithromax,Azithromycin,monohydrate,,accepted,1,registry,5
Zometa,Zoledronic acid,,,accepted,0.9,model,5
[18F]FAPI-74,[18f]fapi-74,,radiopharmaceutical,accepted,0.85,model,5
acide folinique,Leucovorin,,,accepted,0.95,model,5
afamelanotide,Afamelanotide,acetate,,accepted,1,registry,5
aripiprazole,Aripiprazole,monohydrate,,accepted,1,registry,5
atazanavir,Atazanavir,sulfate,,accepted,1,registry,5
azithromycin,Azithromycin,monohydrate,,accepted,1,registry,5
bardoxolone methyl,Bardoxolone methyl,,,accepted,1,registry,5
baricitinib,Baricitinib,,,accepted,1,registry,5
belimumab,Belimumab,,,accepted,1,registry,5
boceprevir,Boceprevir,,,accepted,1,registry,5
bupivacaine hydrochloride,Bupivacaine,hydrochloride,,accepted,1,registry,5
canagliflozin,Canagliflozin,anhydrous,,accepted,1,registry,5
carbidopa,Carbidopa,anhydrous,,accepted,1,registry,5
cediranib,Cediranib,maleate,,accepted,1,registry,5
ciclosporine,Ciclosporin,,,accepted,1,registry,5
colestilan,Colestilan,chloride,,accepted,1,registry,5
crizotinib,Crizotinib,,,accepted,1,registry,5
dasatinib,Dasatinib,,,accepted,1,registry,5
dexmedetomidine,Dexmedetomidine,hydrochloride,,accepted,1,registry,5
dexmedetomidine hydrochloride,Dexmedetomidine,hydrochloride,,accepted,1,registry,5
dimethyl fumarate,Dimethyl fumarate,,,accepted,1,registry,5
donepezil,Donepezil,hydrochloride,,accepted,1,registry,5
dovitinib,Dovitinib,lactate,,accepted,1,registry,5
dronabinol,Dronabinol,,,accepted,1,registry,5
elafibranor,Elafibranor,,,accepted,1,registry,5
elvitegravir,Elvitegravir,,,accepted,1,registry,5
emtricitabina,Emtricitabine,,,accepted,1,registry,5
epirubicin,Epirubicin,hydrochloride,,accepted,1,registry,5
eptacog alfa activated,Eptacog alfa (activated),,,accepted,0.99,model,5
etrasimod L-arginine,Etrasimod,,,accepted,1,registry,5
fidaxomicin,Fidaxomicin,,,accepted,1,registry,5
g Creme,,,,rejected,,,5
glimepiride,Glimepiride,,,accepted,1,registry,5
idecabtagene vicleucel,Idecabtagene vicleucel,,,accepted,1,registry,5
imiquimod,Imiquimod,,,accepted,1,registry,5
"infuusioneste, liuos",,,,rejected,,,5
ixazomib,Ixazomib,citrate,,accepted,1,registry,5
ixekizumab,Ixekizumab,,,accepted,1,registry,5
ketamine,Ketamine,hydrochloride,,accepted,1,registry,5
ketamine hydrochloride,Ketamine,hydrochloride,,accepted,1,registry,5
lenvatinib,Lenvatinib,,,accepted,1,registry,5
lesinurad,Lesinurad,,,accepted,1,registry,5
lisinopril,Lisinopril,anhydrous,,accepted,1,registry,5
mL oral suspension,,,,rejected,,,5
mL powder for oral solution,,,,rejected,,,5
masitinib,Masitinib,,,accepted,1,registry,5
methoxsalen,Methoxsalen,,,accepted,1,registry,5
midazolam,Midazolam,hydrochloride,,accepted,1,registry,5
migalastat hydrochloride,Migalastat,hydrochloride,,accepted,1,registry,5
ml - Ampullen,,,,rejected,,,5
ml Injection.,,,,rejected,,,5
ml Pricktestlösung.,,,,rejected,,,5
ml Pulver für ein Konzentrat zur Herstellung einer Infusionslösung,,,,rejected,,,5
ml Pulver zur Herstellung einer Infusionslösung,,,,rejected,,,5
ml colirio en suspensión,,,,rejected,,,5
ml koncentrát pro infuzní roztok,,,,rejected,,,5
ml solución inyectable EFG,,,,rejected,,,5
ml solution for injection in a pre-filled pen,,,,rejected,,,5
"ml, Injektions-",,,,rejected,,,5
momelotinib dihydrochloride monohydrate,Momelotinib dihydrochloride,monohydrate,,accepted,1,registry,5
montelukast,Montelukast,sodium,,accepted,1,registry,5
natalizumab,Natalizumab,,,accepted,1,registry,5
nivobotulinumtoxinA,Nivobotulinumtoxina,,,accepted,1,registry,5
omeprazole,Omeprazole,,,accepted,1,registry,5
ontamalimab,Ontamalimab,,,accepted,1,registry,5
osimertinib,Osimertinib,,,accepted,1,registry,5
palonosetron,Palonosetron,hydrochloride,,accepted,1,registry,5
panitumumab,Panitumumab,,,accepted,1,registry,5
panobinostat,Panobinostat,lactate,,accepted,1,registry,5
patupilone,Patupilone,,,accepted,1,registry,5
pegfilgrastim,Pegfilgrastim,,,accepted,1,registry,5
piperacillin,Piperacillin,sodium,,accepted,1,registry,5
progesterone,Progesterone,,,accepted,1,registry,5
quetiapine,Quetiapine,fumarate,,accepted,1,registry,5
quetiapine fumarate,Quetiapine,fumarate,,accepted,1,registry,5
recMAGE-A3 recombinant protein formulated in AS15 adjuvant,Astuprotimut-r,,,accepted,0.9,model,5
ridaforolimus,Ridaforolimus,,,accepted,1,registry,5
rilpivirine hydrochloride,Rilpivirine,hydrochloride,,accepted,1,registry,5
riociguat,Riociguat,,,accepted,1,registry,5
risedronate,Risedronic acid,,,accepted,1,registry,5
ropivacain,Ropivacaine,hydrochloride,,accepted,0.96,model,5
sabatolimab,Sabatolimab,,,accepted,1,registry,5
salicylic acid,Salicylic acid,,,accepted,1,registry,5
sebelipase alfa,Sebelipase alfa,,,accepted,1,registry,5
setmelanotide,Setmelanotide,,,accepted,1,registry,5
sitagliptin phosphate,Sitagliptin,,,accepted,1,registry,5
tafluprost,Tafluprost,,,accepted,1,registry,5
tislelizumab,Tislelizumab,,,accepted,1,registry,5
topotecan,Topotecan,hydrochloride,,accepted,1,registry,5
trametinib,Trametinib,,,accepted,1,registry,5
trastuzumab deruxtecan,Trastuzumab deruxtecan,,,accepted,1,registry,5
trastuzumab emtansine,Trastuzumab emtansine,,,accepted,1,registry,5
tremelimumab,Tremelimumab,,,accepted,1,registry,5
treprostinil diethanolamine,Treprostinil diolamine,,,accepted,1,registry,5
triamcinolone acetonide,Triamcinolone acetonide,,,accepted,1,registry,5
ublituximab,Ublituximab,,,accepted,1,registry,5
"v, Eye Drops Suspension",,,,rejected,,,5
vemurafenib,Vemurafenib,,,accepted,1,registry,5
zalutumumab,Zalutumumab,,,accepted,1,registry,5
ziltivekimab,Ziltivekimab,,,accepted,1,registry,5
0.36 mL solution for injection,,,,rejected,,,4
0.5 g powder for concentrate for solution for infusion,,,,rejected,,,4
0.5 mL concentrate for solution for infusion,,,,rejected,,,4
0.72 mL solution for injection,,,,rejected,,,4
0.8 mL Solution for injection in pre-filled syringe with needle safety device,,,,rejected,,,4
0.8 ml solution for injection,,,,rejected,,,4
"1 4R,5R-4,5-dihydroxy-N2-4-pentyloxy1,1:4,1 -terphenyl-4-ylcarbonyl-L-ornithine echinocandin B",Anidulafungin,,,accepted,0.9,model,4
1),,,,rejected,,,4
"1,6-glucan","1,6-glucan",,supplement_or_excipient,accepted,0.6,model,4
1.1-70 × 106 cells,,,,rejected,,,4
1.5 mL solution for injection in pre-filled syringe,,,,rejected,,,4
10 mg,,,,rejected,,,4
11 mL concentrate for solution for infusion,,,,rejected,,,4
11.8 mg hard capsules,,,,rejected,,,4
11CPK11195,11c-pk11195,,radiopharmaceutical,accepted,0.9,model,4
18F flutemetamol,Flutemetamol (18f),,,accepted,0.9,model,4
18FDPA-714,Dpa-714 f-18,,,accepted,0.85,model,4
18FHX4,18f-hx4,,radiopharmaceutical,accepted,0.6,model,4
2005 NYCMCX-161B,2005 nycmcx-161b,,unknown,accepted,0.3,model,4
2005 X-161,2005 x-161,,unknown,accepted,0.3,model,4
2007,,,,rejected,,,4
2009 H1N1-LIKE VIRUS PDM09,Influenza a(h1n1)pdm09-like virus antigen,,vaccine,accepted,0.85,model,4
210,,,,rejected,,,4
"3,5 ml, poudre et solvant pour solution injectable (IM)",,,,rejected,,,4
300 mg,,,,rejected,,,4
4.35 mg,,,,rejected,,,4
5 micrograms,,,,rejected,,,4
5 ml powder for oral suspension,,,,rejected,,,4
5-FLOUROURACIL,Fluorouracil,,,accepted,0.97,model,4
5-Fluorouracil Sandoz 50 mg,Fluorouracil,,,accepted,1,registry,4
50 mg film-coated tablets,,,,rejected,,,4
5ml,,,,rejected,,,4
68Ga-NODAGA-K40-Exendin-4,68ga-nodaga-exendin-4,,radiopharmaceutical,accepted,0.95,model,4
68Ga-PSMA-HBED-CC,Gallium ga 68 gozetotide,,,accepted,1,registry,4
"9 micrograms pressurised inhalation, solution",,,,rejected,,,4
ACENOCUMAROL,Acenocoumarol,,,accepted,1,registry,4
ACETAZOLAMIDE,Acetazolamide,sodium,,accepted,1,registry,4
ADENOSINE,Adenosine,phosphate,,accepted,1,registry,4
AFATINIB,Afatinib,,,accepted,1,registry,4
AKST4290,Lazucirnon,hydrochloride,,accepted,1,registry,4
ALBUMINA HUMANA,Albumin human,,,accepted,0.9,model,4
ALTUVOCT 2 000 IU powder and solvent for solution for injection,Efanesoctocog alfa,,,accepted,1,registry,4
ALTUVOCT 250 IU powder and solvent for solution for injection,Efanesoctocog alfa,,,accepted,1,registry,4
ALTUVOCT 3 000 IU powder and solvent for solution for injection,Efanesoctocog alfa,,,accepted,1,registry,4
ALTUVOCT 500 IU powder and solvent for solution for injection,Efanesoctocog alfa,,,accepted,1,registry,4
AMG 102,Rilotumumab,,,accepted,1,registry,4
AMG 531,Romiplostim,,,accepted,1,registry,4
AMG 655,Conatumumab,,,accepted,1,registry,4
AMILORIDE,Amiloride,hydrochloride,,accepted,1,registry,4
AMINOHIPPURIC ACID,Aminohippuric acid,,,accepted,1,registry,4
AMOXICILLIN TRIHYDRATE,Amoxicillin,,,accepted,1,registry,4
AMPRENAVIR,Amprenavir,,,accepted,1,registry,4
AMYLMETACRESOL,Amylmetacresol,,,accepted,1,registry,4
ANDEXANET ALFA,Andexanet alfa,,,accepted,1,registry,4
ANTI-HUMAN T-LYMPHOCYTE IMMUNOGLOBULIN FROM RABBITS,Anti-human t-lymphocyte immunoglobulin,,biologic,accepted,0.9,model,4
ANTIGENS OF THE INFLUENZA VIRUS A,Influenza a virus antigens,,vaccine,accepted,0.85,model,4
ANTIGENS OF THE INFLUENZA VIRUS B,Influenza b virus antigens,,vaccine,accepted,0.8,model,4
ANX005,Anx-005,,,accepted,1,registry,4
AP1189 Tablet,Resomelagon,acetate,,accepted,1,registry,4
APR-246,Eprenetapopt,,,accepted,1,registry,4
ARA290,Cibinetide,,,accepted,1,registry,4
ARGATROBAN,Argatroban,,,accepted,1,registry,4
ARGININE,Arginine,hydrochloride,,accepted,1,registry,4
ARIMOCLOMOL,Arimoclomol,citrate,,accepted,1,registry,4
ARIPIPRAZOLO,Aripiprazole,monohydrate,,accepted,0.9,model,4
ASCs,Autologous adipose-derived stem cells,,cell_or_gene_therapy,accepted,0.6,model,4
ATORVASTATIN CALCIUM,Atorvastatin,calcium,,accepted,1,registry,4
ATOSIBAN,Atosiban,acetate,,accepted,1,registry,4
AVAMYS 27.5 micrograms,Fluticasone,,,accepted,1,registry,4
"AZACTAM 1 g, poudre et solution pour usage parentéral",Aztreonam,,,accepted,1,registry,4
AZD0780,Azd0780,,small_molecule,accepted,0.6,model,4
AZD7789,Azd7789,,biologic,accepted,0.6,model,4
AZD8931,Sapitinib,,,accepted,1,registry,4
Abelacimab 150 mg,Abelacimab,,,accepted,1,registry,4
Abevmy 25 mg,Bevacizumab,,,accepted,1,registry,4
Acalabrutinib,Acalabrutinib,maleate,,accepted,1,registry,4
Acasunlimab,Acasunlimab,,,accepted,1,registry,4
Aclasta,Zoledronic acid,,,accepted,1,registry,4
Aclasta 5 mg solution for infusion,Zoledronic acid,,,accepted,1,registry,4
Aclidinium Bromide,Aclidinium,bromide,,accepted,1,registry,4
Actilyse,Alteplase,,,accepted,1,registry,4
Actos,Pioglitazone,hydrochloride,,accepted,1,registry,4
Ad26.RSV.preF,Ad26.rsv.pref,,,accepted,1,registry,4
Adrenalin tartras,Adrenaline,bitartrate,,accepted,1,registry,4
Aficamten,Aficamten,,,accepted,1,registry,4
Aleglitazar,Aleglitazar,,,accepted,1,registry,4
Alendronate sodium,Alendronate sodium,,,accepted,1,registry,4
Alendronic Acid,Alendronic acid,,,accepted,1,registry,4
Alendronic acid,Alendronic acid,,,accepted,1,registry,4
Alglucosidase alfa,Alglucosidase alfa,,,accepted,1,registry,4
Alisertib,Alisertib,,,accepted,1,registry,4
Almotriptan,Almotriptan,malate,,accepted,1,registry,4
Aluminium hydroxide,Aluminum hydroxide,,,accepted,1,registry,4
Alunbrig 30 mg film-coated tablets,Brigatinib,,,accepted,1,registry,4
Amikacin,Amikacin,sulfate,,accepted,1,registry,4
Amoxicilina,Amoxicillin,,,accepted,1,registry,4
Amvuttra 25 mg solution for injection in pre-filled syringe,Vutrisiran,sodium,,accepted,1,registry,4
Amyvid 800 MBq,Florbetapir (18f),,,accepted,0.85,model,4
Anecortave,Anecortave acetate,,,accepted,1,registry,4
Angiox,Bivalirudin,,,accepted,1,registry,4
Anti C5 Complement mAb Placebo,Placebo,,placebo,accepted,1,registry,4
Apomorphine,Apomorphine,hydrochloride,,accepted,1,registry,4
Aprotinin,Aprotinin,,,accepted,1,registry,4
"Arexvy powder and suspension for suspension for injection
Respiratory Syncytial Virus (RSV) vaccine (recombinant, adjuvanted)",Respiratory syncytial virus pre-fusion glycoprotein f,,,accepted,1,registry,4
Arginine hydrochloride,Arginine,hydrochloride,,accepted,1,registry,4
Arginine-Lysine solution for infusion,L-arginine hydrochloride|l-lysine hydrochloride,,,accepted,0.85,model,4
Aricept,Donepezil,hydrochloride,,accepted,1,registry,4
Arimidex® 1 mg Filmtabletten,Anastrozole,,,accepted,1,registry,4
Aspirin® protect 100 mg Magensaftresistente Tablette Acetylsalicylsäure,Acetylsalicylic acid,,,accepted,1,registry,4
Asunaprevir,Asunaprevir,,,accepted,1,registry,4
Atomoxetine hydrochloride,Atomoxetine,hydrochloride,,accepted,1,registry,4
Avibactam sodium,Avibactam,sodium,,accepted,1,registry,4
Axatilimab (INCA034176),Axatilimab,,,accepted,1,registry,4
Aybintio 25 mg,Bevacizumab,,,accepted,1,registry,4
Azenosertib (also known as ZN-c3; KP-2638),Azenosertib,,,accepted,1,registry,4
Azilsartan medoxomil,Azilsartan medoxomil,,,accepted,1,registry,4
BAY 1747846,Gadoquatrane,,,accepted,1,registry,4
BAY 734506,Regorafenib,,,accepted,0.9,model,4
BECLOMETASONE,Beclomethasone,dipropionate,,accepted,0.9,model,4
BECLOMETASONE DIPROPIONATO,Beclomethasone,dipropionate,,accepted,0.9,model,4
BEMIPARIN SODIUM,Bemiparin,sodium,,accepted,1,registry,4
BENZBROMARONE,Benzbromarone,,,accepted,1,registry,4
BESPONSA 1 mg powder for concentrate for solution for infusion,Inotuzumab ozogamicin,,,accepted,0.97,model,4
BHV-7000,Bhv-7000,,small_molecule,accepted,0.7,model,4
BI 1744 5 g Solution for Inhalation,Olodaterol,hydrochloride,,accepted,0.9,model,4
BI 409306,Osoresnontrine,,,accepted,1,registry,4
BI 655130,Spesolimab,,,accepted,1,registry,4
BIOTIN,Biotin,,,accepted,1,registry,4
BISACODYL,Bisacodyl,,,accepted,1,registry,4
BKM120,Buparlisib,,,accepted,0.97,model,4
BL-B01D1,Bl-b01d1,,biologic,accepted,0.6,model,4
BOTOX 100 Allergan Units Powder for Solution for Injection,Onabotulinumtoxina,,,accepted,0.97,model,4
BOTULINUM TOXIN,Onabotulinumtoxina,,,accepted,1,registry,4
BRAZIKUMAB,Brazikumab,,,accepted,1,registry,4
