raw_sponsor,proposed,confidence,n_trials,review_reason,reason,channel,model_id
"University Hospital, Dept of Oncology, clinical trial unit",University Hospital,0.3,1,low confidence,Too vague to identify specific institution.,mint,claude-sonnet-5
Unknown at this point Between jobs / Unknown at this point Between jobs,Unknown,0.3,1,low confidence,No identifiable organisation name given,mint,claude-sonnet-5
acep,ACEP,0.3,1,low confidence,Insufficient information to identify organisation beyond acronym 'acep'.,mint,claude-sonnet-5
dipartimento di neurologia e psichiatria,Dipartimento di Neurologia e Psichiatria,0.3,1,low confidence,Department name with no parent institution specified; cannot resolve to a specific university or hospital.,mint,claude-sonnet-5
no sponsor for this trial,Unknown,0.3,1,low confidence,No sponsor information provided,mint,claude-sonnet-5
there is no sponsor.,Unknown,0.3,1,low confidence,No sponsor information provided,mint,claude-sonnet-5
Dept of Oncology,Department of Oncology,0.35,1,low confidence,,mint,claude-opus-5
Dept of oncology,Department of Oncology,0.35,1,low confidence,,mint,claude-opus-5
ANA M,Ana M,0.4,1,low confidence,,mint,claude-sonnet-5
AZIENDA OSPEDALIERO-UNIVERSITARIA,Azienda Ospedaliero-Universitaria,0.4,1,low confidence,too vague,mint,claude-opus-5
Abteilung fr Herz-Thorax-Gef Ansthesie  Intensivmedizin HTG,"Herz-, Thorax- und Gefäßchirurgische Anästhesie und Intensivmedizin",0.4,1,low confidence,"Ambiguous department name, no identifiable parent institution given",mint,claude-sonnet-5
Academic Medical Center - Cardiology,Academic Medical Center,0.4,1,low confidence,,mint,claude-sonnet-5
Afdeling for Traumatisk Hjerneskade,Afdeling for Traumatisk Hjerneskade,0.4,1,low confidence,Department name with no parent institution given; likely a hospital department but insufficient info to identify parent.,mint,claude-sonnet-5
"Afsnit 360, Gastroenheden",Gastroenheden,0.4,1,low confidence,"Department (Afsnit 360) of a Gastroenheden unit, likely part of a hospital; parent institution unspecified.",mint,claude-sonnet-5
"Akademische Eigenstudie, Sektion fr Hygiene und Medizinische Mikrobiologie",Sektion fur Hygiene und Medizinische Mikrobiologie,0.4,1,low confidence,"academic department, no parent identified",mint,claude-sonnet-5
Alliance pour la recherche en cancrologie,Alliance pour la recherche en cancerologie,0.4,1,low confidence,,mint,claude-sonnet-5
Anticancer Informing Me Gnosi Nika,Anticancer Informing Me Gnosi Nika,0.4,1,low confidence,"Single vague sponsor string, likely a charity/organisation name, insufficient info to identify further.",mint,claude-sonnet-5
"Bert Mueller, Dep. Ophthalmology",Bert Mueller,0.4,1,low confidence,"Named person with unspecified department, insufficient institution info",mint,claude-sonnet-5
CREPATS,CREPATS,0.4,1,low confidence,"Single unverified sponsor string, no further identifying info.",mint,claude-sonnet-5
CYRENAIC,Cyrenaic,0.4,1,low confidence,,mint,claude-sonnet-5
Centre du Cancer,Centre du Cancer,0.4,1,low confidence,,mint,claude-opus-5
Centro sociale oncologico,Centro sociale oncologico,0.4,1,low confidence,,mint,claude-opus-5
Clinica Medica 5,Clinica Medica 5,0.4,1,low confidence,"Vague, unidentifiable department-like string",mint,claude-opus-5
Clinical Pharmacology,Department of Clinical Pharmacology (unspecified),0.4,1,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
"Clinical Pharmacology, Department of",Department of Clinical Pharmacology (unspecified),0.4,1,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
Department Of Biomedical Metabolic And Neural Sciences,"Department of Biomedical, Metabolic and Neural Sciences",0.4,1,low confidence,"Department name only, likely part of a university (e.g. Universita degli Studi di Modena e Reggio Emilia), parent institution unspecified.",mint,claude-sonnet-5
Department of Anaesthesia  General Intensive Care Medicine,Department of Anaesthesia,0.4,1,low confidence,Too vague to identify parent institution,mint,claude-opus-5
Department of Anaesthesia and General Intensive Care Medicine,Department of Anaesthesia,0.4,1,low confidence,Too vague to identify parent institution,mint,claude-opus-5
Department of Clinical Pharmacology Q,Department of Clinical Pharmacology (unspecified),0.4,1,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
Department of Dentistry and Oral Health,Department of Dentistry and Oral Health,0.4,1,low confidence,,mint,claude-sonnet-5
Department of Genito-Urinary Medicine and Infectious Diseases,Department of Genito-Urinary Medicine and Infectious Diseases,0.4,1,low confidence,,mint,claude-opus-5
Department of Hematology,Department of Hematology,0.4,1,low confidence,Too vague to identify parent institution,mint,claude-opus-5
Department of Infectious Diseases,Department of Infectious Diseases,0.4,1,low confidence,,mint,claude-opus-5
Department of Infectious diseases,Department of Infectious Diseases,0.4,1,low confidence,,mint,claude-opus-5
"Department of Medicine I, Clinical Dep. f. Oncology, University Hospital,",University Hospital,0.4,1,low confidence,"Unnamed university hospital, unclear which",mint,claude-sonnet-5
Department of Pharmacology-Toxicology,Department of Pharmacology and Toxicology (unspecified),0.4,1,low confidence,"Generic pharmacology/toxicology institute strings, no parent given",mint,claude-opus-5
Dept. Pharmacology and Toxicology,Department of Pharmacology and Toxicology (unspecified),0.4,1,low confidence,"Generic pharmacology/toxicology institute strings, no parent given",mint,claude-opus-5
Dept. of Clinical Pharmacology,Department of Clinical Pharmacology (unspecified),0.4,1,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
Dept. of Pharmacology,Department of Pharmacology and Toxicology (unspecified),0.4,1,low confidence,"Generic pharmacology/toxicology institute strings, no parent given",mint,claude-opus-5
Division of Special and Environmental Dermatology,Division of Special and Environmental Dermatology,0.4,1,low confidence,,mint,claude-sonnet-5
Endokrinologisk afd. M,Endokrinologisk afd. M,0.4,1,low confidence,"Only an endocrinology department name given, no parent hospital identified",mint,claude-sonnet-5
Falck clinic,Falck Clinic,0.4,1,low confidence,"Single vague sponsor string, likely a clinic; insufficient information to identify parent organisation.",mint,claude-sonnet-5
Female Healthcare Purna,Female Healthcare Purna,0.4,1,low confidence,,mint,claude-sonnet-5
Florentine Cullinan Corp.,Florentine Cullinan,0.4,1,low confidence,,mint,claude-sonnet-5
General Teaching Hospital,General Teaching Hospital,0.4,1,low confidence,,mint,claude-opus-5
HOSPITAL CLINICO UNIVERSITARIO,Hospital Clínico Universitario,0.4,1,low confidence,Too vague to identify which hospital,mint,claude-opus-5
HUS Sypkeskus,HUS Sypkeskus,0.4,1,low confidence,"Likely a Finnish hospital district entity (HUS - Helsinki University Hospital), name possibly garbled; single occurrence, low certainty.",mint,claude-sonnet-5
Health Ministry,Health Ministry,0.4,1,low confidence,,mint,claude-sonnet-5
Healthcare Product Development,Healthcare Product Development,0.4,1,low confidence,,mint,claude-sonnet-5
Heart Center co.,Heart Center co.,0.4,1,low confidence,,mint,claude-sonnet-5
I.R.I.S.,I.R.I.S.,0.4,1,low confidence,"Single ambiguous string, insufficient context to identify specific organisation.",mint,claude-sonnet-5
IMETISA,IMETISA,0.4,1,low confidence,"Single vague string, insufficient information to identify organisation with certainty.",mint,claude-sonnet-5
Institut of Public Health,Institut of Public Health,0.4,1,low confidence,,mint,claude-sonnet-5
Institute for Pharmacology and Toxicology,Department of Pharmacology and Toxicology (unspecified),0.4,1,low confidence,"Generic pharmacology/toxicology institute strings, no parent given",mint,claude-opus-5
Institute of oncology,Institute of Oncology,0.4,1,low confidence,,mint,claude-opus-5
Joint Research Compliance Office,Joint Research Office,0.4,1,low confidence,,mint,claude-sonnet-5
Kliniken Krnan Urology Centre,Kliniken Krnan Urology Centre,0.4,1,low confidence,"Single ambiguous string, likely a hospital urology department/centre; insufficient info to identify parent institution.",mint,claude-sonnet-5
Klinisk Farmakologisk Afdeling,Klinisk Farmakologisk Afdeling,0.4,1,low confidence,Department name without identifiable parent institution,mint,claude-sonnet-5
Lungmedicinska kliniken,Lungmedicinska kliniken,0.4,1,low confidence,"Only string in group; a pulmonary medicine clinic, likely a department of a larger hospital, but no parent institution given.",mint,claude-sonnet-5
Mdiple Hpital Mutualiste,Hopital Mutualiste,0.4,1,low confidence,Likely a garbled reference to a French mutualist hospital; identity unclear.,mint,claude-sonnet-5
"Medizinische Universittsklinik II , Abteilung Hmatologie, Onkologie, Immunologie und Rheumatologie",Medizinische Universitätsklinik II,0.4,1,low confidence,"Department string, parent institution unspecified",mint,claude-opus-5
ORPHAN,ORPHAN,0.4,1,low confidence,Too vague to attribute confidently,mint,claude-opus-5
PHF SA,PHF SA,0.4,1,low confidence,"Single unidentified sponsor string, likely a company (SA suffix).",mint,claude-sonnet-5
Plazmaferezis lloms Kzhaszn Nonprofit Kft,Plazmaferezis Alapitvany Nonprofit Kft,0.4,1,low confidence,Garbled Hungarian nonprofit entity name; treated as single sponsor.,mint,claude-sonnet-5
Psychiatric Research Unit,Psychiatric Research Unit,0.4,1,low confidence,,mint,claude-sonnet-5
Relap-C study Steering Commitee,Relap-C study Steering Committee,0.4,1,low confidence,,mint,claude-sonnet-5
Research and Enterprise Department,Research and Enterprise Department,0.4,1,low confidence,,mint,claude-sonnet-5
Research and Innovation Department,Research and Innovation Services,0.4,1,low confidence,"Vague generic strings, unidentifiable organisation",mint,claude-opus-5
STRUTTURA SEMPLICE GESTIONE-ORG.-FUNZ. HUB EMOFILIA,Struttura Semplice Gestione-Org.-Funz. Hub Emofilia,0.4,1,low confidence,Appears to be an Italian hospital-based haemophilia hub unit; insufficient info for parent institution.,mint,claude-sonnet-5
Sektion Chirurgische Forschung,Sektion Chirurgische Forschung,0.4,1,low confidence,"academic department, no parent identified",mint,claude-sonnet-5
Servicio de Neurologa,Servicio de Neurologia,0.4,1,low confidence,"Only a department name given, likely part of a hospital; insufficient info to identify parent institution.",mint,claude-sonnet-5
"Signe H. stoft, Diabetes Research Division","Signe H. Stoft, Diabetes Research Division",0.4,1,low confidence,Insufficient information to identify parent organisation; likely a research division named after an individual.,mint,claude-sonnet-5
Sportmedisch expertisecentrum,Sportmedisch expertisecentrum,0.4,1,low confidence,"Single vague sponsor string, likely a sports medicine center",mint,claude-sonnet-5
Staf Longziekten,Staf Longziekten,0.4,1,low confidence,"Single vague sponsor string, insufficient context to identify a specific organisation.",mint,claude-sonnet-5
"The Multiple Sclerosis Research Group, Department of Clinical Neuroscience","The Multiple Sclerosis Research Group, Department of Clinical Neuroscience",0.4,1,low confidence,,mint,claude-sonnet-5
The SAVE trial group,The SAVE trial group,0.4,1,low confidence,Only string provided; treated as a trial group/network with insufficient detail to identify a parent organisation.,mint,claude-sonnet-5
Therapeutic Research Unit,Therapeutic Research Unit,0.4,1,low confidence,,mint,claude-sonnet-5
U.O. Terapia Intensiva,U.O. Terapia Intensiva,0.4,1,low confidence,"Only a department name given (Intensive Care Unit), no parent institution identified; both strings identical aside from case.",mint,claude-sonnet-5
U.O. Terapia intensiva,U.O. Terapia Intensiva,0.4,1,low confidence,"Only a department name given (Intensive Care Unit), no parent institution identified; both strings identical aside from case.",mint,claude-sonnet-5
UF de mthodologie en recherche clinique,UF de méthodologie en recherche clinique,0.4,1,low confidence,"A clinical research methodology unit, likely part of a larger hospital, but parent institution not identifiable from the string alone.",mint,claude-sonnet-5
Unidad de Neuroinmunologa,Unidad de Neuroinmunologia,0.4,1,low confidence,"Vague department-level name, likely part of a hospital's neuroimmunology unit; insufficient info to identify parent institution.",mint,claude-sonnet-5
Unit de Recherches Thrapeutiques,Unite de Recherches Therapeutiques,0.4,1,low confidence,Only one vague string; likely a clinical research unit but insufficient info to identify parent institution.,mint,claude-sonnet-5
Unit for Psychiatric Research,Psychiatric Research Unit,0.4,1,low confidence,,mint,claude-sonnet-5
Unita Operativa di Endocrinologia e Malattie del Metabolismo,Unita Operativa di Endocrinologia e Malattie del Metabolismo,0.4,1,low confidence,"Only a department name given, parent institution unknown",mint,claude-sonnet-5
"Universitres Herzzentrum, Klinik fr Kardiologie und Angiologie",Universitares Herzzentrum,0.4,1,low confidence,"Department resolves to parent cardiac center, institution unclear",mint,claude-sonnet-5
"Universittsklinik fr Innere Medizin IV, Klinische Abteilung Gastroenterologie und Hepatologie",Universitätsklinik für Innere Medizin IV,0.4,1,low confidence,"Ambiguous institution reference, cannot confirm parent university",mint,claude-sonnet-5
Universittsklinik fr Psychiatrie und Psychotherapie I,Universitätsklinik für Psychiatrie und Psychotherapie,0.4,1,low confidence,No institution named,mint,claude-opus-5
"Universittsklinik fr Psychiatrie und Psychotherapie, Klin. Abteilung f. Biologische Psychiatrie",Universitätsklinik für Psychiatrie und Psychotherapie,0.4,1,low confidence,No institution named,mint,claude-opus-5
University Childrens Hospital,University Children's Hospital,0.4,1,low confidence,,mint,claude-sonnet-5
University Childrins Hospital,University Children's Hospital,0.4,1,low confidence,"Vague single hospital reference, no identifying location/name given.",mint,claude-sonnet-5
University Clinic Internal Medicine I,University Clinic Internal Medicine I,0.4,1,low confidence,,mint,claude-sonnet-5
University Eye Hospital,University Eye Hospital,0.4,1,low confidence,Too vague to identify which institution,mint,claude-opus-5
Urologkliniken US,Urologkliniken US,0.4,1,low confidence,"Likely a urology clinic department at a university hospital (possibly Uppsala/Linkoping 'US'), too vague to identify parent institution precisely.",mint,claude-sonnet-5
VVOG,VVOG,0.4,1,low confidence,Insufficient information to identify the organisation behind the acronym VVOG.,mint,claude-sonnet-5
Vasa HVC,Vasa HVC,0.4,1,low confidence,"Single unverifiable sponsor string, insufficient context to identify parent organisation.",mint,claude-sonnet-5
Vasculitis Clinical Trial Office,Vasculitis Clinical Trial Office,0.4,1,low confidence,,mint,claude-opus-5
Wallenberg laboratory,Wallenberg laboratory,0.4,1,low confidence,"Only one string; likely a research lab, insufficient info to identify parent institution.",mint,claude-sonnet-5
XiCoCo study group,XiCoCo study group,0.4,1,low confidence,Only string provided; appears to be a study group name of unclear parent organisation.,mint,claude-sonnet-5
ZKES GmbH,ZKES GmbH,0.4,1,low confidence,,mint,claude-sonnet-5
department of clinical pharmacology,Department of Clinical Pharmacology (unspecified),0.4,1,low confidence,Generic department strings with no identifiable parent institution,mint,claude-opus-5
futurum,Futurum,0.4,1,low confidence,"Single vague string, insufficient context to identify precise organisation.",mint,claude-sonnet-5
AIBILI EVICR.net,AIBILI,0.5,1,low confidence,,mint,claude-sonnet-5
AININCAR,Aininvar,0.5,1,low confidence,,mint,claude-sonnet-5
AS Kevelt,AS Kevelt,0.5,1,low confidence,,mint,claude-sonnet-5
ASOCIACION GITuD,Asociacion GITuD,0.5,1,low confidence,,mint,claude-sonnet-5
AUSL 8,AUSL 8,0.5,1,low confidence,"Vague identifier, cannot confirm matches with others",mint,claude-sonnet-5
Aboleris Holdco,Aboleris Holdco,0.5,1,low confidence,"Single unverifiable sponsor string, treated as its own organisation.",mint,claude-sonnet-5
Abscint,Abscint,0.5,1,low confidence,"Only one string, likely a company name with no further identifying info.",mint,claude-sonnet-5
Allergiklinikken,Allergiklinikken,0.5,1,low confidence,"Single unverified sponsor string, likely a specialty allergy clinic.",mint,claude-sonnet-5
Andrs iguez Romo,Andrs iguez Romo,0.5,1,low confidence,"Appears to be a personal name of an individual, likely an investigator.",mint,claude-sonnet-5
Aquitaine Sante,Aquitaine Sante,0.5,1,low confidence,"Single unverified sponsor string, likely a regional health body in Aquitaine, France.",mint,claude-sonnet-5
Arthritis Alaptvny,Arthritis Alapítvány,0.5,1,low confidence,,mint,claude-sonnet-5
Association AERCOT,Association AERCOT,0.5,1,low confidence,,mint,claude-sonnet-5
Augenklinik Universitaetsallee,Augenklinik Universitaetsallee,0.5,1,low confidence,"Single ophthalmology clinic sponsor, insufficient info to map to a larger parent institution.",mint,claude-sonnet-5
Auris ehf.,Auris ehf,0.5,1,low confidence,,mint,claude-sonnet-5
BASICS Study Group,BASICS Study Group,0.5,1,low confidence,"Sole string, appears to be a study group/consortium name.",mint,claude-sonnet-5
BIOSE,Biose,0.5,1,low confidence,,mint,claude-sonnet-5
BSMO,BSMO,0.5,1,low confidence,Only string; likely Belgian Society of Medical Oncology,mint,claude-sonnet-5
Berufsgenossenschaftliche Unfallklinik,Berufsgenossenschaftliche Unfallklinik,0.5,1,low confidence,"Generic BG accident hospital name, insufficient detail to confirm identity",mint,claude-sonnet-5
Biologiske Stasjon Drbak,Biologiske Stasjon Drøbak,0.5,1,low confidence,,mint,claude-sonnet-5
BirrBeheerBV,BirrBeheerBV,0.5,1,low confidence,"Single unverified sponsor string, likely a Dutch holding company (BV suffix).",mint,claude-sonnet-5
Bonaventura Clotet/Ramn Planas/Ricard Sol,Bonaventura Clotet/Ramon Planas/Ricard Sole,0.5,1,low confidence,"multiple named individuals listed together, distinct from single-person entry",mint,claude-sonnet-5
Brneafdelingen Kolding,Brneafdelingen Kolding,0.5,1,low confidence,"Appears to be a paediatric department (Børneafdeling) at Kolding Hospital, Denmark; resolved to the hospital-level entity.",mint,claude-sonnet-5
BrneklinikkenRanders,BrneklinikkenRanders,0.5,1,low confidence,Only string in its group; likely a clinic (Danish 'Brneklinikken' - children's clinic in Randers).,mint,claude-sonnet-5
"CBLAYAHUGET, S.L.","CBLAYAHUGET, S.L.",0.5,1,low confidence,,mint,claude-sonnet-5
CGBS GbR,CGBS GbR,0.5,1,low confidence,,mint,claude-sonnet-5
CHR dORLEANS,Centre Hospitalier Regional d'Orleans,0.5,1,low confidence,,mint,claude-sonnet-5
CROLLL GmbH,CROLLL,0.5,1,low confidence,,mint,claude-sonnet-5
Cardiac Reserch Unit,Cardiac Research Unit,0.5,1,low confidence,"Only one vague string provided, likely a research unit name; institution unclear.",mint,claude-sonnet-5
Center for Man in Aviation,Center for Man in Aviation,0.5,1,low confidence,,mint,claude-sonnet-5
Center of Mech-Sense,Center of Mech-Sense,0.5,1,low confidence,"Standalone research center string, likely academic; no further info to link to parent.",mint,claude-sonnet-5
Centre hospitalier Rgional et Universitaire,Centre Hospitalier Regional et Universitaire,0.5,1,low confidence,"Ambiguous CHRU without city name, grouped together",mint,claude-sonnet-5
Cepha s.r.o. / Pozlab Sp. z o.o.,Cepha,0.5,1,low confidence,,mint,claude-sonnet-5
Childrenss Research Institute,Childrens Research Institute,0.5,1,low confidence,"Single vague string, likely a pediatric research institute",mint,claude-sonnet-5
Christine Bengtsson / Solveig Wllberg-Jonsson,Christine Bengtsson,0.5,1,low confidence,"String appears to be personal names, not an organisation.",mint,claude-sonnet-5
Cinto Segals,Cinto Segals,0.5,1,low confidence,Appears to be a personal name with no institutional identifiers,mint,claude-sonnet-5
Clinica Dental AndreuDental,Clinica Dental AndreuDental,0.5,1,low confidence,,mint,claude-sonnet-5
Clinical Evaluation Research Unit CERU,Clinical Evaluation Research Unit,0.5,1,low confidence,,mint,claude-sonnet-5
Clnica del Dr. Lobatn,Clínica del Dr. Lobatón,0.5,1,low confidence,"Single unique clinic name, likely a private clinic named after Dr. Lobatón.",mint,claude-sonnet-5
Competence Centre for Transcultural Psychiatry,Competence Centre for Transcultural Psychiatry,0.5,1,low confidence,,mint,claude-sonnet-5
Cornwall College Camborne / Royal National Lifeboat Institution,Cornwall College Camborne / Royal National Lifeboat Institution,0.5,1,low confidence,,mint,claude-sonnet-5
DA PHARMA / DA PHARMA,DA PHARMA,0.5,1,low confidence,,mint,claude-sonnet-5
DR DIMENSIONE RICERCA,Dr Dimensione Ricerca,0.5,1,low confidence,,mint,claude-sonnet-5
Dendrogenix,Dendrogenix,0.5,1,low confidence,"Single unmatched sponsor string, likely a small biotech company.",mint,claude-sonnet-5
Department of Orthopaedics IKE / Department of Orthopaedics IKE,Department of Orthopaedics IKE,0.5,1,low confidence,"Same department string, likely a department but parent institution unknown; kept as-is due to insufficient info.",mint,claude-sonnet-5
Division K Krnsjukhuset,Krnsjukhuset,0.5,1,low confidence,"Appears to be a department within Krnsjukhuset (Kärnsjukhuset) hospital, resolved to parent institution.",mint,claude-sonnet-5
Dr catenacci fabrice/ quartier operatoire,Dr Catenacci Fabrice,0.5,1,low confidence,Named individual associated with an operating theater department; no institution specified.,mint,claude-sonnet-5
Dr. Flix Armad,Felix Armand,0.5,1,low confidence,"Appears to be a named individual (Dr. Felix Armand) with accents stripped, not an organisation.",mint,claude-sonnet-5
Dr. Luis Fernndez-Dr. Jesus Barrio,"Luis Fernández, Jesús Barrio",0.5,1,low confidence,,mint,claude-sonnet-5
Dr. Martin Pinsger  Univ.-Prof. Dr. Rupert Prokesch / Dr. Martin Pinsger  Univ.-Prof. Dr. Rupert Prokesch,Martin Pinsger,0.5,1,low confidence,String names two individuals with no institution identified; treated as person entry.,mint,claude-sonnet-5
Dra Maria Luz Couce / Dr. Jos Luis Fernndez Trisac,"Maria Luz Couce, José Luis Fernández Trisac",0.5,1,low confidence,,mint,claude-sonnet-5
Dra.Margarita RamirezDra.Ifara Snchez,Margarita Ramirez / Ifara Sanchez,0.5,1,low confidence,"Appears to be personal names, not an institution",mint,claude-sonnet-5
EleosInc Limited,EleosInc Limited,0.5,1,low confidence,,mint,claude-sonnet-5
Elro Pharma,Elro Pharma,0.5,1,low confidence,,mint,claude-sonnet-5
Equipo de doctores: Dr. Amado Andrs y Dr. Manuel Praga,Amado Andres y Manuel Praga (equipo de doctores),0.5,1,low confidence,,mint,claude-sonnet-5
Erasmus MC / Maasstad Hospital,Erasmus MC / Maasstad Hospital,0.5,1,low confidence,"Joint sponsor listing combining two institutions, ambiguous which is primary",mint,claude-sonnet-5
Eurofins Optimed / Perha Pharmaceuticals,Perha Pharmaceuticals,0.5,1,low confidence,CRO Eurofins Optimed with sponsor Perha Pharmaceuticals,mint,claude-sonnet-5
Eurofins Optimed / Synendos Therapeutics AG,Synendos Therapeutics,0.5,1,low confidence,CRO Eurofins Optimed with sponsor Synendos Therapeutics,mint,claude-sonnet-5
F.Schreuder,F.Schreuder,0.5,1,low confidence,,mint,claude-sonnet-5
FUNDACION DE INVESTIGACION EN RED EN ENFERMEDADES,Fundación de Investigación en Red en Enfermedades,0.5,1,low confidence,,mint,claude-opus-5
Fertilitetsklinikken,Fertilitetsklinikken,0.5,1,low confidence,,mint,claude-sonnet-5
Foot and Ankle Surgical center,Foot and Ankle Surgical Center,0.5,1,low confidence,,mint,claude-sonnet-5
Foundation Clinic For Biomedical Research,Foundation Clinic For Biomedical Research,0.5,1,low confidence,,mint,claude-sonnet-5
Fuics Development Limited,Fuics Development Limited,0.5,1,low confidence,,mint,claude-sonnet-5
Fundacin Renal Jaume Arn,Fundación Renal Íñigo Álvarez de Toledo,0.5,1,low confidence,,mint,claude-sonnet-5
Fundacin para la investigacion Biomedica,Fundación para la Investigación Biomédica,0.5,1,low confidence,,mint,claude-opus-5
GALENICA S.A.,Galenica,0.5,1,low confidence,"Different legal entity, likely different company from Galenica AB",mint,claude-sonnet-5
GAP MALLORCA,GAP Mallorca,0.5,1,low confidence,,mint,claude-sonnet-5
GELARC,GELARC,0.5,1,low confidence,Insufficient context to identify the organisation beyond acronym GELARC.,mint,claude-sonnet-5
GET SRL,GET SRL,0.5,1,low confidence,,mint,claude-sonnet-5
GON-North Oncology Group,GON-North Oncology Group,0.5,1,low confidence,,mint,claude-sonnet-5
"Gabinete Berthier y Martnez, S.L.",Gabinete Berthier y Martinez,0.5,1,low confidence,,mint,claude-sonnet-5
Gastrocentrum kirurgi,Gastrocentrum kirurgi,0.5,1,low confidence,,mint,claude-sonnet-5
Georg Hagmller Institute for Vascular Research,Georg Haggmuller Institute for Vascular Research,0.5,1,low confidence,"Single unique sponsor string, likely a research institute; low confidence due to garbled name.",mint,claude-sonnet-5
Gesellschaft fr Wissens- und Technologietransfer,Gesellschaft für Wissens- und Technologietransfer,0.5,1,low confidence,,mint,claude-sonnet-5
Gottfries Clinic,Gottfries Clinic,0.5,1,low confidence,,mint,claude-sonnet-5
Grupo de Investigacin ICP,Grupo de Investigacin ICP,0.5,1,low confidence,Sole occurrence; appears to be a research/cooperative group named ICP.,mint,claude-sonnet-5
"Gynecology Department,Herning Hospital / Medical Department, Kolding Hospital",Herning Hospital,0.5,1,low confidence,Department-level string spanning two hospitals; taking primary listed hospital as canonical.,mint,claude-sonnet-5
"H-PHAR,sa",H-Phar,0.5,1,low confidence,,mint,claude-sonnet-5
HOV GmbH,HOV GmbH,0.5,1,low confidence,,mint,claude-sonnet-5
HZRM Haemophilie-Zentrum Rhein Main GmbH / Emory University,HZRM Haemophilie-Zentrum Rhein Main,0.5,1,low confidence,Combined sponsor string listing HZRM and Emory University; kept as single unresolved entry,mint,claude-sonnet-5
Havenziekenhuis/ErasmusMC,Havenziekenhuis/ErasmusMC,0.5,1,low confidence,"Combined hospital name, treated as single sponsor entity",mint,claude-sonnet-5
Heads Study Group,Heads Study Group,0.5,1,low confidence,"Only string; likely a study/collaborative group name, insufficient info for higher confidence.",mint,claude-sonnet-5
Health Clinics Limited,Health Clinics Limited,0.5,1,low confidence,,mint,claude-sonnet-5
ICNAS Produo Lda.,ICNAS Producao Lda,0.5,1,low confidence,,mint,claude-sonnet-5
"IFSgGmbH, Institute for clinical research",IFS - Institute for clinical research,0.5,1,low confidence,,mint,claude-sonnet-5
IN3BIO,IN3BIO,0.5,1,low confidence,"Single unverified sponsor string, insufficient context to determine full identity.",mint,claude-sonnet-5
Inpharm,Inpharm,0.5,1,low confidence,"Single ambiguous string, likely a pharmaceutical company named Inpharm.",mint,claude-sonnet-5
Institute For Study Research Education And Therapy Of Vascular Heart Brain And Kidney Nosologies,Institute For Study Research Education And Therapy Of Vascular Heart Brain And Kidney Nosologies,0.5,1,low confidence,,mint,claude-sonnet-5
Institute of Obstetrics and Gynaecology Trust,Institute of Obstetrics and Gynaecology Trust,0.5,1,low confidence,"Distinct institution, vague identifier",mint,claude-sonnet-5
Institutionen fr kirurgiska vetenskaper,Institutionen for kirurgiska vetenskaper,0.5,1,low confidence,"Department of Surgical Sciences, likely part of a university (e.g. Uppsala University); insufficient detail to identify parent institution precisely.",mint,claude-sonnet-5
Instituto de Investigacion Sanitaria La e,Instituto de Investigación Sanitaria La Fe,0.5,1,low confidence,,mint,claude-opus-5
Karolinska Institutet and University Hospital,Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
"Karolinska Institutet, Stockholm, Sweden / Karolinska Institutet / Karolinska Institutet",Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
Karolinska Institutet/ Hospital,Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
Karolinska Institutet/Sdersjukhuset,Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
Karolinska University Hospital / Karolinska Institutet,Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
Karolinska University Hospital / Karolinska University Hospital,Karolinska Institutet and University Hospital,0.5,1,low confidence,Ambiguous joint references to both institute and hospital,mint,claude-sonnet-5
"Kirurginen sairaala, suu- ja leukakirurgian klinikka Satu Yli-Petys",Kirurginen sairaala (Helsinki),0.5,1,low confidence,"Department within a surgical hospital, named clinician attached; resolves to the hospital.",mint,claude-sonnet-5
Kirurgisen sairaalan munuaisensiirtoihin liittyvn kivun hoidon tutkimusryhm,Kirurgisen sairaalan munuaisensiirtoihin liittyvän kivun hoidon tutkimusryhmä,0.5,1,low confidence,Appears to be a hospital research group related to kidney transplant pain treatment; treated as a single unidentified institution.,mint,claude-sonnet-5
Klinik Neuropdiatrie und Muskelkrankheiten,Klinik fur Neuropadiatrie und Muskelkrankheiten,0.5,1,low confidence,Department name; canonical parent institution unknown from string alone.,mint,claude-sonnet-5
"Kmia, Inc.","Kmia, Inc.",0.5,1,low confidence,,mint,claude-sonnet-5
Kris-och Traumacentrum,Kris- och Traumacentrum,0.5,1,low confidence,"Single unmatched sponsor string, likely a Swedish crisis and trauma center.",mint,claude-sonnet-5
Kunglv Hospital,Kungälv Hospital,0.5,1,low confidence,"Single sponsor string, likely garbled spelling of Kungälvs Sjukhus (Kungälv Hospital) in Sweden.",mint,claude-sonnet-5
