raw_substance,active_substance_clean,match_status,match_score,match_source,match_reason,n_occurrences
DermaPro,Dimercaprol,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Allogeneic Mesenchymal Precursor Cells,NA,unknown,0,NA,no reliable match,2
Endopeptidase,Pendetide,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
AntiM1 prime,Antipyrine,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),2
Sojae ol. purif.,NA,unknown,0,NA,no reliable match,2
Haemophilus influenza type b polysaccharide conjugated to 20-40 micrograms of tetanus toxoid,NA,unknown,0,NA,no reliable match,2
Infanrix Hexa - Formulation A,Indanorex,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Infanrix Hexa - Formulation B,Indanorex,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Citrasate,Cetraxate,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Human anti-IP10 monoclonal antibody,NA,unknown,0,NA,no reliable match,2
CRH Ferring,NA,unknown,0,NA,no reliable match,2
Streptococcus thermophilus,NA,unknown,0,NA,no reliable match,2
OligoG,Rilogrotug,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Fibroblasts,NA,unknown,0,NA,no reliable match,2
COLECALCIFEROL-COLESTEROL,Cholecalciferol,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
Imprime PGG,Impromidine,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Recombinant Human Apolipoprotein A-I,Recombinant human kallikrein-1,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
Clulas dendrticas autlogas,NA,unknown,0,NA,no reliable match,2
Clulas troncales mesenquimales autlogas derivadas de tejido adiposo expandidas ASC,NA,unknown,0,NA,no reliable match,2
PHLEUM PRATENSE EXTRACTO DE POLEN,Helium,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
Hubei-Wujiagang,NA,unknown,0,NA,no reliable match,2
TriMix-DC,Trimix,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),2
NVGH Vi-CRM197 conjugate vaccine,NA,unknown,0,NA,no reliable match,2
AMBROSIA ARTEMISIIFOLIA L.,Bamosiran,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),2
VR506 Inhaler,NA,unknown,0,NA,no reliable match,2
LAIS Grass tablets,NA,unknown,0,NA,no reliable match,2
CLUSTOID Birke,Sultopride,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
CLUSTOID D. pteronyssinus,Sultopride,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
peanut allergen extract,Peanut flour,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
EPs 7630,NA,unknown,0,NA,no reliable match,2
gpASIT+,NA,unknown,0,NA,no reliable match,2
Plasma rico en plaquetas y coagulo de fibrina procesados mediante la tecnologa PRGF-System BTI,Plasmin,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),2
AMG 747,NA,unknown,0,NA,no reliable match,2
177Lu-DOTA0-Tyr3-Octreotate,NA,unknown,0,NA,no reliable match,2
LIPIDOSTEROLIC EXTRACT OF SERENOA REPENS,Lipiodol,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),2
Autologous Mesenchymal Stem Cells,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
ChAd63 CS,NA,unknown,0,NA,no reliable match,2
MVA CS,NA,unknown,0,NA,no reliable match,2
GRC 17536 potassium granules,NA,unknown,0,NA,no reliable match,2
POTATO STARCH,Tropantiol,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
GSK2336805,Gsk-2330811,unknown,80,fuzzy:llm_reviewed,fuzzy match (jw similarity 80%),2
Nanocort,Naflocort,review,88,fuzzy:chembl,fuzzy match (jw similarity 88%),2
rAAV2,NA,unknown,0,NA,no reliable match,2
ongoing,NA,unknown,0,NA,no reliable match,2
M72 antigen,NA,unknown,0,NA,no reliable match,2
LAIS Birch-Alder tablets,NA,unknown,0,NA,no reliable match,2
ISIS 416858,Isis-463588,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
PRP 2012,NA,unknown,0,NA,no reliable match,2
Lactobacillus rhamnosus GG,Lactobacillus acidophilus,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
COFFEA ARABICA,NA,unknown,0,NA,no reliable match,2
PASSIFLORA INCARNATA,NA,unknown,0,NA,no reliable match,2
AVENA SATIVA,NA,unknown,0,NA,no reliable match,2
Not answered,NA,unknown,0,NA,no reliable match,2
Bactek,NA,unknown,0,NA,no reliable match,2
90Y-DOTA0-Tyr3-octreotide 90Y-DOTATOC,NA,unknown,0,NA,no reliable match,2
INN not available yet,NA,unknown,0,NA,no reliable match,2
Keratinocytes,NA,unknown,0,NA,no reliable match,2
None available,NA,unknown,0,NA,no reliable match,2
"RTS,S",NA,unknown,0,NA,no reliable match,2
INN Not yet proposed,NA,unknown,0,NA,no reliable match,2
Salsola kali,Sotalol,unknown,81,fuzzy:manual,fuzzy match (jw similarity 81%),2
PRX167700,NA,unknown,0,NA,no reliable match,2
NYMC X-223A reass. derived from A,NA,unknown,0,NA,no reliable match,2
2011-like A,NA,unknown,0,NA,no reliable match,2
2012 wild type,NA,unknown,0,NA,no reliable match,2
Lipopolysaccharide,NA,unknown,0,NA,no reliable match,2
Cyclic pyranopterin monophosphate monohydrobromide dihydrate,NA,unknown,0,NA,no reliable match,2
ALN-51547,NA,unknown,0,NA,no reliable match,2
Autologous Platelet Rich Plasma,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
PS188 company code,NA,unknown,0,NA,no reliable match,2
"2-7-1,1-dimethyl-3-4-sulfobutyl-benzeindolin-2-ylidene-1,3,5-heptatrienyl-1,1-dimethyl-3-sulfobutyl-1H-benze-indolium hydroxide,inner salt",NA,unknown,0,NA,no reliable match,2
ALK-Alutard SQ Betula verrucosa R,NA,unknown,0,NA,no reliable match,2
Chromatography Purified,NA,unknown,0,NA,no reliable match,2
Chromatography Purified IGIV-C,NA,unknown,0,NA,no reliable match,2
Autologous adipose-derived stem cells,Autologous adipose-derived stromal vascular fraction,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Not applicable at this stage,NA,unknown,0,NA,no reliable match,2
Oligomer of Sodium Alginate,Lime,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
ESCHERICHIA COLI NISSLE 1917,NA,unknown,0,NA,no reliable match,2
rAAV9.CMV.hNAGLU,NA,unknown,0,NA,no reliable match,2
Zirconium-89,NA,unknown,0,NA,no reliable match,2
Rikkunshito,NA,unknown,0,NA,no reliable match,2
13C-methacetin,Methetoin,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
Osteodex,Osaterone,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
LU-DOTATATE_IRSTIRCCS,NA,unknown,0,NA,no reliable match,2
Cernevit,NA,unknown,0,NA,no reliable match,2
Ivy leaves Cough Liquid,NA,unknown,0,NA,no reliable match,2
"PRICK TEST Dermatophagoides pteronyssinus LETI, 100 HEP",NA,unknown,0,NA,no reliable match,2
"PRICK TEST Dermatophagoides farinae LETI, 100 HEP",NA,unknown,0,NA,no reliable match,2
NDT-05-0038,NA,unknown,0,NA,no reliable match,2
rApoA-IM Protein dimer,NA,unknown,0,NA,no reliable match,2
1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine critical raw material,NA,unknown,0,NA,no reliable match,2
dSLIM,NA,unknown,0,NA,no reliable match,2
DIBASE,NA,unknown,0,NA,no reliable match,2
Ad26.Zebov,NA,unknown,0,NA,no reliable match,2
MVA-BN-Filo,NA,unknown,0,NA,no reliable match,2
SOYA-BEAN OIL REFINED,Lesogaberan,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
Pollinex Quattro Birch 2400 SU,Proline,review,87,fuzzy:llm_reviewed,fuzzy match (jw similarity 87%),2
Pollinex Quattro Birch 6000 SU,Proline,review,87,fuzzy:llm_reviewed,fuzzy match (jw similarity 87%),2
Mongersen,Tominersen,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
NK cells diferenciated adult allogeneic haploidentical ofexpanded periferic blood and activated with IL,NA,unknown,0,NA,no reliable match,2
FLU-5,NA,unknown,0,NA,no reliable match,2
FLU-7,NA,unknown,0,NA,no reliable match,2
FLU-10,NA,unknown,0,NA,no reliable match,2
INN not yet assigned,NA,unknown,0,NA,no reliable match,2
engineered recombinant human FGF19,NA,unknown,0,NA,no reliable match,2
5-OPTIRPE65,NA,unknown,0,NA,no reliable match,2
palmitoyloleoyl-phosphatidylglycerol,NA,unknown,0,NA,no reliable match,2
UTA2-1 loaded PD-L silenced Dendritic cells,NA,unknown,0,NA,no reliable match,2
LTT462,NA,unknown,0,NA,no reliable match,2
"18F-pyrazolo1,5-apyrimidine derivate",NA,unknown,0,NA,no reliable match,2
MV-CHIK,NA,unknown,0,NA,no reliable match,2
LentiGlobin BB305 Drug Product autologous CD34+ cells transduced with LentiGlobin BB305,Aleniglipron,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
LM11A-31-BHS,NA,unknown,0,NA,no reliable match,2
cranberry extract,NA,unknown,0,NA,no reliable match,2
Concentrate of Autologous adult non-expanded bone marrow mononuclear cells,NA,unknown,0,NA,no reliable match,2
RQR8+_TCR-_T-cells,NA,unknown,0,NA,no reliable match,2
LYC-30937,Ly-3031207,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Autologous Chondrocytes,Autologous cultured chondrocytes,unknown,84,fuzzy:epar,fuzzy match (jw similarity 84%),2
DTX-SPL8783,NA,unknown,0,NA,no reliable match,2
PASPAT 3 mg compresse,Pesampator,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
VCN-01,Ucn-01,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),2
MSV-CMT,NA,unknown,0,NA,no reliable match,2
Not yet assigned.,NA,unknown,0,NA,no reliable match,2
autologous mononuclear cells separated from aspirate of bone marrow,Autologous cord blood,unknown,83,fuzzy:llm_reviewed,fuzzy match (jw similarity 83%),2
AAV8.TBG.hLDLR,NA,unknown,0,NA,no reliable match,2
G1T28 Di-HCl,Trilaciclib,review,63,chembl,alias match (chembl_synonym): 'g1t28' → 'trilaciclib',2
Ad-DNX-2401,NA,unknown,0,NA,no reliable match,2
Lactobacillus reuteri,Lactobacillus acidophilus,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
not established yet,NA,unknown,0,NA,no reliable match,2
L-PRF,NA,unknown,0,NA,no reliable match,2
8-hCARp.hCNGB3,NA,unknown,0,NA,no reliable match,2
Nal-IRI,NA,unknown,0,NA,no reliable match,2
ALN-60519,NA,unknown,0,NA,no reliable match,2
5-hRKp.RPGR,NA,unknown,0,NA,no reliable match,2
Rubidium-82 chloride,Rubidium rb-82,review,63,chembl,alias match (chembl_synonym): 'rubidium-82' → 'rubidium rb-82',2
rVA576,NA,unknown,0,NA,no reliable match,2
RUTI,NA,unknown,0,NA,no reliable match,2
PD-L1 long1 9-28,Programmed cell death 1 ligand 1,review,63,chembl,alias match (chembl_synonym): 'pd-l1' → 'programmed cell death 1 ligand 1',2
Solutio carbonis detergens 10 in cremor vaselini lanette,NA,unknown,0,NA,no reliable match,2
Whartons jelly mesenchymal stem cells,NA,unknown,0,NA,no reliable match,2
see D.3.9.3 Other descriptive name below,NA,unknown,0,NA,no reliable match,2
allo-APZ2-CVU,NA,unknown,0,NA,no reliable match,2
BMS-986218,Bms-986178,review,93,fuzzy:chembl,fuzzy match (jw similarity 93%),2
RXC004,NA,unknown,0,NA,no reliable match,2
Allergovit 6-grasses,NA,unknown,0,NA,no reliable match,2
As Per SmPC,NA,unknown,0,NA,no reliable match,2
levoketozonazole,Levoketoconazole,review,91,fuzzy:chembl,fuzzy match (jw similarity 91%),2
There is no recommended INN,NA,unknown,0,NA,no reliable match,2
"Defatted powder of Arachis hypogaea L., semen peanuts","Defatted of arachis hypogaea l., semen (peanuts)",review,99,fuzzy:epar,fuzzy match (jw similarity 99%),2
Unavailable,NA,unknown,0,NA,no reliable match,2
recombinant human GAD65,Recombinant adamts13,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),2
Kapuzinerkressenkrautpulver,NA,unknown,0,NA,no reliable match,2
Egg Albumen Powder,Egualen,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
LOAd703,NA,unknown,0,NA,no reliable match,2
Vascular endothelial growth factor receptor-3 VEGFR-3 derivative fused to a human immunoglobulin IgG1 Fc fragment no proposed INN at this stage,NA,unknown,0,NA,no reliable match,2
Ciliary Neurotrophic factor CNTF,Ciliary neurotrophic factor,review,95,fuzzy:chembl,fuzzy match (jw similarity 95%),2
Hepcidin-25 human,Hepzidine,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
No INN assigned yet,NA,unknown,0,NA,no reliable match,2
Monoclonal antibody TG-403,Monoctanoin,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
bRESCAP,Brensocatib,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
Humanized IgG1 antibody drug conjugate,Bumadizone,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
ILB,NA,unknown,0,NA,no reliable match,2
EXPANDED HUMAN ALLOGENEIC MESENCHYMAL ADULT STEM CELLS EXTRACTED FROM ADIPOSE TISSUE,NA,unknown,0,NA,no reliable match,2
DOTA-RM2 ACETATO,NA,unknown,0,NA,no reliable match,2
Mesenchymal stem cells and microporous Bi-phasic calcium phosphate MBCP+,NA,unknown,0,NA,no reliable match,2
IMM-101,Imd-1041,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),2
AMZ001,NA,unknown,0,NA,no reliable match,2
FLT190,NA,unknown,0,NA,no reliable match,2
None at this time,NA,unknown,0,NA,no reliable match,2
MEDI7352,Medi-7247,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Commercial Synagis,NA,unknown,0,NA,no reliable match,2
Poliovirus inactivated IPV,Poliovirus vaccine inactivated,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
CRM197 carrier protein,NA,unknown,0,NA,no reliable match,2
Measles virus,Measles virus vaccine live,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Mumps virus,Mumps virus vaccine live,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
Rubella virus,Rubella virus vaccine live,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
AGUIX,NA,unknown,0,NA,no reliable match,2
DYN101,NA,unknown,0,NA,no reliable match,2
rame cloruro  64CuCl2,NA,unknown,0,NA,no reliable match,2
64CuCl2,NA,unknown,0,NA,no reliable match,2
"2015, IVR-180",NA,unknown,0,NA,no reliable match,2
INFIMH-16-0019,NA,unknown,0,NA,no reliable match,2
INN not yet been requested to the WHO,NA,unknown,0,NA,no reliable match,2
"SUNFLOWER OIL, REFINED",Sulfonterol,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
YELLOW WAX,NA,unknown,0,NA,no reliable match,2
CARNAUBA WAX PH EUR,Carafiban,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
OVX836,NA,unknown,0,NA,no reliable match,2
18FUCB-H,NA,unknown,0,NA,no reliable match,2
"aceite de soja, triglicridos de cadena media, aceite de oliva y aceite de pescado",Acetoside,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Aceite de oliva purificado y aceite de soja purificado,Acetoside,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Acidos grasos omega-3,NA,unknown,0,NA,no reliable match,2
Aceite de soja refinado y MCT,Acetoside,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
"Aceite de soja refinado,MCT y aceite de pescado",Acetoside,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
CyPep-1,Cpp-115,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
CT1812 fumarate,NA,unknown,0,NA,no reliable match,2
NMS-01940153E,NA,unknown,0,NA,no reliable match,2
Alutard SQ phleum pratense ALK 225,Paluratide,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
VPM1002,NA,unknown,0,NA,no reliable match,2
Mutaflor,NA,unknown,0,NA,no reliable match,2
CPL500036,NA,unknown,0,NA,no reliable match,2
PDNO,NA,unknown,0,NA,no reliable match,2
Omomyc,Paromomycin,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Rabeximod,Icanbelimod,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
AZD0466,Azd2066,review,90,fuzzy:chembl,fuzzy match (jw similarity 90%),2
Bevacizumab-IRDye800CW,Bevacizumab,unknown,83,fuzzy:manual,fuzzy match (jw similarity 83%),2
Exo-CD24,NA,unknown,0,NA,no reliable match,2
High dose RSVPreF3,NA,unknown,0,NA,no reliable match,2
Anti-SARS-CoV-2 Fab2 fragments,NA,unknown,0,NA,no reliable match,2
There is no recommended International Nonproprietary Name INN,NA,unknown,0,NA,no reliable match,2
Peptide antigen SurA1.T,Pareptide,review,93,fuzzy:llm_reviewed,fuzzy match (jw similarity 93%),2
Peptide antigen SurA2.M,Pareptide,review,93,fuzzy:llm_reviewed,fuzzy match (jw similarity 93%),2
Peptide antigen SurA3.K,Pareptide,review,93,fuzzy:llm_reviewed,fuzzy match (jw similarity 93%),2
Peptide antigen SurA24,Pareptide,review,93,fuzzy:llm_reviewed,fuzzy match (jw similarity 93%),2
Peptide antigen SurB7,Pareptide,review,93,fuzzy:llm_reviewed,fuzzy match (jw similarity 93%),2
Polynucleotide adjuvant dldC,NA,unknown,0,NA,no reliable match,2
T-Helper antigen A16L,NA,unknown,0,NA,no reliable match,2
Anti-IL6,Anti-cd26,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
RMC-035,Trc-093,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
TCP-25,Trc-253,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
XXB750,NA,unknown,0,NA,no reliable match,2
Test IMP (EDG-5506) without active substance,NA,unknown,0,NA,no reliable match,2
HepaStem,Zepastine,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Dibondrin - Ampullen,NA,unknown,0,NA,no reliable match,2
OTL-203,Cat-203,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
REGN7999,NA,unknown,0,NA,no reliable match,2
BAY 3018250,NA,unknown,0,NA,no reliable match,2
UCPVax 1mg,NA,unknown,0,NA,no reliable match,2
JNJ-81201887,NA,unknown,0,NA,no reliable match,2
BCMACP03,NA,unknown,0,NA,no reliable match,2
Trappsol  Cyclo,Torapsel,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
MORF-057 IR Capsule,NA,unknown,0,NA,no reliable match,2
"Salina Fisiológica Grifols 0,9% Solución para perfusión Cloruro de sodio",Salinazid,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),2
JNJ-67896049,NA,unknown,0,NA,no reliable match,2
4.5 micrograms inhalation powder,NA,unknown,0,NA,no reliable match,2
CARBOHYDRATES,NA,unknown,0,NA,no reliable match,2
Fancalen,Fanapanel,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
GLPG3667,Glpg-3970,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
Neoflubin 25 mg,Nemorubicin,unknown,80,fuzzy:chembl,fuzzy match (jw similarity 80%),2
REGN9933,NA,unknown,0,NA,no reliable match,2
CLLS52,NA,unknown,0,NA,no reliable match,2
BCN-CP01,Bnc-105p,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
GD2IL18CART,NA,unknown,0,NA,no reliable match,2
Matching formulation of Povorcitinib (INCB054707) oral tablets,Malathion,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
IL6-Mab,NA,unknown,0,NA,no reliable match,2
"infusionsvätska, lösning.",NA,unknown,0,NA,no reliable match,2
ALLO-647,NA,unknown,0,NA,no reliable match,2
Quamatel 20 mg por és oldószer oldatos injekcióhoz,Buramate,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
ALLO-501A,Apl-501,unknown,84,fuzzy:chembl,fuzzy match (jw similarity 84%),2
mRNA-3705,NA,unknown,0,NA,no reliable match,2
AOC 1020,NA,unknown,0,NA,no reliable match,2
"Soluprick Negative control, Solution for skin prick test",NA,unknown,0,NA,no reliable match,2
"Soluprick Positive control, 10 mg",NA,unknown,0,NA,no reliable match,2
Debio 0123,NA,unknown,0,NA,no reliable match,2
177Lu PSMA I&T solution for injection,NA,unknown,0,NA,no reliable match,2
AZD3427,Azd-7624,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
IcoSema 700 U,NA,unknown,0,NA,no reliable match,2
TNG462,NA,unknown,0,NA,no reliable match,2
SVF,NA,unknown,0,NA,no reliable match,2
Aromasil 25 mg comprimidos recubiertos,Bertosamil,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
CRD-4730,Ac-430,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
XTMAB-16,Mab-216,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),2
SerpinPC,Serine,unknown,82,fuzzy:llm_reviewed,fuzzy match (jw similarity 82%),2
mRNA-3927,NA,unknown,0,NA,no reliable match,2
VX-561 granules,Deutivacaftor,review,63,chembl,alias match (chembl_synonym): 'vx-561' → 'deutivacaftor',2
v Intravenous Infusion BP Solution for Infusion,NA,unknown,0,NA,no reliable match,2
GS-5245 tablets 175 mg,Obeldesivir,review,62,chembl,alias match (chembl_synonym): 'gs-5245' → 'obeldesivir',2
GS-5245 tablets 350 mg,Obeldesivir,review,62,chembl,alias match (chembl_synonym): 'gs-5245' → 'obeldesivir',2
TGFβ Trap),NA,unknown,0,NA,no reliable match,2
AT-1501 190 mg Vial,Tegoprubart,review,62,chembl,alias match (chembl_synonym): 'at-1501' → 'tegoprubart',2
infusion or oral solution,NA,unknown,0,NA,no reliable match,2
g granules,NA,unknown,0,NA,no reliable match,2
same excipients except no hypromellose,NA,unknown,0,NA,no reliable match,2
infundiranje,Vinflunine,unknown,82,fuzzy:manual,fuzzy match (jw similarity 82%),2
JNJ-54179060,Jnj-54175446,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
ApTOLL,Practolol,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Omicron BA.4-5 (15,Emicerfont,unknown,82,fuzzy:chembl,fuzzy match (jw similarity 82%),2
15 micrograms),NA,unknown,0,NA,no reliable match,2
SAR441566,Sar-441236,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
"infuusiokonsentraatti, liuosta varten",NA,unknown,0,NA,no reliable match,2
souche,NA,unknown,0,NA,no reliable match,2
JNJ-78901563,NA,unknown,0,NA,no reliable match,2
"Astarté 0,25 mg",Izastobart,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),2
GPRC5D-TARGETED CAR T,NA,unknown,0,NA,no reliable match,2
CD19-Targeted NEX-T CAR T,NA,unknown,0,NA,no reliable match,2
Matched,NA,unknown,0,NA,no reliable match,2
JNJ-78934804,NA,unknown,0,NA,no reliable match,2
BAY 948862,NA,unknown,0,NA,no reliable match,2
FOLINATO CÁLCICO NORMON 350 mg Polvo para solución inyectable EFG.,Tolindate,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
HAL Allergy Prick Test Hundeepithelien,NA,unknown,0,NA,no reliable match,2
HAL Allergy Prick Test Hausstaubmilbe Dermatophagoides Pteronyssinus,NA,unknown,0,NA,no reliable match,2
HAL Allergy Prick Test Katzenepithelien,NA,unknown,0,NA,no reliable match,2
AVP-786,Pc-786,review,85,fuzzy:chembl,fuzzy match (jw similarity 85%),2
Bendadocel 20 mg,Bendazol,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
Sindaxel 6 mg,Simotaxel,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
perfusion,Perflubron,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Film-Coated Tablet without Deucravacitinib,NA,unknown,0,NA,no reliable match,2
AAVAnc80-hOTOF,NA,unknown,0,NA,no reliable match,2
"g, gel oftálmico en envase unidosis",NA,unknown,0,NA,no reliable match,2
0.5 mL solution for injection in pre-filled pen,NA,unknown,0,NA,no reliable match,2
JNJ-79635322,Jnj-42396302,unknown,81,fuzzy:chembl,fuzzy match (jw similarity 81%),2
"Tablets are oval, biconvex, plain and white to off white",NA,unknown,0,NA,no reliable match,2
PTG-CARCIK-CD19,NA,unknown,0,NA,no reliable match,2
ALK-prick Positiv-Kontrolle ist ein Histaminpräparat für die Pricktestung.,NA,unknown,0,NA,no reliable match,2
"ALK-prick SQ  - 503 Milbe Dermatophagoides pteronyssinus, 10 HEP,  Lösung für den Pricktest",NA,unknown,0,NA,no reliable match,2
ALK-prick SQ - 312 Beifuß - 10 HEP - Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick SQ - 225 Wiesenlieschgras - 10 HEP - Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick SQ 553 Hundehaare 10 HEP Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick Negativ-Kontrolle Pricktestlösung,NA,unknown,0,NA,no reliable match,2
ALK-prick N - 302 Ragweed (Ambrosia) - 1:100 G,NA,unknown,0,NA,no reliable match,2
V - Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick SQ - 555 Katzenhaare - 10 HEP - Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick SQ - 108 Birke - 10 HEP - Lösung für den Pricktest,NA,unknown,0,NA,no reliable match,2
ALK-prick N - 402 Alternaria alternata (tenuis) - 1:20 G,NA,unknown,0,NA,no reliable match,2
Surabgene Lomparvovec (ABBV-RGX-314),Surabgene lomparvovec,review,86,fuzzy:chembl,fuzzy match (jw similarity 86%),2
AMX0035,Anx-005,unknown,81,fuzzy:llm_reviewed,fuzzy match (jw similarity 81%),2
ABBV-382,Abbv-257,unknown,83,fuzzy:chembl,fuzzy match (jw similarity 83%),2
Allogeneic Mesenchymal stromal cells derived from adipose tissue thawed and cultured,NA,unknown,0,NA,no reliable match,2
VX-670 Solution for Injection,Vx-702,review,89,fuzzy:chembl,fuzzy match (jw similarity 89%),2
BNT314,NA,unknown,0,NA,no reliable match,2
TransCon IL-2 ß,Transcrocetin,review,87,fuzzy:chembl,fuzzy match (jw similarity 87%),2
Tumor Intiltrating Lymphocytes (TIL) – VHIO,NA,unknown,0,NA,no reliable match,2
"ml), roztwór do wstrzykiwan",NA,unknown,0,NA,no reliable match,2
11C-UCB-J,NA,unknown,0,NA,no reliable match,2
Recombinant human anti-ATTR immunoglobulin G1 (IgG1) monoclonal antibody (mAb),Recombinant adamts13,review,85,fuzzy:llm_reviewed,fuzzy match (jw similarity 85%),2
[177Lu]-NeoB solution for infusion,NA,unknown,0,NA,no reliable match,2
AAA503,NA,unknown,0,NA,no reliable match,2
MT-7117 Formulation Code C,Dersimelagon,review,63,chembl,alias match (chembl_synonym): 'mt-7117' → 'dersimelagon',2
Exon 51 specific phosphorothioate oligonucleotide,NA,unknown,0,NA,no reliable match,2
DFV890,NA,unknown,0,NA,no reliable match,2
