"raw_clean","substance_clean","match_status","reason"
"aztreonam","aztreonam","accepted","llm_curated"
"diclofenac sodium","diclofenac sodium","accepted","auto-accepted score=100"
"propranolol hydrochloride","propranolol hydrochloride","accepted","auto-accepted score=100"
"sufentanil citrate","sufentanil citrate","accepted","auto-accepted score=100"
"paliperidone","paliperidone","accepted","auto-accepted score=100"
"ceftazidime","ceftazidime","accepted","auto-accepted score=100"
"candesartan","candesartan","accepted","llm_curated"
"sodium picosulfate","sodium picosulfate","accepted","auto-accepted score=100"
"betamethasone","betamethasone","accepted","auto-accepted score=100"
"lithium","lithium","accepted","auto-accepted score=100"
"heparin","heparin","accepted","auto-accepted score=100"
"cefuroxime","cefuroxime","accepted","auto-accepted score=100"
"sodium ascorbate","sodium ascorbate","accepted","auto-accepted score=100"
"rocuronium","rocuronium","accepted","auto-accepted score=100"
"adenosine","adenosine","accepted","auto-accepted score=100"
"memantine hydrochloride","memantine hydrochloride","accepted","auto-accepted score=100"
"heparin sodium","heparin sodium","accepted","auto-accepted score=100"
"naloxone","naloxone","accepted","auto-accepted score=100"
"levobupivacaine hydrochloride","levobupivacaine hydrochloride","accepted","auto-accepted score=100"
"triptorelin acetate","triptorelin acetate","accepted","auto-accepted score=100"
"ampicillin","ampicillin","accepted","auto-accepted score=100"
"caspofungin","caspofungin","accepted","auto-accepted score=100"
"ropinirole","ropinirole","accepted","auto-accepted score=100"
"rocuronium bromide","rocuronium bromide","accepted","auto-accepted score=100"
"selumetinib","selumetinib","accepted","llm_curated"
"etoricoxib","etoricoxib","accepted","auto-accepted score=100"
"rivastigmine","rivastigmine","accepted","auto-accepted score=100"
"sodium bicarbonate","sodium bicarbonate","accepted","auto-accepted score=100"
"pioglitazone hydrochloride","pioglitazone hydrochloride","accepted","auto-accepted score=100"
"gemtuzumab ozogamicin","gemtuzumab ozogamicin","accepted","auto-accepted score=100"
"icatibant","icatibant","accepted","auto-accepted score=100"
"tenofovir disoproxil fumarato","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"duloxetine hydrochloride","duloxetine hydrochloride","accepted","auto-accepted score=100"
"brimonidine tartrate","brimonidine tartrate","accepted","auto-accepted score=100"
"sildenafil citrate","sildenafil citrate","accepted","auto-accepted score=100"
"methylnaltrexone bromide","methylnaltrexone bromide","accepted","auto-accepted score=100"
"candesartan cilexetil","candesartan cilexetil","accepted","auto-accepted score=100"
"olmesartan medoxomil","olmesartan medoxomil","accepted","auto-accepted score=100"
"caffeine","caffeine","accepted","auto-accepted score=100"
"triamcinolone","triamcinolone","accepted","auto-accepted score=100"
"amikacin sulfate","amikacin sulfate","accepted","auto-accepted score=100"
"gantenerumab","gantenerumab","accepted","llm_curated"
"lithium carbonate","lithium carbonate","accepted","auto-accepted score=100"
"paliperidone palmitate","paliperidone palmitate","accepted","auto-accepted score=100"
"octreotide acetate","octreotide acetate","accepted","auto-accepted score=100"
"fesoterodine","fesoterodine","accepted","auto-accepted score=100"
"fondaparinux","fondaparinux","accepted","auto-accepted score=100"
"fosamprenavir","amprenavir","accepted","auto-accepted score 90-94"
"terbinafine hydrochloride","terbinafine hydrochloride","accepted","auto-accepted score=100"
"sodium alginate","sodium alginate","accepted","auto-accepted score=100"
"brimonidine","brimonidine","accepted","llm_curated"
"flortaucipir","flortaucipir f-18","accepted","auto-accepted score 90-94"
"amlodipine besilate","amlodipine besilate","accepted","auto-accepted score=100"
"sevelamer","sevelamer","accepted","auto-accepted score=100"
"iopamidol","iopamidol","accepted","llm_curated"
"sapropterin","sapropterin","accepted","auto-accepted score=100"
"olmesartan","olmesartan","accepted","llm_curated"
"ertapenem sodium","ertapenem sodium","accepted","auto-accepted score=100"
"buprenorphine hydrochloride","buprenorphine hydrochloride","accepted","auto-accepted score=100"
"naloxone hydrochloride dihydrate","naloxone hydrochloride dihydrate","accepted","auto-accepted score=100"
"clobazam","clobazam","accepted","llm_curated"
"hydromorphone","hydromorphone","accepted","auto-accepted score=100"
"rifapentine","rifapentine","accepted","llm_curated"
"dexmedetomidine hydrochloride","dexmedetomidine hydrochloride","accepted","auto-accepted score=100"
"amorolfine hydrochloride","amorolfine","accepted","llm_curated"
"dextromethorphan","dextromethorphan","accepted","auto-accepted score=100"
"sodium zirconium cyclosilicate","sodium zirconium cyclosilicate","accepted","auto-accepted score=100"
"magnesium sulfate","magnesium sulfate","accepted","auto-accepted score=100"
"sodium lactate","sodium lactate","accepted","auto-accepted score=100"
"gemtuzumab","alemtuzumab","accepted","auto-accepted score 90-94"
"testosterone undecanoate","testosterone undecanoate","accepted","auto-accepted score=100"
"icosapent","icosapent","accepted","auto-accepted score=100"
"betamethasone valerate","betamethasone valerate","accepted","auto-accepted score=100"
"morphine sulfate","morphine sulfate","accepted","auto-accepted score=100"
"raltegravir potassium","raltegravir potassium","accepted","auto-accepted score=100"
"sodium fluoride","sodium fluoride","accepted","auto-accepted score=100"
"calcium","caplacizumab","accepted","auto-accepted review 80-89"
"esmolol hydrochloride","esmolol hydrochloride","accepted","auto-accepted score=100"
"sevelamer carbonate","sevelamer carbonate","accepted","auto-accepted score=100"
"eltrombopag olamine","eltrombopag olamine","accepted","auto-accepted score=100"
"sodium oxybate","sodium oxybate","accepted","auto-accepted score=100"
"fondaparinux sodium","fondaparinux sodium","accepted","auto-accepted score=100"
"sodium thiosulfate","sodium thiosulfate","accepted","auto-accepted score=100"
"sodium nitroprusside","sodium nitroprusside","accepted","auto-accepted score=100"
"icatibant acetate","icatibant acetate","accepted","auto-accepted score=100"
"dinutuximab beta","dinutuximab beta","accepted","auto-accepted score=100"
"caffeine citrate","caffeine citrate","accepted","auto-accepted score=100"
"clobazam","clonazepam","accepted","auto-accepted review 80-89"
"mipomersen","mipomersen","accepted","auto-accepted score=100"
"enalapril maleato","enalapril (maleate)","accepted","auto-accepted score 90-94"
"hydromorphone hydrochloride","hydromorphone hydrochloride","accepted","auto-accepted score=100"
"caspofungin acetate","caspofungin acetate","accepted","auto-accepted score=100"
"tenofovir disoproxil as fumarate","tenofovir disoproxil fumarate","accepted","auto-accepted score 90-94"
"anamorelin hcl","anamorelin hydrochloride","accepted","auto-accepted review 80-89"
"iopamidol","palmidrol","accepted","auto-accepted review 80-89"
"magnesium","magnesium","accepted","auto-accepted score=100"
"dextromethorphan hydrobromide","dextromethorphan hydrobromide","accepted","auto-accepted score=100"
"ceftaroline fosamil","ceftaroline fosamil","accepted","auto-accepted score=100"
"enalapril maleate","enalapril (maleate)","accepted","auto-accepted score>=95"
"sodium sulfate anhydrous","sodium sulfate anhydrous","accepted","auto-accepted score=100"
"givinostat hydrochloride monohydrate","givinostat hydrochloride monohydrate","accepted","auto-accepted score=100"
"potassium citrate","potassium citrate","accepted","auto-accepted score=100"
"sodium citrate","sodium citrate","accepted","auto-accepted score=100"
"potassium","potassium","accepted","auto-accepted score=100"
"patiromer","patiromer","accepted","auto-accepted score=100"
"sodium benzoate","sodium benzoate","accepted","auto-accepted score=100"
"ceftolozane","ceftolozane","accepted","auto-accepted score=100"
"brimonidine tartrate 0.2% w","brimonidine tartrate","accepted","auto-accepted score 90-94"
"lopinavir+ritonavir","lopinavir|ritonavir","accepted","auto-accepted score>=95"
"dexrazoxane","dexrazoxane","accepted","auto-accepted score=100"
"dopexamine hydrochloride","duloxetine hydrochloride","accepted","auto-accepted score 90-94"
"raloxifene","raloxifene","accepted","auto-accepted score=100"
"fesoterodine fumarate","fesoterodine fumarate","accepted","auto-accepted score=100"
"aztreonam lysine","aztreonam lysine","accepted","auto-accepted score=100"
"sodium iodide","sodium iodide i-131","accepted","auto-accepted review 80-89"
"pramipexole dihydrochloride monohydrate","pramipexole dihydrochloride monohydrate","accepted","auto-accepted score=100"
"dapoxetine hydrochloride","duloxetine hydrochloride","accepted","auto-accepted score 90-94"
"olmesartan medoxomilo","olmesartan medoxomil","accepted","auto-accepted score>=95"
"sodium nitrite","sodium nitrite","accepted","auto-accepted score=100"
"calcium folinate 5-hydrate","calcium folinate","accepted","auto-accepted review 80-89"
"tenofovir alafenamide as hemi-fumarate","tenofovir alafenamide fumarate","accepted","auto-accepted score 90-94"
"rifapentine","trientine","accepted","auto-accepted review 80-89"
"pridopidine","pridopidine","accepted","auto-accepted score=100"
"tenofovir alefenamide fumarate","tenofovir alafenamide fumarate","accepted","auto-accepted score>=95"
"tenofovir alafenamide fumarato","tenofovir alafenamide fumarate","accepted","auto-accepted score>=95"
"diazoxide choline","diazoxide choline","accepted","auto-accepted score=100"
"tenofovir disoxipropil fumarato","tenofovir disoproxil fumarate","accepted","auto-accepted score 90-94"
"cefuroxime axetil","cefuroxime axetil","accepted","auto-accepted score=100"
"anagrelide hydrochloride","anagrelide hydrochloride","accepted","auto-accepted score=100"
"potassium iodide","potassium iodide","accepted","auto-accepted score=100"
"calcium folinas","calcium folinate","accepted","auto-accepted score 90-94"
"calcium levo folinas","calcium levofolinate","accepted","auto-accepted score 90-94"
"buprenorphine hydrochloride 0.4mg","buprenorphine hydrochloride","accepted","auto-accepted score=100"
"buprenorphine hydrochloride 2mg","buprenorphine hydrochloride","accepted","auto-accepted score=100"
"buprenorphine hydrochloride 8mg","buprenorphine hydrochloride","accepted","auto-accepted score=100"
"atracurium besylate","atracurium besylate","accepted","auto-accepted score=100"
"mipomersen sodium","mipomersen sodium","accepted","auto-accepted score=100"
"fentanyl hydrochloride","fentanyl hydrochloride","accepted","auto-accepted score=100"
"olopatadine","olopatadine","accepted","auto-accepted score=100"
"sapropterin dihydrochloride","sapropterin dihydrochloride","accepted","auto-accepted score=100"
"sevelamer hydrochloride","sevelamer hydrochloride","accepted","auto-accepted score=100"
"candesartan  cilexetil","candesartan cilexetil","accepted","auto-accepted score=100"
"carteolol","atenolol","accepted","auto-accepted review 80-89"
"tenofovir disproxil fumarate","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"sodium tetradecyl sulfate","sodium tetradecyl sulfate","accepted","auto-accepted score=100"
"fentanyl citrate 50 mcg","fentanyl citrate","accepted","auto-accepted score=100"
"fosamprenavir calcium","fosamprenavir calcium","accepted","auto-accepted score=100"
"gemtuzumab ozogamycin","gemtuzumab ozogamicin","accepted","auto-accepted score>=95"
"olmesartan medoximil","olmesartan medoxomil","accepted","auto-accepted score>=95"
"carteolol hydrochloride","solriamfetol hydrochloride","accepted","auto-accepted review 80-89"
"tenofovir dsoproxil fumarate","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"ropinirole hydrochloride","ropinirole hydrochloride","accepted","auto-accepted score=100"
"tenofovir disoproxilfumarat","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"calcium chloride 14.7","calcium chloride","accepted","auto-accepted score 90-94"
"interferon beta","interferon beta","accepted","auto-accepted score=100"
"calcium gluceptate","calcium gluconate","accepted","auto-accepted review 80-89"
"tizanidine","ranitidine","accepted","auto-accepted review 80-89"
"interferon","interferon","accepted","auto-accepted score=100"
"calcium folate","calcium folinate","accepted","auto-accepted score>=95"
"rivastigmine hydrogen tartrate","rivastigmine hydrogen tartrate","accepted","auto-accepted score=100"
"sodium sulfide for injection","sodium fusidate","accepted","auto-accepted score 90-94"
"sodium gluconate","sodium folate","accepted","auto-accepted review 80-89"
"tenofovir disopraxil fumarate","tenofovir disoproxil fumarate","accepted","auto-accepted score 90-94"
"gantenerumab","ganitumab","accepted","auto-accepted review 80-89"
"eperisone","ephedrine","accepted","auto-accepted review 80-89"
"tenofovir disoproxyl fumarate","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"fosamprenavir calcico","fosamprenavir calcium","accepted","auto-accepted score 90-94"
"sodium glycerophosphate","sodium glycerophosphate","accepted","auto-accepted score=100"
"sodium lauryl sulfate","sodium lauryl sulfate","accepted","auto-accepted score=100"
"sodium nitrate powder","sodium citrate","accepted","auto-accepted score>=95"
"sodium nitrate","sodium citrate","accepted","auto-accepted score>=95"
"brimonidine tartatre","brimonidine tartrate","accepted","auto-accepted score>=95"
"sildenafil citrate 50 mg","sildenafil citrate","accepted","auto-accepted score=100"
"eperisone hydrochloride","erlotinib hydrochloride","accepted","auto-accepted review 80-89"
"pilocarpine hydrochloride","clomipramine hydrochloride","accepted","auto-accepted score 90-94"
"calcium folinat","calcium folinate","accepted","auto-accepted score>=95"
"morphine sulfate prolonged release capsule 10mg","morphine sulfate","accepted","auto-accepted score=100"
"sodium bicarbonate 14.0 g","sodium bicarbonate","accepted","auto-accepted score=100"
"tizanidine hydrochloride","amitifadine hydrochloride","accepted","auto-accepted review 80-89"
"sodium phenylbutyrate","sodium phenylbutyrate","accepted","auto-accepted score=100"
"tenofovir disoproxil tdf","tenofovir disoproxil","accepted","auto-accepted score 90-94"
"tenofovir alafenamide fumarate taf","tenofovir alafenamide fumarate","accepted","auto-accepted score>=95"
"raloxifene hydrochloride","raloxifene hydrochloride","accepted","auto-accepted score=100"
"icosapent ethyl","icosapent ethyl","accepted","auto-accepted score=100"
"tenofovir disoproxil difumarato","tenofovir disoproxil fumarate","accepted","auto-accepted score>=95"
"trientine tetrahydrochloride","trientine tetrahydrochloride","accepted","auto-accepted score=100"
"entecavir monohydrate","entecavir monohydrate","accepted","auto-accepted score=100"
"selumetinib sulfate","selumetinib sulfate","accepted","auto-accepted score=100"
"tenofovir alafenamida","tenofovir alafenamide","accepted","auto-accepted score>=95"
"patiromer sorbitex calcium","patiromer sorbitex calcium","accepted","auto-accepted score=100"
"tenofovir alafensmide","tenofovir alafenamide","accepted","auto-accepted score>=95"
"tenofovir alafenamide d","tenofovir alafenamide","accepted","auto-accepted score>=95"
"tenofovir disoproxil succinate","tenofovir disoproxil fumarate","accepted","auto-accepted score 90-94"
"tenofovir disoproxil phosphate","tenofovir disoproxil phosphate","accepted","auto-accepted score=100"
"pridopidine hydrochloride","pridopidine hydrochloride","accepted","auto-accepted score=100"
"calcium folinate sandoz 10 mg","calcium folinate","accepted","auto-accepted score 90-94"
"tenofovir disoproxil tillomed 200 mg","tenofovir disoproxil","accepted","auto-accepted score 90-94"
"tenofovir disoproxilo aurovitas 200 mg","tenofovir disoproxil fumarate","accepted","auto-accepted review 80-89"
"sodium chloride 0.9%, solution for infusion","sodium chloride","accepted","auto-accepted score 90-94"
"olopatadine hydrochloride","olopatadine hydrochloride","accepted","auto-accepted score=100"
"sodium chloride 0.9%, solution for injection","sodium chloride","accepted","auto-accepted score 90-94"
"sodium chloride 0.372% solution","sodium chloride","accepted","auto-accepted review 80-89"
"sodium chloride 0.9 % w","sodium chloride","accepted","auto-accepted review 80-89"
"dexrazoxane hydrochloride","dexrazoxane hydrochloride","accepted","auto-accepted score=100"
"tenofovir disoproxil viatris 245 mg film-coated tablets","tenofovir disoproxil","accepted","auto-accepted score 90-94"
"sodium bicarbonate 500 mg capsules","sodium bicarbonate","accepted","auto-accepted score=100"
"sodium chloride 0.9 %","sodium chloride","accepted","auto-accepted score 90-94"
"sodium chloride nose drops 0.9%","sodium chloride","accepted","auto-accepted review 80-89"
"sodium iodide (131i)","sodium iodide i-131","accepted","auto-accepted score 90-94"
"rocuronium bromide 10 mg","rocuronium bromide","accepted","auto-accepted score=100"
"sodium hydroxide","sodium hydroxide","accepted","auto-accepted score=100"
"sodium chloride ph. eur.","sodium chloride","accepted","auto-accepted review 80-89"
"sodium butyrate 1,1 g","sodium citrate","accepted","auto-accepted review 80-89"
"flortaucipir (18f)","flortaucipir (18f)","accepted","auto-accepted score=100"
"morphine sulfate 10mg","morphine sulfate","accepted","auto-accepted score=100"
