"pip_procedure_number","pip_decision_number","ema_url","decision_type_code","decision_type_text","decision_title","decision_date","active_substance","therapeutic_area","condition","compliance_check_done","has_full_waiver","has_partial_waiver","has_deferral","pdf_url","parse_confidence","fetched_at","ema_feed_timestamp"
"EMEA-000183-PIP02-12-M05","P/135/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000183-pip02-12-m05","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","06/05/2024","apixaban","Cardiovascular diseases","Treatment of venous thromboembolism","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003623-PIP01-24","P/181/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003623-pip01-24","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","15/05/2024","Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A (H1N1);Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A (H3N2);Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain B (Victoria lineage)","Infections and infestations","Prevention of influenza infection","Positive",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003624-PIP01-24","P/180/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003624-pip01-24","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","16/05/2024","Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A (H1N1);Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A (H3N2);Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain B (Victoria lineage)","Infections and infestations","Prevention of influenza infection","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003573-PIP01-23","P/143/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003573-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","pitavastatin (calcium);ezetimibe","Metabolism and nutrition disorders","Treatment of hypercholesterolaemia","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003570-PIP01-23","P/156/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003570-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","human alpha-1-proteinase inhibitor immunoglobulin G fusion protein, recombinant","Respiratory, thoracic and mediastinal disorders","Treatment of emphysema secondary to congenital deficiency of alpha-1 antitrypsin","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003567-PIP01-23","P/155/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003567-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","volixibat potassium","Hepatobiliary disorders","Treatment of primary biliary cholangitis","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002597-PIP10-23","P/111/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002597-pip10-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","efgartigimod alfa","Eye disorders","Treatment of thyroid eye disease","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003566-PIP01-23","P/154/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003566-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","camrelizumab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of hepatocellular carcinoma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-000520-PIP03-23","P/109/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-000520-pip03-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","12/04/2024","belimumab","Musculoskeletal and connective tissue disorders","Treatment of systemic sclerosis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003546-PIP01-23","P/108/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003546-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","zongertinib","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of non-small cell lung cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003563-PIP01-23","P/162/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003563-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","atorvastatin calcium;fenofibrate","Congenital, familial and genetic disorders","Treatment of hyperlipidaemia","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003390-PIP01-23","P/185/2023","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003390-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","15/05/2023","pitavastatin;ezetimibe","Cardiovascular diseases","Treatment of hypercholesterolaemia","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003562-PIP01-23","P/161/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003562-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","ezetimibe;fenofibrate;rosuvastatin calcium","Congenital, familial and genetic disorders","Treatment of hyperlipidaemia","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003561-PIP01-23","P/160/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003561-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","carbachol;brimonidine tartrate","Eye disorders","Treatment of presbyopia","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003559-PIP01-23","P/146/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003559-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","baxdrostat;dapagliflozin propanediol monohydrate","Renal and urinary disorders","Treatment of chronic kidney disease","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003557-PIP01-23","P/147/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003557-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","petosemtamab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of head and neck epithelial malignant neoplasms","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003555-PIP01-23","P/140/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003555-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","alrefimotide;tapderimotide;riletamotide","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of mesothelioma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003554-PIP01-23","P/139/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003554-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","acetylcysteine amide","Vascular disorders","Treatment of hereditary cystatin C amyloid angiopathy","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003552-PIP01-23","P/175/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003552-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","03/06/2024","human rabies immunoglobulin","Infections and infestations","Prevention of rabies viral infection","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003534-PIP01-23","P/107/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003534-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","sitagliptin;dapagliflozin","Metabolism and nutrition disorders","Treatment of type II diabetes mellitus","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003530-PIP01-23","P/106/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003530-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","nebivolol;ramipril","Cardiac disorders","Treatment of coronary artery disease;Treatment of heart failure;Treatment of hypertension;Treatment of hypertension with coexisting coronary artery disease;Treatment of hypertension with coexisting heart failure","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003485-PIP01-23","P/174/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003485-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","03/05/2024","N-(2-((2-(dimethylamino)ethyl)(methyl)amino)-5-((4-(1-methyl-1H-indol-3-yl)pyrimidin-2-yl)amino)- 6-(2,2,2-trifluoroethoxy)pyridin-3-yl)acrylamide methanesulfonate","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of non-small cell lung cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003481-PIP01-23","P/150/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003481-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","lutikizumab","Skin and subcutaneous tissue disorders","Treatment of hidradenitis suppurativa","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003478-PIP01-23","P/182/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003478-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","15/05/2024","zasocitinib","Skin and subcutaneous tissue disorders","Treatment of psoriasis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003465-PIP01-23","P/142/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003465-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","messenger RNA encoding Cas9, single guide RNA targeting the human KLKB1 gene","Congenital, familial and genetic disorders","Treatment of hereditary angioedema","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002958-PIP01-21-M01","P/123/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002958-pip01-21-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","11/04/2024","aficamten","Congenital, familial and genetic disorders","Treatment of hypertrophic cardiomyopathy","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001585-PIP01-13-M06","P/134/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001585-pip01-13-m06","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","25/04/2024","selumetinib","Congenital, familial and genetic disorders","Treatment of melanoma;Treatment of neurofibromatosis type 1;Treatment of thyroid cancer","Positive",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003453-PIP01-23","P/133/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003453-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","04/12/2024","enlicitide (decanoate)","Metabolism and nutrition disorders","Treatment of hypercholesterolaemia","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001198-PIP04-23","P/132/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001198-pip04-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","04/12/2024","netupitant;palonosetron","Surgical and medical procedures","Prevention of chemotherapy-induced nausea and vomiting","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003439-PIP02-23","P/131/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003439-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","11/04/2024","GIPR antagonist/GLP-1R agonist (AMG 133)","Metabolism and nutrition disorders","Treatment of obesity","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003543-PIP01-23","P/128/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003543-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2025","autologous T-cells expressing a chimeric antigenic receptor against G protein coupled receptor class C, group 5, member D (GPRC5D) (BMS-986393)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of Multiple Myeloma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003542-PIP01-23","P/127/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003542-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","propylene glycol","Skin and subcutaneous tissue disorders","Treatment of dry skin","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003443-PIP02-23","P/126/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003443-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","12/04/2024","disitamab vedotin","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of solid tumours, including central nervous system malignancies","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003551-PIP01-23","P/125/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003551-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","11/04/2024","maplirpacept","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of Multiple Myeloma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003457-PIP01-23","P/159/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003457-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","laruparetigene zovaparvovec","Congenital, familial and genetic disorders","Treatment of X-linked retinitis pigmentosa","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003454-PIP01-23","P/184/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003454-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","17/05/2024","mometasone furoate","Infections and infestations","Treatment of chronic rhinosinusitis","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003248-PIP02-23","P/121/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003248-pip02-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","suvecaltamide hydrochloride","Nervous system disorders","Treatment of tremor in patients with Parkinson’s disease","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003434-PIP02-23","P/173/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003434-pip02-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","03/05/2024","modified messenger ribonucleic acid encoding individual patient-specific tumour neoantigens (V940/ mRNA-4157)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of cutaneous squamous cell carcinoma;Treatment of renal cell carcinoma (RCC);Treatment of urothelial carcinoma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002883-PIP03-23","P/120/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002883-pip03-23","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","12/04/2024","trimodulin (human IgM, IgA, IgG solution)","Infections and infestations","Treatment of lower respiratory tract and lung infections","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003333-PIP01-22","P/141/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003333-pip01-22","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","Hemopexin","Congenital, familial and genetic disorders","Treatment of sickle cell disease","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003299-PIP01-22","P/178/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003299-pip01-22","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","orforglipron","Endocrine disorders","Treatment of type 2 diabetes mellitus","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002924-PIP02-23","P/158/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002924-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","etavopivat","Congenital, familial and genetic disorders","Treatment of sickle cell disease","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002727-PIP03-23","P/169/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002727-pip03-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","06/05/2024","nivolumab;relatlimab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of melanoma","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002573-PIP02-23","P/166/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002573-pip02-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","amivantamab","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of colorectal carcinoma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002490-PIP01-18","P/185/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002490-pip01-18","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","23/05/2024","mavorixafor","Congenital, familial and genetic disorders","Treatment of WHIM (warts, hypogammaglobulinemia, infections, and myelokathexis) syndrome","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002042-PIP03-23","P/145/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002042-pip03-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","Erdafitinib","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of urothelial carcinoma","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-001039-PIP04-23","P/136/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-001039-pip04-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","06/05/2024","Clostridium Botulinum neurotoxin type A (150 kD), free from complexing proteins","Nervous system disorders","Treatment of essential tremor","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002746-PIP01-20-M03","P/104/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002746-pip01-20-m03","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","12/04/2024","seltorexant","Psychiatric disorders","Treatment of major depressive disorder","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002736-PIP02-23","P/103/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002736-pip02-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","12/04/2024","garetosmab","Congenital, familial and genetic disorders","Treatment of fibrodysplasia ossificans progressiva","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-002618-PIP02-20-M01","P/102/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-002618-pip02-20-m01","PM","PM: decision on the application for modification of an agreed PIP","PM: decision on the application for modification of an agreed PIP","12/04/2024","ruxolitinib (phosphate)","Skin and subcutaneous tissue disorders","Treatment of vitiligo","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003569-PIP01-23","P/100/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003569-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","05/04/2025","raludotatug deruxtecan","Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Treatment of fallopian tube cancer;Treatment of ovarian cancer;Treatment of primary peritoneal cancer","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003405-PIP01-23","P/97/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003405-pip01-23","P","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","P: decision agreeing on a investigation plan, with or without partial waiver(s) and or deferral(s)","12/04/2024","CX-000359 mRNA encoding the UL128 protein in the CMV glycoprotein complex pentamer;CX- 000594 mRNA encoding the gL protein in the CMV glycoprotein complex pentamer;CX- 000712 mRNA encoding the UL130 protein in the CMV glycoprotein complex pentamer;CX-005128 mRNA encoding the UL131A protein in the CMV glycoprotein complex pentamer;CX-005282 m-RNA encoding the gH protein in the CMV glycoprotein complex pentamer;CX-000667 mRNA encoding CMV gB (mRNA- 1647)","Infections and infestations","Prevention of cytomegalovirus infection","",FALSE,,,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003313-PIP03-23","P/96/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003313-pip03-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","povorcitinib","Skin and subcutaneous tissue disorders","Treatment of prurigo nodularis","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003540-PIP01-23","P/95/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003540-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","vixarelimab","Respiratory, thoracic and mediastinal disorders","Treatment of idiopathic pulmonary fibrosis","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003537-PIP01-23","P/94/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003537-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2025","human hydroxysteroid-17ß-dehydrogenase type 1 (HSD17B1) enzyme inhibitor","Reproductive system and breast disorders","Treatment of endometriosis","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
"EMEA-003528-PIP01-23","P/93/2024","https://www.ema.europa.eu/en/medicines/human/paediatric-investigation-plans/emea-003528-pip01-23","W","W: decision granting a waiver in all age groups for all conditions or indications","W: decision granting a waiver in all age groups for all conditions or indications","12/04/2024","empasiprubart","Nervous system disorders","Treatment of multifocal motor neuropathy (MMN)","",TRUE,,FALSE,,"ema_bulk_table","2026-05-06 12:33:19 CEST","2026-05-06T06:15:34Z"
