"sponsor_name","baseline_date"
"Consorcio Centro De Investigacion Biomedica En Red, Ciber","2026-05-05"
"Consorcio Centro de Investigacion Biomedica en Red, M.P. CIBER","2026-05-05"
"Consorcio De Apoyo A La Investigacin Biomdica En Red Caiber","2026-05-05"
"Consorcio De Apoyo A La Investigacion Biomedica En Red Caiber","2026-05-05"
"Consorcio Hospital General Universitario De Valencia","2026-05-05"
"Consorcio Hospital General Universitario De Valencia . Servicio De Anestesia , Reanimacion Y Tto Del Dolor","2026-05-05"
"Consorcio Psmar","2026-05-05"
"Consorzio Futuro In Ricerca","2026-05-05"
"Consorzio Mario Negri Sud","2026-05-05"
"Consorzio Oncotech","2026-05-05"
"Consorzio Oncotech / Consorzio Oncotech","2026-05-05"
"Consorzio Per La Ricerca Oncologica","2026-05-05"
"Consorzio Per Valutazioni Biologiche E Farmacologiche","2026-05-05"
"Consorzio Universitario Unifarm","2026-05-05"
"Constellation","2026-05-05"
"Constellation , ., A Morphosys Company","2026-05-05"
"Consulting","2026-05-05"
"Contera","2026-05-05"
"Contrafect","2026-05-05"
"Convergence","2026-05-05"
"Conwy And Denbighshire Nhs Trust","2026-05-05"
"Cook Myosite","2026-05-05"
"Coombe Women And Infants University Hospital","2026-05-05"
"Coombe Womens Hospital","2026-05-05"
"Cop:trin Region Hovedstaden Gentofte Hospital","2026-05-05"
"Copenhagen Affective Disorder Center Cadic","2026-05-05"
"Copenhagen Cf-Centre","2026-05-05"
"Copenhagen Neuromuscular Center","2026-05-05"
"Copenhagen University Hospital","2026-05-05"
"Copenhagen University Hospital At Hvidovre","2026-05-05"
"Copenhagen University Hospital Bispebjerg","2026-05-05"
"Copenhagen University Hospital Hvidovre","2026-05-05"
"Copenhagen University Hospital Of Bispebjerg","2026-05-05"
"Copenhagen University Hospital, Amager And Hvidovre","2026-05-05"
"Copenhagen University Hospital, Hvidovre","2026-05-05"
"Copenhagen University Hospital, Hvidovre , Capital Region","2026-05-05"
"Copsac","2026-05-05"
"Coral Snchez Prez","2026-05-05"
"Corat","2026-05-05"
"Corbus","2026-05-05"
"Corcept","2026-05-05"
"Coretherapix U","2026-05-05"
"Corflow","2026-05-05"
"Corimmun","2026-05-05"
"Cork Cancer Centre","2026-05-05"
"Corline Biomedical","2026-05-05"
"Cornwall College Camborne","2026-05-05"
"Corporativo de Servicios Mdicos Especializados de C.V V Centro Mdico del Noroeste","2026-05-05"
"Cortendo","2026-05-05"
"Corteria","2026-05-05"
"Cortexyme","2026-05-05"
"Corthera","2026-05-05"
"Corvus","2026-05-05"
"Corxel","2026-05-05"
"Corxel Co","2026-05-05"
"Cosmetic Surgery Bcn Slp","2026-05-05"
"Cosmo Technologies","2026-05-05"
"Cougar","2026-05-05"
"County Council Of Ostergotland","2026-05-05"
"County Council Of Stergtland","2026-05-05"
"County Council Of Vsterbotten","2026-05-05"
"Cpds Bermuda","2026-05-05"
"Cps","2026-05-05"
"Cr2o","2026-05-05"
"Craigavon Area Hospital Trust","2026-05-05"
"Cranley Clinic","2026-05-05"
"Crc, Medical Department Iv, University Erlangen-Nuremberg","2026-05-05"
"Creabilis","2026-05-05"
"Crepats","2026-05-05"
"Cresib","2026-05-05"
"Criceto Ikm","2026-05-05"
"Crinetics","2026-05-05"
"Crinos","2026-05-05"
"Crispr","2026-05-05"
"Cristal","2026-05-05"
"Cristcot Hca","2026-05-05"
"Cristina Avendano-Sola","2026-05-05"
"Cristina Avendao Sola","2026-05-05"
"Cristina Daz De Heredia Rubio","2026-05-05"
"Cristina Fernandez Prez","2026-05-05"
"Cristina Gmez Oliva","2026-05-05"
"Cristina Peris Martnez","2026-05-05"
"Crlc Val Daurelle","2026-05-05"
"Crlc Val Daurelle Paul Lamarque","2026-05-05"
"Crlcc Alexis Vautrin","2026-05-05"
"Crolll","2026-05-05"
"Croma","2026-05-05"
"Crucell","2026-05-05"
"Crucell Holland","2026-05-05"
"Cruz Bartolome Moreno","2026-05-05"
"Crystalgenomics","2026-05-05"
"Crystalys","2026-05-05"
"Csc Handels","2026-05-05"
"Csl","2026-05-05"
"CSL Behring","2026-05-05"
"Cstone Suzhou Co","2026-05-05"
"Ctd","2026-05-05"
"Cteph Association Ica","2026-05-05"
"Cti","2026-05-05"
"Ctmm, The Center For Translational Molecular Medicine","2026-05-05"
"Ctrg","2026-05-05"
"Cub - Hpital Erasme","2026-05-05"
"Cub Erasme Hospital","2026-05-05"
"Cub Hopital Erasme","2026-05-05"
"Cub Hospital Erasme","2026-05-05"
"Cub Hpital Erasme","2026-05-05"
"Cub Ulb Hpital Erasme","2026-05-05"
"Cub- Hopital Erasme","2026-05-05"
"Cubist","2026-05-05"
"Cullinan","2026-05-05"
"Cullinan Mica","2026-05-05"
"Cullinan Pearl","2026-05-05"
"Cumberland","2026-05-05"
"Cumbria, Northumberland, Tyne And Wear Nhs Foundation Trust","2026-05-05"
"Curacell","2026-05-05"
"Curadel Surgical Innovations . / Curadel Surgical Innovations","2026-05-05"
"Curagen","2026-05-05"
"Curalogic","2026-05-05"
"Curasen","2026-05-05"
"Curasight","2026-05-05"
"Curateq Private","2026-05-05"
"Curateq Private / Curateq Private","2026-05-05"
"Curatis","2026-05-05"
"Curavac","2026-05-05"
"Curetech","2026-05-05"
"Curevac","2026-05-05"
"Curis","2026-05-05"
"Curium","2026-05-05"
"Curium Pet","2026-05-05"
"Curium Us","2026-05-05"
"Cusl","2026-05-05"
"Cutanea Life","2026-05-05"
"Cutiss","2026-05-05"
"Cv","2026-05-05"
"Cvie Company","2026-05-05"
"Cyathus Exquirere Pharmaforschungsgmbh","2026-05-05"
"Cybin Irl","2026-05-05"
"Cyclacel","2026-05-05"
"Cyclerion","2026-05-05"
"Cyclo","2026-05-05"
"Cymabay","2026-05-05"
"Cynata","2026-05-05"
"Cyrenaic","2026-05-05"
"Cytavis","2026-05-05"
"Cytheris","2026-05-05"
"Cytochemia","2026-05-05"
"Cytodyn","2026-05-05"
"Cytoki Aps","2026-05-05"
"Cytokinetics","2026-05-05"
"Cytomx","2026-05-05"
"Cytonet","2026-05-05"
"Cytori","2026-05-05"
"Cytos","2026-05-05"
"Cytovac","2026-05-05"
"Cytovation As","2026-05-05"
"Cytovation Asa","2026-05-05"
"Cytrx","2026-05-05"
"Cytuvax","2026-05-05"
"Cyxone","2026-05-05"
"D-Pharm","2026-05-05"
"D.A.S.T. PHARM","2026-05-05"
"D2 Derma","2026-05-05"
"D3 Bio (Wuxi) Co","2026-05-05"
"Da","2026-05-05"
"Daacro - Diagnostic Assessment And Clinical Organization","2026-05-05"
"Daehwa Co","2026-05-05"
"Daiichi","2026-05-05"
"Daiichi Asubio","2026-05-05"
"Daiichi Co","2026-05-05"
"Daiichi Medical","2026-05-05"
"Daiichi Sankyo","2026-05-05"
"Daiichi Sankyo Co. . / Daiichi Sankyo Co","2026-05-05"
"Daiichi Sankyo Spa","2026-05-05"
"Daiichi Sankyogmbh","2026-05-05"
"Dainippon Sumitomo","2026-05-05"
"Dainippon Sumitomo America","2026-05-05"
"Dalcor ,Stockport, Swiss Branch Zug","2026-05-05"
"Damian","2026-05-05"
"Dana Farber Cancer Institute","2026-05-05"
"Dance","2026-05-05"
"Dance Biopharm","2026-05-05"
"Danderyd Hospital","2026-05-05"
"Danderyds Hospital","2026-05-05"
"Danderyds Sjukhus","2026-05-05"
"Dandrit","2026-05-05"
"Daniel Hgi-Pedersen","2026-05-05"
"Daniel Pacha Vicente","2026-05-05"
"Daniel Podzamczer","2026-05-05"
"Daniel Podzamczer Palter","2026-05-05"
"Daniel Sanabria","2026-05-05"
"Daniel Sanabria Lucena","2026-05-05"
"Daniel Schmidt","2026-05-05"
"Danish Breast Cancer Bdcg","2026-05-05"
"Danish Breast Cancer Cooperative Dbcg","2026-05-05"
"Danish Breast Cancer Dbcg","2026-05-05"
"Danish Cancer Society Center","2026-05-05"
"Danish Gynaecological Cancer","2026-05-05"
"Danish Head And Neck Cancer","2026-05-05"
"Danish Head And Neck Cancer Dahanca","2026-05-05"
"Danish Headache Center","2026-05-05"
"Danish Multiple Sclerosis Center","2026-05-05"
"Danish Multiple Sclerosis Centre","2026-05-05"
"Danish Myeloma Study","2026-05-05"
"Danish Pain Center","2026-05-05"
"Danish University Antidepressant Duag","2026-05-05"
"Danish University Of","2026-05-05"
"Danishy Headache Center, Kas Glostrup, Dep. N01","2026-05-05"
"Danmarks Farmaceutiske Universitet","2026-05-05"
"Dansk Hovedpinecenter","2026-05-05"
"Dansk Multipel Sclerose Center","2026-05-05"
"Danube","2026-05-05"
"Daryd","2026-05-05"
"Das Kinderwunsch Institut Schenk","2026-05-05"
"Daval","2026-05-05"
"David Dalmau","2026-05-05"
"David Lpez Vaquero","2026-05-05"
"Day One","2026-05-05"
"Day One . / Day One","2026-05-05"
"Dbcg","2026-05-05"
"Dbv Technologies","2026-05-05"
"Dcprime","2026-05-05"
"Dean Of Medical Faculty Of Goethe University Frankfurt","2026-05-05"
"Dean Of The Medical Faculty Of The Friedrich-Alexander University Erlangen-Nrnberg Prof. Dr. Markus Neurath","2026-05-05"
"Dean Of The Medical Faculty Of The Friedrich-Alexander University Erlangen-Nrnberg Prof. Dr. Med. Markus F. Neurath","2026-05-05"
"Dean Of The Medical Faculty University Of Bonn","2026-05-05"
"Debiopharm","2026-05-05"
"Debreceni Egyetem Klinikai Kzpont","2026-05-05"
"Debreceni Egyetem Orvos- S Egszsgtudomnyi Centrum Aneszteziolgiai S Intenzv Terpis Tanszk","2026-05-05"
"Decan Of Medical Faculty Of Goethe University Frankfurt","2026-05-05"
"Decibel","2026-05-05"
"Deciphera","2026-05-05"
"Decode Genetics Ehf","2026-05-05"
"Defiante Farmaceutica,Lda","2026-05-05"
"Definium Us","2026-05-05"
"Dekan Der Medizinischen Fakultt, Universittsklinikum Frankfurt, Goethe-Universitt","2026-05-05"
"Dekan Des Fachbereichs Humanmedizin","2026-05-05"
"Dekan Des Fachbereichs Medizin Der Goethe Universitt, Represented By The Coordinating Investigator","2026-05-05"
"Dekan Des Fachbereichs Medizin Der Johann Wolfgang Goethe-Universitt Frankfurt/M","2026-05-05"
"Dekan Des Fb Medizin Der Johann-Wolfgang Goethe-Universitt","2026-05-05"
"Dekan Of Faculty Of Medicine Of Goethe","2026-05-05"
"Dekan Of The Medical Faculty Of The University Erlangen-Nuremberg Prof. Dr. Dr. H. C. Jrgen Schttler","2026-05-05"
"Dekan Of The Medical Faculty Of The University Erlangen-Nuremberg Prof. Dr. Med. Markus F. Neurath","2026-05-05"
"Delcath Systems","2026-05-05"
"Delcath Systems, Incorporations","2026-05-05"
"Delenex","2026-05-05"
"Delix","2026-05-05"
"Delix . / Delix","2026-05-05"
"Delta Crystallon","2026-05-05"
"Democritus Universityof Thrace Medical School","2026-05-05"
"Denali","2026-05-05"
"Dendreon","2026-05-05"
"Dendrogenix","2026-05-05"
"Dentlabe s.r.o","2026-05-05"
"Deoartment Of Dermatology D92, Bispbjerg Hospital","2026-05-05"
"Dep. Nuclear Medicine, Odense University Hospital","2026-05-05"
"Dep. Of Medical Cell Biology Uppsala University","2026-05-05"
"Deparment Of Pediatrics, Skejby Hospital","2026-05-05"
"Departamento De Microbiologa. Hospital Clinico San Carlos","2026-05-05"
"Departamento De Oftalmologa. Hospital Clnico San Carlos","2026-05-05"
"Departement Of Anesthesiology, Nstved Hospital","2026-05-05"
"Departement Of Orthopaedic Surgery, Rhus Sygehus","2026-05-05"
"Department","2026-05-05"
"Department Fr Kinder- Und Jugendheilkunde, Pdiatrie I","2026-05-05"
"Department Integrative Medicine, Kliniken Essen Mitte","2026-05-05"
"Department Of","2026-05-05"
"Department Of , Central Manchester And Manchester Childrens Hospital Nhs Trust","2026-05-05"
"Department Of , Haukeland University Hospital","2026-05-05"
"Department Of , Karolinska University Hospital","2026-05-05"
"Department Of , Linkping University Hospital, Linkping","2026-05-05"
"Department Of , Lund University Hospital","2026-05-05"
"Department Of , Odense Universitetshospital","2026-05-05"
"Department Of , Odense University Hospital","2026-05-05"
"Department Of , Skne University Hospital Lund","2026-05-05"
"Department Of , Theleeds Teaching Hospitals Nhs Trust","2026-05-05"
"Department Of , University Hospital Herlev","2026-05-05"
"Department Of , Uppsala University","2026-05-05"
"Department Of , Uppsala University Hospita","2026-05-05"
"Department Of Academic Endocrinology, Beaumont Hospital","2026-05-05"
"Department Of Anaesethesia","2026-05-05"
"Department Of Anaesthesia","2026-05-05"
"Department Of Anaesthesia And General Intensive Care Medicine","2026-05-05"
"Department Of Anaesthesia And Intensive Care Medicine, Aalborg University Hospital","2026-05-05"
"Department Of Anaesthesia And Intensive Care, Hvidovre Hospital","2026-05-05"
"Department Of Anaesthesia General Intensive Care Medicine","2026-05-05"
"Department Of Anaesthesia, Rotunda Hospital","2026-05-05"
"Department Of Anaesthesia, Tampere University Hospital","2026-05-05"
"Department Of Anaesthesia, University College Hospital Galway","2026-05-05"
"Department Of Anaesthesie, General Intensive Care And Pain Therapy","2026-05-05"
"Department Of Anaesthesiology","2026-05-05"
"Department Of Anaesthesiology And Intensive Care, University Of Tartu","2026-05-05"
"Department Of Anaesthesiology, University Hospital Of Skejby","2026-05-05"
"Department Of Anesthesia And Intensive Care Medicine, Nordsjllands Hospital","2026-05-05"
"Department Of Anesthesia Reanimation Of University Of Liege","2026-05-05"
"Department Of Anesthesia, University College Hospital Galway","2026-05-05"
"Department Of Anesthesiology","2026-05-05"
"Department Of Anesthesiology And Intensive Care Medicine","2026-05-05"
"Department Of Anesthesiology And Intensive Care, University Hospital Mnster","2026-05-05"
"Department Of Anesthesiology And Intensive Care, University Hospital Muenster","2026-05-05"
"Department Of Anesthesiology And Perioperative Medicine","2026-05-05"
"Department Of Anesthesiology Intensive Care","2026-05-05"
"Department Of Anesthesiology University Hospital Center","2026-05-05"
"Department Of Anesthesiology, Bispebjerg Hospital","2026-05-05"
"Department Of Anesthesiology, Copenhagen University Hospital Hvidovre, Capital Region Of","2026-05-05"
"Department Of Anesthesiology, Nstved Hospital","2026-05-05"
"Department Of Anesthesiology, University Hospital Of Erlangen","2026-05-05"
"Department Of Biomedical","2026-05-05"
"Department Of Biomedical Engineering, Linkping University","2026-05-05"
"Department Of Biomedical Metabolic And Neural","2026-05-05"
"Department Of Breast And Endocrine Surgery, Karolinska University Hospital","2026-05-05"
"Department Of Cardiology","2026-05-05"
"Department Of Cardiology, Aachen","2026-05-05"
"Department Of Cardiology, Aalborg Hospital","2026-05-05"
"Department Of Cardiology, Odense University Hospital","2026-05-05"
"Department Of Cardiology, University Medical Centre Ljubljana","2026-05-05"
"Department Of Cardiothoracic And Vascular Surgery","2026-05-05"
"Department Of Cardiothoracic Surgery, Aalborg Universityhospital","2026-05-05"
"Department Of Clinical , Danderyd Hospital","2026-05-05"
"Department Of Clinical , Danderyd Hospital, Karolinska Intitutet","2026-05-05"
"Department Of Clinical Microbiology, Hvidovre Hospital","2026-05-05"
"Department Of Clinical Pharmacology","2026-05-05"
"Department Of Clinical Pharmacology Q","2026-05-05"
"Department Of Clinical Pharmacology, University Of Greifswald","2026-05-05"
"Department Of Clinical Physiology And Nuclear Medicine, Herlev And Gentofte Hospital","2026-05-05"
"Department Of Clinical Physiology, Nuclear Medicin And Pet","2026-05-05"
"Department Of Dentistry And Oral Health","2026-05-05"
"Department Of Dermatology","2026-05-05"
"Department Of Dermatology And Allergology, University Of Szeged","2026-05-05"
"Department Of Dermatology And Copenhagen Wound Healing Center, Bispebjerg Hospital","2026-05-05"
"Department Of Dermatology, Bispebjerg Hospital","2026-05-05"
"Department Of Dermatology, Bispebjerg University Hospital","2026-05-05"
"Department Of Dermatology, Odense University Hospital","2026-05-05"
"Department Of Dermatology, University Of Kiel","2026-05-05"
"Department Of Dermatology, University Of Modena And Reggio Emilia","2026-05-05"
"Department Of Endocrine","2026-05-05"
"Department Of Endocrinology","2026-05-05"
"Department Of Endocrinology And Internal Medicine","2026-05-05"
"Department Of Endocrinology University Of Debrecen Medical And Health Center","2026-05-05"
"Department Of Endocrinology, Hvidovre Hospital","2026-05-05"
"Department Of Endocrinology, Sahlgrenska University Hospital","2026-05-05"
"Department Of Experimental And Clinical Medicine F. Magrassi","2026-05-05"
"Department Of Experimental And Clinical Pharmacology And Toxicology, Friedrich-Alexander-University","2026-05-05"
"Department Of Gastroenterology. University Hospital Of Santiago","2026-05-05"
"Department Of General Psychiatry","2026-05-05"
"Department Of Genito","2026-05-05"
"Department Of Genitourinary Medicine And Infectious Diseases, St Jamess Hospital, Dublin 8","2026-05-05"
"Department Of Gynaecology And Obstetrics Nordsjllands Hospital","2026-05-05"
"Department Of Gynaecology, Helse Finnmark, Klinikk Hammerfest","2026-05-05"
"Department Of Gynecological , University Hospital, Rebro","2026-05-05"
"Department Of Haematology","2026-05-05"
"Department Of Haematology, Aalborg University Hospital","2026-05-05"
"Department Of Haematology, Herlev Hospital, University Of Copenhagen","2026-05-05"
"Department Of Haematology, Zealand University Hospital","2026-05-05"
"Department Of Health","2026-05-05"
"Department Of Hematology","2026-05-05"
"Department Of Hematology, Aalborg University Hospital","2026-05-05"
"Department Of Hematology, Herlev And Gentofte University Hospital","2026-05-05"
"Department Of Hospital Pharmacy, Medical Centre Haaglanden","2026-05-05"
"Department Of Human Nutrition, The Royal Veterinary And Agricultural University","2026-05-05"
"Department Of Infectious Diseases","2026-05-05"
"Department Of Infectious Diseases, Copenhagen University Hospital, Hvidovre","2026-05-05"
"Department Of Infectious Diseases, Hvidovre Hospital","2026-05-05"
"Department Of Infectious Diseases, Odense University Hospital","2026-05-05"
"Department Of Infetious Diseases, Odense University Hospital","2026-05-05"
"Department Of Internal Medicine Of The University Of Munich","2026-05-05"
"Department Of Internal Medicine, University Hospital Gasthuisberg","2026-05-05"
"Department Of Medical","2026-05-05"
"Department Of Medical , Akademiska Sjukhuset","2026-05-05"
"Department Of Medical , Dermatology And Venerology, Uppsala University, Uppsala","2026-05-05"
"Department Of Medical , Odense University Hospital, Svendborg Hospital","2026-05-05"
"Department Of Medical , Regional Hospital Holstebro","2026-05-05"
"Department Of Medical And Clinical Genetics, University Of Helsinki","2026-05-05"
"Department Of Medical Gastroenterology","2026-05-05"
"Department Of Medical Gastroenterology, Herlev Hospital","2026-05-05"
"Department Of Medicine And Endocrinology","2026-05-05"
"Department Of Medicine I","2026-05-05"
"Department Of Medicine I, Ordensklinikum Linz, Elisabethinen Hospital Linz","2026-05-05"
"Department Of Medicine I, University Hospital St. Josef-Hospital, Ruhr University Bochum","2026-05-05"
"Department of Medicine I, University Hospital St.Josef-Hospital, Ruhr University Bochum","2026-05-05"
"Department Of Medicine, Haugesund Hospital","2026-05-05"
"Department Of Medicine, Helsinki University Central Hospital","2026-05-05"
"Department Of Medicine, Kge University Hospital","2026-05-05"
"Department Of Medicine, Zealand University Hospital","2026-05-05"
"Department Of Molecular And Clinical Medicine Sapienza University Of Rome","2026-05-05"
"Department Of Nephrology","2026-05-05"
"Department Of Nephrology And Renal Transplantation","2026-05-05"
"Department Of Nephrology, Ouh, Odense, Dk","2026-05-05"
"Department Of Neurology","2026-05-05"
"Department Of Neurology And Clinical Neurophysiology, St Olavs Hospital, Trondheim University Hospital","2026-05-05"
"Department Of Neurology, Christian Doppler Medical Center, Paracelsus Medical University Salzburg","2026-05-05"
"Department Of Neurology, Karolinska University Hospital","2026-05-05"
"Department Of Neurology, Roskilde Hospital","2026-05-05"
"Department Of Neurology, Turku University Hospital","2026-05-05"
"Department Of Neuroscience, Neurology","2026-05-05"
"Department Of Neuroscience, Ntnu","2026-05-05"
"Department Of Neuroscience, Uppsala University","2026-05-05"
"Department Of Neurosurgery, Pmu","2026-05-05"
"Department Of Nuclear Medicine","2026-05-05"
"Department Of Nuclear Medicine And Endocrinology, Paracelsus Medical University Salzburg","2026-05-05"
"Department Of Nuclear Medicine, Aalborg University Hospital","2026-05-05"
"Department Of Nuclear Medicine, Odense University Hospital","2026-05-05"
"Department Of Obstetrics And Gynecolog, Randers Centralsygehusy","2026-05-05"
"Department Of Obstetrics And Gynecology, Oulu University Hospital","2026-05-05"
"Department Of Obstetrics, Sahlgrenska University Hospital","2026-05-05"
"Department Of Occupational And Environmental Dermatology, Malm University Hospital","2026-05-05"
"Department Of Oncologyherlev University Hospital","2026-05-05"
"Department Of Ophthalmology","2026-05-05"
"Department Of Ophthalmology At St. Franziskus Hospital","2026-05-05"
"Department Of Ophthalmology, Bonn University","2026-05-05"
"Department Of Ophthalmology, Hietzing Hospital","2026-05-05"
"Department Of Ophthalmology, Muw","2026-05-05"
"Department Of Ophthalmology, Semmelweis University","2026-05-05"
"Department Of Oral Surgery Dental School Med. Univ. Graz","2026-05-05"
"Department Of Orthopaedic Surgery University Hospital Linkping","2026-05-05"
"Department Of Orthopaedics Ike","2026-05-05"
"Department Of Otolaryngology, Head And Neck Surgery Johannes Gutenberg","2026-05-05"
"Department Of Otorhinolaryngology, Head And Neck Surgery","2026-05-05"
"Department Of Paediatric Cardiology","2026-05-05"
"Department Of Paediatrics, Herlev Hospital","2026-05-05"
"Department Of Palliative Medicine, Rwth Aachen","2026-05-05"
"Department Of Pediatrics Holbaek Hospital","2026-05-05"
"Department Of Pediatrics, Medical And Health Center, University Of Debrecen","2026-05-05"
"Department Of Pharmacology","2026-05-05"
"Department Of Pharmacology-Toxicology","2026-05-05"
"Department Of Pharmacy Universitaetsmedizin Mainz","2026-05-05"
"Department Of Pharmacy Unversittsmedizin Mainz","2026-05-05"
"Department Of Pharmacy, Uppsala University","2026-05-05"
"Department Of Physiology And Cardiothoracic Surgery","2026-05-05"
"Department Of Plastic Surgery, Breast And Burns Treatment","2026-05-05"
"Department Of Psychiatry","2026-05-05"
"Department Of Psychiatry And Psychotherapy Cologne","2026-05-05"
"Department Of Psychiatry And Psychotherapy, Charity University Medicine","2026-05-05"
"Department Of Psychiatry And Psychotherapy, Friedrich-Schiller-University Jena","2026-05-05"
"Department Of Psychiatry And Psychotherapy, Ludwig-Maximilians","2026-05-05"
"Department Of Psychiatry And Psychotherapy, University Of Erlangen-Nuremberg","2026-05-05"
"Department Of Psychiatry And Psychotherapy, University Of Mainz","2026-05-05"
"Department Of Psychiatry Section Of Sleep And Pharmacopsychiatry","2026-05-05"
"Department Of Psychiatry, Helsinki University Central Hospital","2026-05-05"
"Department Of Psychiatry, Lmu Munich","2026-05-05"
"Department Of Psychiatry, Ludwig","2026-05-05"
"Department Of Psychiatry, Ludwig-Maximilians","2026-05-05"
"Department Of Psychiatry, Rwth Aachen","2026-05-05"
"Department Of Psychology, Stockholm University","2026-05-05"
"Department Of Pulmonology","2026-05-05"
"Department Of Pulmonology, Rijnstate Hospital","2026-05-05"
"Department Of Rheumatology","2026-05-05"
"Department Of Rheumatology, Hvidovre Hospital","2026-05-05"
"Department Of Rheumatology, Skne University Hospital","2026-05-05"
"Department Of Rheumatology,University Hospital,Lund","2026-05-05"
"Department Of Sports Medicine","2026-05-05"
"Department Of Surgery, National University Of","2026-05-05"
"Department Of Surgery, Odense University Hospital","2026-05-05"
"Department Of Thoracic And Hyperbaric Surgery, University Medical School Graz","2026-05-05"
"Department Of University Hospital Uppsala","2026-05-05"
"Department Of Urology And Pediatric Urology - Justus-Liebig","2026-05-05"
"Department Of Urology, Herlev Hospital","2026-05-05"
"Department Of Vascular Surgery, Lillebaelt Hospital","2026-05-05"
"Department Of Woman And Child Health, Karolinska University Hospital","2026-05-05"
"Department Of Womens And Childrens Health, Uppsala University","2026-05-05"
"Department Og Gynaecology And Obstetric, Randers Hospital","2026-05-05"
"Department, Addenbrookes Hospital","2026-05-05"
"Department, Box 146, Addenbrookes Hospital","2026-05-05"
"Department, John Radcliffe Hospital","2026-05-05"
"Department, University Hospital Of South Manchester Nhs Foundation Trust","2026-05-05"
"Departments Of Medical And Medicine","2026-05-05"
"Departmnet Of Nephrology","2026-05-05"
"Dept Anaesthesiology And Intensive Care","2026-05-05"
"Dept Hematology Slb Vejle","2026-05-05"
"Dept Medicine I, Paracelsus Med. Univ. Landeskrankenanstalten Salzburg","2026-05-05"
"Dept Of","2026-05-05"
"Dept Of . Haukeland University Hospital","2026-05-05"
"Dept Of Anaesthesia, University College Hospital, Galway","2026-05-05"
"Dept Of Anaesthesiology 530","2026-05-05"
"Dept Of Dermatology","2026-05-05"
"Dept Of Endocrinology J 106, Herlev Hosptial","2026-05-05"
"Dept Of Endocrinology O106, Herlev Hospital","2026-05-05"
"Dept Of Endocrinology, Odense University Hospital","2026-05-05"
"Dept Of Internal Medicine Iv, Med Uni Vienna","2026-05-05"
"Dept Of Medical","2026-05-05"
"Dept Of Medical , Rheumatology","2026-05-05"
"Dept Of Medicine","2026-05-05"
"Dept Of Molecular Medicin And Surgery","2026-05-05"
"Dept Of Neurology","2026-05-05"
"Dept Of Neurology, Ume University Hospital, Ume","2026-05-05"
"Dept Of Neuroscience, Uppsala University","2026-05-05"
"Dept Of Paediatric Anaesthesia, Karolinska University Hospital-Solna","2026-05-05"
"Dept Of Ped Hem/Onc","2026-05-05"
"Dept Of Pediatrics, University Hospital Of North","2026-05-05"
"Dept Of Plastic Surgery, Breast Surgery Burns","2026-05-05"
"Dept Of Psychiatry, Ume University Hospital","2026-05-05"
"Dept Of Renal Medicine","2026-05-05"
"Dept Of Rheumatology, Lund University Hospital, Lund","2026-05-05"
"Dept Of Surgery","2026-05-05"
"Dept Of Transplantation Surgery B 56, Karolinska University Hospital, Huddinge","2026-05-05"
"Dept Raigmore Hospital, Inverness","2026-05-05"
"Dept. Child Adolescent Psychiatrie","2026-05-05"
"Dept. Child Adolescent Psychiatry Univ. Freiburg","2026-05-05"
"Dept. Hematology, Hospital Clinic","2026-05-05"
"Dept. Ob.Gyn, Univ Oulu","2026-05-05"
"Dept. Of , Karolinska University Hospital","2026-05-05"
"Dept. Of Anaestesiology, University Hospital In Glostrup","2026-05-05"
"Dept. Of Anaesthesia","2026-05-05"
"Dept. Of Anaesthesia And Intensive Care, Haukeland University Hospital","2026-05-05"
"Dept. Of Anaesthesiology, Odense University Hospital","2026-05-05"
"Dept. Of Clinical Immunology","2026-05-05"
"Dept. Of Clinical Pharmacology","2026-05-05"
"Dept. Of Dermatology, Zealand University Hospital, Roskilde","2026-05-05"
"Dept. Of Endocrinology, Metabolism And Diabetes, Karolinska University Hospital","2026-05-05"
"Dept. Of Gastroenterology, Universityhospital Odense","2026-05-05"
"Dept. Of Growth And Reproduction","2026-05-05"
"Dept. Of Hematology, Herlev Hospital","2026-05-05"
"Dept. Of Infectious Diseases","2026-05-05"
"Dept. Of Intensive Care, Rigshopitalet","2026-05-05"
"Dept. Of Internal Medicine","2026-05-05"
"Dept. Of Internal Medicine Ii, University Hospital Giessen","2026-05-05"
"Dept. Of Nephrology","2026-05-05"
"Dept. Of Neurology - Univ. Of Kansas Medical Center","2026-05-05"
"Dept. Of Neurology Vienna","2026-05-05"
"Dept. Of Neurology, Atrium Medical Centre","2026-05-05"
"Dept. Of Neurology, Odense University Hospital","2026-05-05"
"Dept. Of Obstetrics And Gynecology, Sodersjukhuset","2026-05-05"
"Dept. Of Ophthalmol, Semmelweis University","2026-05-05"
"Dept. Of Pediatrics, The Childrens Hospital, Denver","2026-05-05"
"Dept. Of Pharmacology","2026-05-05"
"Dept. Of Psychiatry And Psychotherapy","2026-05-05"
"Dept. Of Psychiaty, University Of Freiburg","2026-05-05"
"Dept. Of Rhematology Umas","2026-05-05"
"Dept. of surg.gastroent., Gentofte University Hospital, Copenhagen","2026-05-05"
"Dept. Pharmacology And Toxicology","2026-05-05"
"Deptartment Of Hematology, Karolinska University Hospital","2026-05-05"
"Derartment Of Anaesthesiology And Intensive Care, Turku University Hospital","2026-05-05"
"Derby Hospitals Nhs Foundation Trust","2026-05-05"
