alias_clean,sponsor_clean,resolves_to,resolves_source,resolves_status,triage,conflict
chc liege,CHC Liège,Centre Hospitalier Universitaire de Liège,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Centre Hospitalier Universitaire de Liège
deutsche krebsgesellschaft,Deutsche Krebsgesellschaft,Deutsche Krebsgesellschaft e.V.,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Deutsche Krebsgesellschaft e.V.
edge therapeutics,Edge Therapeutics,Egle Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Egle Therapeutics
evotec neurosciences,Evotec Neurosciences,Evotec NeurosciencesGmbH,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Evotec NeurosciencesGmbH
fakultni nemocnice motol,Fakultní nemocnice Motol,Fakultni Nemocnice V Motole,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Fakultni Nemocnice V Motole
ferrer international,Ferrer International,Ferrer Internacional,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Ferrer Internacional
folktandvarden sodra bohuslan,Folktandvården Södra Bohuslän,Folktandvrden,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Folktandvrden
fondazione g pascale,Fondazione G. Pascale,Fondazione GONO,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Fondazione GONO
friedrich-alexander-universitat erlangen-nurnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg,Universitätsklinikum Erlangen,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitätsklinikum Erlangen
fundacio ace - institut catala de neurociencies aplicades,Fundació ACE - Institut Català de Neurociències Aplicades,Fundacin ACE,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Fundacin ACE
fundacio assistencial mutua de terrassa,Fundació Assistencial Mútua de Terrassa,Fundaci Assistencial Mtua Terrassa,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Fundaci Assistencial Mtua Terrassa
fundacion para la investigacion biomedica del hospital universitario de lleida,Fundación para la Investigación Biomédica del Hospital Universitario de Lleida,Fundación para la Investigación Biomédica del Hospital Universitario La Paz,fuzzy:ctis_businesskey,review,fuzzy false positive — self-alias would fix,label already resolves to: Fundación para la Investigación Biomédica del Hospital Universitario La Paz
galpagos,Galpagos,Galapagos,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Galapagos
grupo de investigacion en tumores uro-oncologicos,Grupo de Investigación en Tumores Uro-oncológicos,Grupo de Investigacin ICP,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Grupo de Investigacin ICP
heinrich-heine-universitat dusseldorf,Heinrich-Heine-Universität Düsseldorf,Heinrich-Heine-Universitaet Duesseldorf,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Heinrich-Heine-Universitaet Duesseldorf
helperby thearapeutics,Helperby Thearapeutics,Helperby Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Helperby Therapeutics
hospital regional universitario de malaga,Hospital Regional Universitario de Málaga,Hospital Regional Universitario. IBIMA,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Hospital Regional Universitario. IBIMA
idenix pharmaceuticals,Idenix Pharmaceuticals,InDex Pharmaceuticals,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: InDex Pharmaceuticals
in therapeutics co,iN Therapeutics Co.,INO Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: INO Therapeutics
inotek pharmaceuticals,Inotek Pharmaceuticals,InDex Pharmaceuticals,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: InDex Pharmaceuticals
institut de cancerologie de la loire,Institut de Cancérologie de la Loire,Institut de Cancérologie de l'Ouest,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Institut de Cancérologie de l'Ouest
instituto de investigacion del sueno,Instituto de Investigación del Sueño,Instituto de Investigaciones del Sueño,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Instituto de Investigaciones del Sueño
kepler universitatsklinikum,Kepler Universitätsklinikum,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
king's college hospital nhs foundation trust,King's College Hospital NHS Foundation Trust,Kings College Hospital NHS Foundation Trust,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Kings College Hospital NHS Foundation Trust
king's college london / south london and maudsley nhs foundation trust,King's College London / South London and Maudsley NHS Foundation Trust,King's College London,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: King's College London
klinikum rechts der isar der tu munchen,Klinikum rechts der Isar der TU München,Klinikum rechts der Isar der TU Muenchen AöR,fuzzy:ctis_businesskey,review,fuzzy false positive — self-alias would fix,label already resolves to: Klinikum rechts der Isar der TU Muenchen AöR
laboratorios lesvi,Laboratorios Lesvi,Laboratorios Leti,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Laboratorios Leti
onl therapeutics,ONL Therapeutics,Onyx Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Onyx Therapeutics
oxford biotherapeutics,Oxford Biotherapeutics,Biodol Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Biodol Therapeutics
pediatric research international,Pediatric Research International,Pediatrics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Pediatrics
sciclone pharmaceuticals italy,Sciclone Pharmaceuticals Italy,SciClone Pharmaceuticals,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: SciClone Pharmaceuticals
serono internacional,Serono Internacional,Serono International,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Serono International
st james's hospital dublin,"St. James's Hospital, Dublin","St Jamess Hospital, Dublin",fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,"label already resolves to: St Jamess Hospital, Dublin"
stadtisches klinikum munchen - bogenhausen,Städtisches Klinikum München - Bogenhausen,Klinikum Der Universitat Munchen AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Klinikum Der Universitat Munchen AöR
synta pharmaceutical,Synta Pharmaceutical,Syndax Pharmaceuticals,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Syndax Pharmaceuticals
t7 therapeutics,T7 Therapeutics,TG Therapeutics,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: TG Therapeutics
universitatsklinik fur anasthesiologie und allgemeine intensivmedizin,Universitätsklinik für Anästhesiologie und allgemeine Intensivmedizin,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum aachen,Universitätsklinikum Aachen,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum carl gustav carus,Universitätsklinikum Carl Gustav Carus,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum des saarlandes,Universitätsklinikum des Saarlandes,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum giessen und marburg - standort giessen,Universitätsklinikum Gießen und Marburg - Standort Gießen,Universitätsklinikum Essen,fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitätsklinikum Essen
universitatsklinikum mannheim,Universitätsklinikum Mannheim,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum st polten,Universitätsklinikum St. Pölten,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
universitatsklinikum wurzburg,Universitätsklinikum Würzburg,Universitaetsklinikum Wuerzburg AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Wuerzburg AöR
university hospitals of derby and burton nhs foundation trust,University Hospitals of Derby & Burton NHS Foundation Trust,Universitaetsklinikum Ulm AöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitaetsklinikum Ulm AöR
university of cincinnati,University of Cincinnati,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of eastern finland,University of Eastern Finland,University of Duisburg-Essen,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Duisburg-Essen
university of freiburg,University of Freiburg,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of groningen,University of Groningen,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of hamburg,University of Hamburg,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of kansas medical center,University of Kansas Medical Center,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of kiel,University of Kiel,Université de Liège,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Université de Liège
university of ljubljana,University of Ljubljana,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of milan,University of Milan,Universitatsmedizin der Johannes Gutenberg-Universitat Mainz KöR,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Universitatsmedizin der Johannes Gutenberg-Universitat Mainz KöR
university of naples federico ii,University of Naples Federico II,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of porto,University of Porto,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of queensland,University of Queensland,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of sydney,University of Sydney,University of Pécs,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: University of Pécs
university of turin,University of Turin,Università degli Studi di Torino,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Università degli Studi di Torino
wave life sciences ireland,Wave Life Sciences Ireland,Wave Life Sciences,fuzzy:llm_reviewed,review,fuzzy false positive — self-alias would fix,label already resolves to: Wave Life Sciences
westfalische wilhelms-universitat munster,Westfälische Wilhelms-Universität Münster,"Westfälische Wilhelms-Universität Münster, Universitätsklinikum Münster",fuzzy:llm_curated,review,fuzzy false positive — self-alias would fix,"label already resolves to: Westfälische Wilhelms-Universität Münster, Universitätsklinikum Münster"
abcsg,ABCSG,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: ABCSG | ABCSG GmbH / Alliance Foundation Trials
aicuris,AiCuris,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: AiCuris | AiCuris Anti-infective Cures
alcon,Alcon,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Alcon | Alcon Italia
alfasigma,Alfasigma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Alfasigma | Alfasigma Czech s.r.o.
alimera sciences,Alimera Sciences,Alimera Sciences,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Alimera Sciences | Alimera Sciences Europe
allergie-centrum-charite,Allergie-Centrum-Charité,Charité Universitätsmedizin Berlin,containment:llm_curated,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Charité Universitätsmedizin Berlin
allergopharma,Allergopharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Allergopharma | Allergopharma Joachim Ganzer
allergopharma joachim ganzer,Allergopharma Joachim Ganzer,Allergopharma Joachim Ganzer,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Allergopharma | Allergopharma Joachim Ganzer
amersham,Amersham,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Amersham | Amersham Health | GE Healthcare
antibiotice,Antibiotice,Antibiotice,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Antibiotice | Antibiotice S.A. / Iasis Pharmaceuticals Hellas | Antibiotice S.A. / Iasis Pharmaceuticals Hellas A.B.E.E.
apodemus,Apodemus,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Apodemus | Apodemus Aktiebolag
arcturus therapeutics,Arcturus Therapeutics,Arcturus Therapeutics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Arcturus Therapeutics | Arcturus Therapeutics Europe
arvinas,Arvinas,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Arvinas | Arvinas Operations
asac pharmaceutical inmunology,Asac Pharmaceutical Inmunology,Asac Pharmaceutical Inmunology,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Asac Pharmaceutical Inmunology | Asac Pharmaceutical Inmunology S.A. / Advanced Outcomes Research
asahi kasei pharma,Asahi Kasei Pharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Asahi Kasei Pharma | Asahi Kasei Pharma America
ascendis pharma,Ascendis Pharma,Ascendis Pharma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Ascendis Pharma | Ascendis Pharma Growth Disorders
aventis pasteur msd,Aventis Pasteur MSD,MSD,llm_curated,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Aventis Pasteur MSD | Sanofi Pasteur MSD
awd pharma,AWD.pharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: AWD.pharma | AWD.pharma GmbH Co. KG Medical Development
baxalta,Baxalta,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Baxalta | Baxalta Innovations
berlin-chemie,Berlin-Chemie,Berlin-Chemie,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Berlin-Chemie | Berlin-Chemie Menarini
biocon,Biocon,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Biocon | Biocon Sdn. Bhd.
biopartners,BioPartners,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: BioPartners GmbH / LG Life Science | LG Life Science Ltd. / BioPartners
blue earth diagnostics,Blue Earth Diagnostics,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Blue Earth Diagnostics | Blue Earth Diagnostics Ireland
calliditas therapeutics,Calliditas Therapeutics,Calliditas Therapeutics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Calliditas Therapeutics | Calliditas Therapeutics Suisse
ceegog,CEEGOG,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: CEEGOG | CEEGOG reg. ass.
celica,Celica,NA,NA,unknown,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Celica | Celica, Biomedical Center"
celyad,Celyad,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Celyad | Celyad Oncology
cerevance,Cerevance,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Cerevance | Cerevance Beta
chemo research,Chemo Research,Chemo Research,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Chemo Research | Chemo Research S.L. / Inmunova
cipla,Cipla,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Cipla | Cipla BioTec
diabetology,Diabetology,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Diabetology | Medical University Of Graz
diamedica,DiaMedica,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: DiaMedica | Diamedica Therapeutics
dow pharmaceutical sciences,Dow Pharmaceutical Sciences,Dow Pharmaceutical Sciences,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Dow Pharmaceutical Sciences | Dow Pharmaceutical Sciences, Inc on behalf of Coria Laboratories"
dr reddy's laboratories,Dr. Reddy's Laboratories,Dr. Gerhard Mann chem.-pharm. Fabrik GmbH,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Dr. Gerhard Mann chem.-pharm. Fabrik GmbH
drug delivery solutions,Drug Delivery Solutions,Drug Delivery Solutions,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Drug Delivery Solutions | Drug Delivery Solutions Aps DDS c/o MC2 Biotek Group | DRUG DELIVERY SOLUTIONS ApS PART OF MC2 BIOTEK GROUP
durata therapeutics,Durata Therapeutics,Durata Therapeutics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Durata Therapeutics | Durata Therapeutics International
ebmt,EBMT,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: EBMT | EBMT / Gentium
endo pharmaceuticals,Endo Pharmaceuticals,Endo Pharmaceuticals,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Endo Pharmaceuticals | Endo Pharmaceuticals Solutions
epiendo pharmaceuticals ehf,Epiendo Pharmaceuticals ehf.,EpiEndo Pharmaceuticals,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: EpiEndo Pharmaceuticals | Epiendo Pharmaceuticals ehf.
erempharma,Erempharma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Erempharma | Laboratoire Erempharma
ethicon,Ethicon,NA,NA,unknown,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Ethicon | Ethicon Inc., a Johnson Johnson Co."
f2g,F2G,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: F2G | F2G Biotech
faes farma,Faes Farma,Faes Farma,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Faes Farma | Faes Farma S.A. / A. Menarini Industrie Farmaceutiche Riunite
flamel ireland,Flamel Ireland,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Avadel Ireland | Flamel Ireland
forest laboratories,Forest Laboratories,Forest Laboratories,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Forest Laboratories | Forest Laboratories LLC, an Allergan Affiliate"
fresenius medical care,Fresenius Medical Care,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Fresenius Medical Care | Fresenius Medical Care Deutschland
galderma,Galderma,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Galderma | Galderma Research and Development
gedeon richter,Gedeon Richter,Gedeon Richter,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Gedeon Richter | Gedeon Richter Ibérica
geicam,GEICAM,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GEICAM | GEICAM Fundación Grupo Español de Investigación en Cáncer de Mama
geico,GEICO,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Fondazione IRCCS Istituto Nazionale dei Tumori / Grupo Espaol de Investigacion en Cancer de Ovario GEICO | GEICO
genetic,Genetic,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Genetic | Genetic Immunity Kft. | University of Copenhagen
genetronics,Genetronics,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Genetronics | Genetronics / inovio Biomedical | Genetronics Biomedical
geneuro,GeneUro,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GeneUro | GeNeuro Innovation
genkyotex,Genkyotex,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Genkyotex | Genkyotex Innovation
getne,GETNE,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GETNE | Grupo Español de Tumores Neuroendocrinos y Endocrinos GETNE
gh research,GH Research,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GH Research | GH Research Ireland
gpoh,GPOH,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GPOH gGmbH
green cross,Green Cross,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Green Cross | Green Cross WellBeing
grifols,Grifols,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Grifols | Grifols Biologicals | Grifols Italia
gw research,GW Research,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: GW Research | GW Research Limited / Jazz Pharmaceuticals Research UK
hamilton health sciences,Hamilton Health Sciences,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Hamilton Health Sciences | Hamilton Health Sciences Corporation / PHRI Population Health Research Institute | Hamilton Health Sciences Corporation through its Population Health Research Institute
harmony biosciences,Harmony Biosciences,Harmony Biosciences,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Harmony Biosciences | Harmony Biosciences Management
horizon therapeutics,Horizon Therapeutics,Horizon Therapeutics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Horizon Therapeutics | Horizon Therapeutics Ireland DAC
hospital clinico universitario de valladolid,Hospital Clínico Universitario de Valladolid,Hospital Clínico Universitario,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Hospital Clínico Universitario
hospital universitario central de asturias,Hospital Universitario Central de Asturias,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Grupo de Terapia Celular y Cardiovascular del Hospital Universitario Central de Asturias | Hospital Universitario Central de Asturias
hospital universitario de gran canaria dr negrin,Hospital Universitario de Gran Canaria Dr. Negrín,Hospital de Valme,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Hospital Universitario de Gran Canaria Dr. Negrín | Nicanor Vega Diaz. Hospital Universitario de Gran Canaria Dr Negrin
hospital universitario puerta de hierro majadahonda,Hospital Universitario Puerta de Hierro Majadahonda,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Centro Nacional de Investigaciones Cardiovasculares (CNIC) | Fundación Investigación Biomédica Hospital Puerta de Hierro | Fundación Investigación Biomédica Hospital Puerta de Hierro Majadahonda
ielsg,IELSG,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Association International Extranodal Lymphoma Study Group | IELSG
ikfe,ikfe,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: ikfe | ikfe – Institute for Clinical Research and Development
immunicum,Immunicum,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Immunicum | Mendus
incliva,INCLIVA,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: INCLIVA | Instituto de Investigación Sanitaria INCLIVA
infant bacterial therapeutics,Infant Bacterial Therapeutics,Infant Bacterial Therapeutics,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Infant Bacterial Therapeutics | Infant Bacterial Therapeutics AB IBT
innovacell,Innovacell,Innovacell,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Innovacell | Innovacell Biotecnologie
insel gruppe,Insel Gruppe,Insel Gruppe,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Insel Gruppe | Insel Gruppe AG - Inselspital
institut catala d'oncologia,Institut Català d'Oncologia,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: ABCSG
institut de recerca de l'hospital de la santa creu i sant pau,Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Institut de Recerca,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Fundacio Institut De Recerca De L Hospital De La Santa Creu I Sant Pau
integrative research laboratories,Integrative Research Laboratories,Integrative Research Laboratories,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Integrative Research Laboratories | Integrative Research Laboratories AB IRLAB | Integrative Research Laboratories Sweden AB IRLAB
intrabio,IntraBio,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: IntraBio | Intrabio Limited / IntraBio
king's college london,King's College London,King's College London,fuzzy:llm_curated,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: King's College Hospital NHS Foundation Trust
laboratorios casen-fleet,Laboratorios Casen-Fleet,Laboratorios Casen-Fleet,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Laboratorios Casen-Fleet | Laboratorios Leti
lipid pharmaceuticals ehf,Lipid Pharmaceuticals ehf,Lipid Pharmaceuticals ehf,llm_reviewed,accepted,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Lipid Pharmaceuticals ehf / Lsi hf
litaphar,Litaphar,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Litaphar | Litaphar Laboratorios
lung,Lung,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Lung | Lung Rx
lupin,Lupin,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Lupin | Lupin Atlantis Holdings
mallinckrodt,Mallinckrodt,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Mallinckrodt | Mallinckrodt ARD
mcm klosterfrau,MCM Klosterfrau,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: MCM Klosterfrau | MCM Klosterfrau Vertriebsgesellschaft mbH
medac,medac,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: medac | Medac Gesellschaft fuer klinische Spezialprapaerate mbH
medical university,Medical University,Medical University Of Graz,fuzzy:llm_reviewed,review,would hijack an already-matched raw string,"key is a candidate of a matched raw string for: Medical University Of Bialystok | Medical University Of Gdansk | Medical University Of Graz | Medical University Of Innsbruck | Medical University Of Lodz | Medical University of Lublin | Medical University Of Silesia Katowice Poland | Medical University Of Vienna | Medical University of Vienna / Diakonhjemmet Sykehus AS / Academisch Ziekenhuis Maastricht | Medical University of Vienna / sterreichische Nationalbank - Jubilumsfonds / Servier | Medical University of Warsaw | Medical University, Dpt. Internal Medicin, Division of General Inteal Medicine | Paracelsus Medical University | Pomeranian Medical University | Universitätsmedizin Greifswald | University Medical Center Groningen | Wroclaw Medical University"
medivation,Medivation,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Medivation | Pfizer
medtronic,Medtronic,NA,NA,unknown,would hijack an already-matched raw string,key is a candidate of a matched raw string for: Medtronic | Medtronic International Trading Sarl
